,Pre7D,Post7D,Pre14D,Post14D,Pre21D,Post21D
1,-0.0055719795271562235,0.0014809012594489337,-0.008265575834302685,-0.0034659985354297635,-0.00866894159191512,-0.005402171883152786
2,0.004511719146069745,0.002254601266844132,-0.00036957510723399195,0.0007512330649389052,0.001971971353869301,-0.0012547927480046975
3,-0.005328962251388719,-0.012913688685450841,-0.005628883583843133,0.00028902477128938943,-0.008185023403149992,-0.005344916068144682
4,0.00446879824306716,-0.022200976762175105,-0.0015625074506821182,-0.01320306834945301,-0.0032876106822415847,-0.014191949411620696
5,0.017503553367627628,-0.011357222930217454,0.0052407800149078185,-0.008490596256408562,0.0017336632077220202,-0.007084289456509562
6,0.003911834435946217,-0.01094197379510092,-0.0033691827202646436,-0.00526939198448457,-0.002006362895060994,-0.0044524379876352375
7,-0.003495136660767649,0.014327076228357627,-0.00015070262576936656,0.006039282644025123,0.0011003912669328498,0.0024535932779631425
8,-0.0029432864799083967,0.01737691875582951,-0.002521705455172018,0.013819441942668681,-0.002650347936355398,0.017508991401488514
9,-0.007940902492275293,-0.0024354445105380547,-0.0038920198386230573,-0.0012177222552690273,-0.0025946798924153715,-0.002737720980929209
10,0.001900245964603728,-0.004594201433899844,-0.004551416492060945,-0.001811705812315745,0.0007516258459246317,-0.0008810851973289137
11,0.018841458220711243,-0.01425324546789512,0.0112064417343531,-0.0111806812842899,0.005756289900605518,-0.003619390850400325
13,0.005894536408986534,0.1425973059867729,0.0027365723204741017,0.06241185369798711,0.002895133198587743,0.04380240543731102
14,0.09702701630199882,-0.031536706805285177,0.04682624669127458,-0.022085317220796572,0.0321457665681434,-0.009294549849563186
16,0.0360493140672251,-0.0014840443587494923,0.022838894671319204,0.006261335014132138,0.011322477960608346,0.004099504171091778
17,0.0014392464038868798,-0.009494720260814268,-0.0027660715317397023,-0.002184275632585549,-0.0036755046133989055,-0.0047351271229365555
18,-0.006793268008087323,0.0006227194016023213,-0.00547263390837608,0.0012222050885653264,-0.0018188371712802446,0.0059522314088887775
19,0.007417142344985995,0.0075720768303653915,0.004986185958131568,0.0025658828291803375,0.00507741864078752,0.0016518067370000027
