,Pre7D,Post7D,Pre14D,Post14D,Pre21D,Post21D
1,-0.005571995535103614,0.0014809304247496921,-0.008265577403513021,-0.003465997610251349,-0.008668938865062186,-0.005402176606647807
2,-0.006316532138063433,-0.032613477928362423,-0.004434670825430835,-0.015402678088253685,-0.005076705977242837,-0.009428937116179124
3,-0.010882508590046063,0.013700862557191698,-0.0070424161959205134,-0.002453392696150204,-0.00477915530287049,-0.011725180376028026
4,0.02520055892520571,0.02340294039958312,0.012090333667016805,0.009475740506947404,0.010074934342832059,0.006797398697525317
5,-0.013253272527129156,0.005874902850343691,-0.01130138460639504,0.0038147663762740326,-0.008769057398902658,0.0035709711925186877
6,0.011498295071464628,-0.006319342970836474,0.005775326241760221,-0.004953136958875272,0.002088968283293587,0.0006710532145427178
7,0.008243746334018236,-0.013258052473168979,0.004791985840870079,-0.007529921814454011,0.010031752730112673,-0.009006683283122121
8,-0.0056447610935324325,-0.0006622223028261757,-0.005899623735936757,0.00035357736597062874,-0.0017901145166081313,-0.0001869532252034537
9,3.7318385917859893e-06,-0.004856648694484386,-0.000837969580976708,-0.007808121697351017,-0.0011248195298152852,-0.011610670793835222
10,0.007955589981851497,-0.0113371784214873,0.004880613646493925,-0.006560844218399721,0.0017929565415116598,-0.007113035395572925
11,0.007930383534893311,0.005992550793154916,0.006967758143246286,0.012098746823127223,0.014198680433059318,0.00806583121541815
12,-0.0007087584447943111,-0.006869181119999307,-0.005614702487830091,-0.008162441025236302,0.00017382044404103055,-0.005679909139142633
13,0.006383823441500132,0.01191158794568071,0.004569824111832472,0.0015753047878389764,0.002197826450292442,0.002848762110463923
14,-0.015637905448078714,-0.01580688703202151,-0.00838137254119421,-0.0019350010566896378,-0.007282344965942311,0.006767698196617777
16,-0.013280625508360368,0.010942900646909942,-0.006644619827030877,0.0037897782265818775,-0.00611143441713681,0.0005817919162320058
17,4.026663530456963e-05,-0.031003519026153042,-0.007911349060057807,-0.017083412494779824,0.007885559072737388,-0.016966028751870303
18,0.0019061417447270783,-0.00902089057542436,0.0038184334404930188,0.00039377874762170343,0.0012704349757184095,-0.004785840248522246
19,0.0017270468832206079,0.0033547739823100997,0.0029272904431788967,0.010303130738679282,0.0029992977332312693,0.02301239281181959
20,0.011655199326659064,-0.0033680804798253703,0.011993375829071293,-0.0023262683669222255,0.007734716660317488,0.0010347289242397637
21,-0.013260694107926865,-0.01217322911673598,-0.007035145476882496,-0.006038712345018371,-0.004340744956976133,-0.002356904025078337
22,5.286870600131749e-06,-0.0076572351052860005,0.00625293170830025,-0.006984816956653659,0.002052226678288435,-0.009149685511412037
23,0.004734691617445133,0.0044032211409917085,0.0006986552545301227,0.0029020830892756695,0.000535902685020633,0.0014757446823113478
24,0.010462191688286316,-0.008511372367304731,0.005637590795470601,-0.00955408781166538,0.0027200706395348723,-0.010996501755133937
25,0.00971508321075265,-0.010337775044421533,0.004975608896617236,0.0011959961300970733,0.003437211276554866,0.0011752439869882406
27,0.005989096631746365,0.019969220085122585,0.005134148661805735,0.007447662142870704,0.0013874028861819445,0.005859994399878178
28,-0.010925991839504092,-0.02427441991519615,-0.005074792979251201,-0.026427243048514088,-1.6374614272245587e-05,-0.018964428007685573
29,-0.002780875427720395,-0.004017826891611427,0.0027446615644245824,-0.0025811505005022568,-0.0016663817738367694,0.0006380203650752421
30,-0.0012850272558064845,0.021739258406130533,-6.21262659712611e-05,0.00528799050936302,0.004034982061109793,0.001696638183836237
31,-0.002408877295233296,-0.016715439306959227,-0.004028354687133586,-0.014003674617749068,0.0016447400001337977,-0.00231375070538452
32,0.0013096957900911553,-0.02566041168324219,0.002172705528782891,-0.010444913269750923,0.0001960198932546735,-0.007733381698560019
33,0.0004610657399327825,-0.0024171500893696496,-0.0013079289349004187,-0.0015250325725636395,0.00016971422659670574,-0.002070780081756701
34,0.0013840909960573192,-0.0006729900790738806,0.0021218960629661742,-0.009152846347688332,0.0004902850000639454,-0.007314075012699542
35,-0.008942596975650552,-0.009222317306508515,-0.003961715302344718,-0.012835100299468851,-0.001947266704287325,-0.010499117579062566
36,0.000873289980177599,-0.022604204434167573,0.01015808439205596,-0.009829074013413295,0.008228138913676167,-0.00639669636464321
37,0.010891263800039123,-0.019401233679937752,0.011385490022603749,-0.00722066513427821,0.005993232299772301,-0.004424380572569958
38,0.004913662967212184,-0.027744498064557956,0.002488954676069147,-0.011029385509425593,0.0002501180041986866,0.006062251535988767
39,-0.005002311733447677,0.01170489722510074,-0.004436895326238579,0.005927389723013897,0.00592028306116572,0.0018031608756539602
40,0.005624575717933755,-0.026536639004330766,0.003972081664698979,-0.011669418749304819,0.006409821089968982,-0.009615863114000376
42,0.007850327146489188,9.910091181652355e-05,0.007850327146489188,0.00846224894556458,0.007850327146489188,0.0068719836008165145
43,0.004511705235180861,0.002254614474255025,-0.0003695754343107127,0.000751233366711468,0.00197197136081493,-0.0012547971290662284
44,-0.005328979910912049,-0.01291367221454821,-0.00562890750823956,0.0002890240634783901,-0.00818502345790715,-0.005344916852429475
