,AVG_7D,AVG_14D,AVG_21D
2200,-0.06065374400099491,-0.08390901907496325,-0.12232564970531465
2201,-0.05157435891354254,-0.08689722604643016,-0.07322268476903333
2202,0.024126725618835967,0.01045623997928978,-0.03715000689276252
2203,-0.04471299306340592,-0.055360551662896974,-0.07378430106820419
2204,0.009727626725608077,-0.008066233978655288,-0.021246010780701336
2205,0.009567478931920186,0.01992190359863358,0.05907858848255826
2206,-0.011885165422593087,0.003429109009538192,0.03063898110416445
2207,0.17674689152389914,0.08431311156531551,0.07062627009627656
2208,-0.06504854957971544,-0.06897387733099179,-0.07502034909571692
2209,0.190778159401551,0.22501447764067484,0.259922197898086
2211,0.06810862807713901,0.02280780124680529,0.010279429999395299
2212,0.0077519428557368125,0.0006422693298266704,-0.037961409953063595
2215,-0.026291024772119642,-0.011116885930101551,0.05634609717611864
2217,0.024457554957169923,0.029597468602359962,0.030789467099766
2219,0.024031016396909133,0.05106957887158516,0.0994945628116595
2220,0.02223456608232347,-0.016442854982663145,-0.014889706416147001
2221,-0.014437689935184512,0.012480814363619884,0.03105833834823076
2223,-0.03692287061649871,0.004117484694295041,0.07265798038614317
2224,-0.010744992158064157,-0.014270447240865944,-0.06561924665784159
2225,-0.03921568075710439,-0.03774603069344594,-0.03513807300021506
2226,0.0921212120044354,0.098230617758324,0.09454392954834445
2227,-0.025495692801023626,-0.059148231264049285,-0.04304235041991695
2228,-0.007614182829829527,-0.027629498312125692,-0.030936448449094277
2229,0.07470082938942471,0.08962948641516037,0.08991229196585263
2232,-0.008317712765942911,-0.044452760403724444,0.007265978223564255
2233,0.01238938639760567,0.00352733288183889,0.0038280312113830968
2234,0.09999998563592837,0.08894160458317378,0.04845902707456762
2235,0.14541119013758674,0.20959595817046175,0.2274275879720884
2236,-0.025920864125068444,-0.033385619719856506,-0.04816447294917147
2237,0.02866779305982609,0.040816321882535984,0.1018590200050855
2238,0.08222531272499231,0.15233812735983931,0.23837914418076472
2245,-0.06396255475034965,-0.08326906917588081,-0.07413086038607924
2246,-0.06531049710130457,-0.08814101705107773,-0.07973665110768385
2247,-0.19393942175177953,-0.20795109694206593,-0.2424537622138305
2248,0.0,-0.020547954597153882,-0.013888895325132848
2249,-0.0828947677879758,-0.07460111735725386,-0.06432823094657425
2250,-0.013888852817690912,-0.0450688079251095,-0.04330975748565784
2251,0.013126365006266726,-0.017605845896139515,-0.055555887641513514
2252,0.03253012961499156,0.047878566991976304,0.045197508708006796
2253,0.004608180295776304,0.004072148076262352,-0.009367575379936674
2254,-0.044289216645112636,-0.021170860984118006,-0.009689007120235214
2255,0.004981315739339525,0.4637343502173384,0.7636545034317747
2256,-0.02683983045367383,-0.04956709567898751,-0.07669193513920158
2258,-0.03666246981029375,-0.04593343710264483,-0.033218802800326734
2262,0.044321236049554125,0.07937628417467352,0.11575871513896108
2263,-0.08133087646698749,-0.10803326680180199,-0.13600487583984916
2264,-0.024999996254894394,0.0024937733438265054,-0.008183322602750606
2265,-0.14285701315649835,-0.08799989301253354,-0.02197799492507848
2266,-0.024967069210907373,-0.026229420885793824,-0.044946195596754265
2267,-0.05562342390723138,-0.10153519048990665,-0.119020511412012
2268,0.07959207978831188,0.1849951489704441,0.19506268913975527
2269,-0.016260428599455506,0.0338883096788254,0.05790761589061041
2271,0.0029762607728265012,-0.005191859169186469,0.0033595503343921977
2272,-0.012761629981963061,-0.058999257701218104,-0.07322033710914767
2273,0.00682127662144745,-1.2180626928263556e-08,-0.019827603636293847
2274,-0.07254167093133605,-0.09895834400900408,-0.10213556756010714
2280,0.030075169287288008,-0.009179952529118473,-0.04784883455183504
2281,-0.06751057024735008,-0.0697424887185093,-0.06158358215137137
2282,-0.03791471855562979,-0.019464734174313863,0.02572348246866934
2283,0.0,-0.02261851852150882,-0.11136629990025625
2284,-0.018698155491457,-0.03153152215763937,-0.05640907639912932
2285,-0.010250255301300141,-0.046839500424436444,-0.07677828607411143
2286,-0.07758637654643323,-0.0683298264653413,-0.07337169634693147
2287,-0.009017962800954637,-0.03819428654089461,-0.04151545549309191
2288,-0.06747409557099386,-0.11798672246198774,-0.0929851638851446
2289,0.007946654117464029,0.013961241753562656,0.007089663493184287
2290,0.0017167472950810794,-0.0257383928825652,0.0011318713878618438
2291,-0.02786378727467347,-0.03908895259699175,-0.0800650280769025
2292,0.060355756449465024,0.22197308585026043,0.2703463135542242
2293,-0.011756564301308156,0.0022495275277571547,-0.01686858326002328
2298,-0.05989113591198132,0.04584526642200174,0.1538840202661239
2299,-1.4623962247793968e-08,-0.008632130197793969,-0.020113664319670137
2300,-0.056097580354317646,-0.0687575688173197,-0.09090911730015447
2301,-0.05154641708204131,-0.07000006502865493,-0.1270359007715078
2302,0.05714290049985111,0.04225357415444288,0.026420076565280178
2303,-0.0036630518004449803,-0.049689415831525155,-0.10335913282174584
2304,-0.04503297335710535,0.007194637770679064,0.06102327970729393
2305,-0.002369506048062503,0.0011949665967578244,-0.011475812185195179
2306,0.035252404044363986,0.013309943556143266,-0.009480851381144243
2307,-0.02563370992824609,-0.045897658379894346,-0.08344281894316524
2308,0.02078051969265251,0.02208004369419519,0.006262627162414326
2309,-0.018974210228800158,-0.047459131462038055,-0.04506606209003491
2310,-0.01968543805283403,0.005243460674119924,0.06485166124550693
2311,-0.05020918210057362,-0.15107319586198908,-0.16678791903061732
2312,-0.0655421876922573,-0.08225730465599895,-0.07234727541490593
2313,0.011904750551496276,-0.006391640550850509,-0.019733028976234603
2314,0.10321325468742537,0.16462682513683707,0.18339430730792167
2315,0.02675974631575201,0.004306632199458678,-0.04997171743323974
2316,0.08460423769099076,0.10363997022196804,0.10899738481916779
2317,0.038870719130054236,0.0708744033206375,0.08983652975727253
2318,0.006422619954713684,0.00711744644038792,-0.008637435143504651
2319,0.021712134784895056,0.04439544885960554,0.05075067054254101
2320,0.016851632970304647,0.01621402508159593,0.010141454666036337
2321,-0.05436339162258175,-0.05298961700330609,-0.051521974758913645
2322,0.007936524080371281,0.03715672065422421,0.13256827920874573
2323,0.19236019994244793,0.2255846412385647,0.24630318431158113
2324,-0.05561732750959031,-0.04886364421445478,-0.06681682472838496
2325,0.0046345745485277335,0.07961113299288675,0.13539232580527857
2326,-0.00038313226714786443,0.06774521061907207,0.10643291113760348
2327,0.024913983917749863,0.013951554787000237,0.0017779392886858637
