,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Kapitał własny akcjonariuszy jednostki dominującej,4496.0,16457.0,14824.0,15635.0,17082.0,18301.0,19341.0,21274.0,20199.0,23930.0,27970.0,32101.0,32856.0,37446.0,39848.0,46046.0,48803.0,51189.0
Kapitał (fundusz) podstawowy,2067.0,3067.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0,3261.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,-11.0,-150.0,-609.0,-609.0,-609.0,-609.0,-609.0,-609.0
Kapitał (fundusz) zapasowy,1752.0,11886.0,13167.0,13167.0,13167.0,13167.0,11211.0,11212.0,11212.0,11212.0,13096.0,12924.0,8150.0,2060.0,2060.0,8150.0,8150.0,8150.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,400.0,4563.0,4174.0,3648.0,3862.0,3270.0,3034.0,2165.0,1482.0,924.0,1125.0,2034.0,2035.0,4410.0,3767.0,2144.0,3597.0,3732.0
Z tytułu dostaw i usług,1118.0,996.0,1658.0,1847.0,2236.0,2392.0,4665.0,7055.0,4848.0,4919.0,5013.0,5995.0,5000.0,8636.0,2816.0,3531.0,2531.0,5523.0
Kredyty i pożyczki,642.0,454.0,1385.0,495.0,1092.0,342.0,637.0,637.0,1647.0,1259.0,2408.0,1175.0,468.0,602.0,602.0,357.0,67.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,722.0,707.0,495.0,311.0,341.0,394.0,429.0,206.0,194.0,453.0,1366.0,554.0,737.0,867.0,776.0,919.0,270.0
Inne zobowiązania długoterminowe,23.0,19.0,6.0,113.0,89.0,65.0,298.0,253.0,255.0,203.0,410.0,433.0,452.0,925.0,995.0,4.0,4.0,23.0
Zobowiązania krótkoterminowe,2576.0,5776.0,5213.0,3768.0,4056.0,3569.0,6020.0,8693.0,7057.0,8466.0,8896.0,9957.0,9551.0,12608.0,10365.0,12481.0,9925.0,12303.0
Inne zobowiązania krótkoterminowe,816.0,3604.0,1463.0,931.0,417.0,494.0,324.0,572.0,356.0,2094.0,1022.0,1421.0,3529.0,2633.0,6080.0,7817.0,6408.0,6510.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,7472.0,26796.0,24211.0,23051.0,25000.0,25140.0,28395.0,32132.0,28738.0,33320.0,37991.0,44092.0,44442.0,54464.0,53980.0,60671.0,62325.0,67224.0
Przepływy pieniężne z działalności operacyjnej,2718.0,138.0,1997.0,3736.0,1439.0,3695.0,5874.0,5293.0,1167.0,8057.0,3412.0,7542.0,9204.0,6155.0,9850.0,4548.0,1189.0,13788.0
Amortyzacja,1279.0,1962.0,2149.0,2413.0,2221.0,2122.0,2002.0,1969.0,1759.0,2403.0,2978.0,3370.0,3703.0,4762.0,4715.0,4197.0,5350.0,5855.0
Przepływy pieniężne z działalności inwestycyjnej,-2773.0,-11697.0,-6339.0,-149.0,-635.0,-2033.0,-3648.0,-3215.0,-2771.0,-3923.0,-3799.0,-8319.0,-5473.0,-5144.0,-3723.0,-7577.0,-10090.0,-7426.0
CAPEX (niematerialne i rzeczowe),2797.0,6138.0,6340.0,149.0,825.0,2259.0,3487.0,4013.0,3394.0,4944.0,3753.0,4879.0,4133.0,5537.0,3623.0,7622.0,10157.0,7508.0
Przepływy pieniężne z działalności finansowej,64.0,14153.0,1440.0,-3026.0,-1301.0,-1706.0,-1124.0,-744.0,372.0,558.0,116.0,-872.0,-600.0,-2469.0,1802.0,2419.0,-1038.0,-1951.0
Emisja akcji,489.0,10551.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,0.0,0.0,0.0,803.0
Przepływy pieniężne razem,9.0,2594.0,-2902.0,561.0,-497.0,-44.0,1102.0,1334.0,-1232.0,4692.0,-271.0,-1649.0,3131.0,-1458.0,7929.0,-610.0,-9939.0,4411.0
