,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Inwestycje krótkoterminowe,230468.0,265153.0,336045.0,401115.0,263750.0,278673.0,337186.0,323377.0,223691.0,175210.0,114446.0,136989.0,130229.0,112032.0,155453.0,70721.0,138432.0,135902.0,70022.0,91382.0
Środki pieniężne i inne aktywa pieniężne,227412.0,189656.0,334705.0,337660.0,263743.0,124225.0,182358.0,125505.0,190917.0,99554.0,52330.0,31163.0,50197.0,19198.0,33003.0,61065.0,138355.0,134878.0,69054.0,90400.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10682.0,13747.0,0.0,4344.0,0.0,0.0,0.0,0.0
Aktywa razem,1456784.0,1503959.0,1532637.0,1623137.0,1598561.0,1538236.0,1805476.0,1803720.0,1702819.0,1642857.0,1556499.0,1610213.0,1569382.0,1395888.0,1399826.0,1992445.0,2018298.0,1921256.0,1793073.0,2045408.0
Kapitał własny akcjonariuszy jednostki dominującej,1137000.0,1125390.0,1165169.0,1215683.0,1167211.0,1196281.0,1221052.0,1246064.0,1188371.0,1189574.0,1149589.0,1153486.0,1097123.0,995618.0,975010.0,931243.0,820942.0,774355.0,674123.0,738488.0
Kapitał (fundusz) podstawowy,56758.0,56758.0,54978.0,54978.0,54978.0,50937.0,50937.0,50937.0,50937.0,50937.0,50937.0,47665.0,47665.0,47665.0,46581.0,46581.0,46581.0,46581.0,46581.0,46581.0
Udziały (akcje) własne,0.0,119952.0,0.0,0.0,71007.0,0.0,0.0,0.0,0.0,0.0,30060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,353646.0,353646.0,290506.0,290506.0,290506.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0,147192.0
Udziały niekontrolujące,1554.0,-207.0,-503.0,-95.0,-93.0,-206.0,15500.0,17253.0,17679.0,18021.0,15490.0,16699.0,20195.0,19065.0,21149.0,20932.0,11381.0,5929.0,-99.0,109077.0
Zobowiązania długoterminowe,158067.0,200323.0,170345.0,169947.0,138548.0,99933.0,273497.0,221341.0,171191.0,154947.0,116265.0,118589.0,128389.0,106369.0,114999.0,628277.0,739784.0,694299.0,708555.0,636342.0
