,0,1,2,3,4,5,6,7,8,9,10,11
Inne zobowiązania krótkoterminowe,565.0,737.0,4588.0,5807.0,5290.0,11042.0,7767.0,7393.0,6794.0,9851.0,12935.0,10333.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,75066.0,85215.0,569820.0,749879.0,852196.0,893906.0,1063446.0,1145069.0,1243833.0,1262947.0,2010836.0,2085124.0
Przepływy pieniężne z działalności operacyjnej,9199.0,11679.0,37956.0,88000.0,113591.0,113639.0,155714.0,188986.0,211024.0,244690.0,265768.0,383984.0
Amortyzacja,3129.0,3219.0,20775.0,30442.0,42377.0,53890.0,59111.0,84438.0,85283.0,87108.0,106183.0,152698.0
Przepływy pieniężne z działalności inwestycyjnej,-10993.0,-8974.0,-407719.0,-160755.0,-92613.0,-67795.0,-239350.0,-109147.0,-65824.0,-114289.0,-576443.0,-225859.0
CAPEX (niematerialne i rzeczowe),10744.0,9187.0,415708.0,155419.0,56334.0,41983.0,42699.0,58479.0,61214.0,77977.0,97065.0,123703.0
Przepływy pieniężne z działalności finansowej,-5070.0,-61.0,397241.0,90568.0,-24789.0,-43757.0,103990.0,-72551.0,-31630.0,-184285.0,358969.0,-99675.0
Emisja akcji,0.0,0.0,203504.0,108888.0,5398.0,0.0,0.0,1330.0,2268.0,2605.0,889.0,445.0
Dywidenda,5070.0,0.0,14149.0,0.0,0.0,31691.0,27748.0,28995.0,0.0,45300.0,35120.0,73238.0
Przepływy pieniężne razem,-6864.0,2644.0,27478.0,17813.0,-3811.0,2087.0,20354.0,7288.0,113570.0,-53884.0,48294.0,58450.0
