,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Pozostałe aktywa obrotowe,3340.0,9049.0,0.0,0.0,5751.0,16702.0,19894.0,21016.0,24118.0,32047.0,8092.0,10882.0,14578.0,15456.0,17456.0,17969.0,21753.0,20154.0
Aktywa trwałe przeznaczone do sprzedaży,15.0,7.0,7.0,613.0,125.0,125.0,347.0,792.0,107.0,3123.0,691.0,10555.0,9050.0,20668.0,95.0,0.0,0.0,0.0
Aktywa razem,1304421.0,1330680.0,1604246.0,1581318.0,3246701.0,4946229.0,5357041.0,9961530.0,9948332.0,10777169.0,11051920.0,11738044.0,14160469.0,15478691.0,18207150.0,23644705.0,25865644.0,24296520.0
Kapitał własny akcjonariuszy jednostki dominującej,795146.0,864628.0,1153865.0,1111132.0,1502176.0,2750470.0,3076620.0,5561457.0,5759039.0,6367288.0,6533877.0,6855759.0,6703038.0,7036374.0,7339074.0,7941863.0,8934649.0,5951454.0
Kapitał (fundusz) podstawowy,120000.0,120000.0,195582.0,195582.0,195582.0,320577.0,320577.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0,495977.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,209990.0,209990.0,209990.0,680688.0,680688.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0,2418270.0
Udziały niekontrolujące,1064.0,1390.0,3466.0,2163.0,447926.0,402197.0,414078.0,709194.0,729097.0,768933.0,595388.0,587648.0,625188.0,657573.0,949828.0,990304.0,1021718.0,516835.0
Zobowiązania długoterminowe,287623.0,239338.0,224365.0,199778.0,366989.0,639017.0,718725.0,1412617.0,1195845.0,1785146.0,2072368.0,2336621.0,3556776.0,4288382.0,5704419.0,5951160.0,7294419.0,2997479.0
Z tytułu dostaw i usług,67668.0,82198.0,161294.0,143372.0,591233.0,754181.0,697317.0,1313547.0,1425553.0,1347227.0,1602929.0,1769199.0,2598289.0,2516567.0,3092693.0,5827116.0,6141011.0,5388239.0
Kredyty i pożyczki,1997.0,5837.0,21174.0,110201.0,281699.0,168754.0,200017.0,604140.0,509259.0,118880.0,52034.0,70209.0,362620.0,205908.0,193443.0,818475.0,689738.0,6867697.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,225.0,440.0,26232.0,1082.0,5141.0,66798.0,64789.0,78968.0,79375.0,57658.0,67485.0,31484.0,198138.0,59530.0,747967.0,1826318.0,1362571.0,2267065.0
Inne zobowiązania długoterminowe,274038.0,209263.0,174142.0,168659.0,326459.0,388968.0,411114.0,755411.0,698708.0,721584.0,685219.0,732150.0,1029687.0,1356540.0,1446887.0,1241898.0,1278938.0,1994900.0
Zobowiązania krótkoterminowe,220588.0,225324.0,222550.0,268245.0,929610.0,1154545.0,1147618.0,2278262.0,2264351.0,1855802.0,1850287.0,1958016.0,3275467.0,3496362.0,4213829.0,8761378.0,8614858.0,14830752.0
Inne zobowiązania krótkoterminowe,150698.0,136849.0,13850.0,13590.0,51537.0,164812.0,185495.0,281607.0,250164.0,332037.0,127839.0,87124.0,116420.0,714357.0,179726.0,289469.0,421538.0,307751.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1304421.0,1330680.0,1604246.0,1581318.0,3246701.0,4946229.0,5357041.0,9961530.0,9948332.0,10777169.0,11051920.0,11738044.0,14160469.0,15478691.0,18207150.0,23644705.0,25865644.0,24296520.0
Przepływy pieniężne z działalności operacyjnej,84095.0,102127.0,62174.0,-43288.0,115161.0,-167125.0,543780.0,990497.0,819781.0,1630226.0,1115806.0,1114225.0,1082530.0,2033434.0,2705161.0,5784827.0,5608373.0,6558992.0
Amortyzacja,76805.0,77120.0,72887.0,80844.0,92328.0,188864.0,239592.0,550166.0,520175.0,484810.0,519721.0,589672.0,683451.0,811286.0,765788.0,761656.0,756013.0,808174.0
Przepływy pieniężne z działalności inwestycyjnej,-59699.0,-96773.0,-380990.0,-222648.0,-63996.0,-338520.0,-596148.0,-688538.0,-648066.0,-1503373.0,-1303190.0,-709222.0,-1761460.0,-1186489.0,-2831493.0,-2423436.0,-2808542.0,-2494175.0
CAPEX (niematerialne i rzeczowe),65224.0,100035.0,145812.0,75813.0,94979.0,344034.0,397294.0,911834.0,676398.0,1061762.0,1241240.0,1069140.0,1097209.0,1049703.0,3002934.0,2479061.0,2830715.0,2496079.0
Przepływy pieniężne z działalności finansowej,-29548.0,3871.0,309736.0,21792.0,-16393.0,462189.0,45970.0,169451.0,-328041.0,68518.0,74395.0,54490.0,433450.0,-919939.0,254821.0,-1917836.0,-3792730.0,-4419708.0
Emisja akcji,0.0,0.0,285571.0,0.0,0.0,594278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,37829.0,14731.0,1000.0,42459.0,0.0,0.0,0.0,170813.0,41768.0,25544.0,96522.0,100313.0,144345.0,2695.0,9447.0,5651.0,16482.0,13189.0
Przepływy pieniężne razem,-5152.0,9225.0,-9080.0,-244144.0,34772.0,-43456.0,-6398.0,471410.0,-156326.0,195371.0,-112989.0,459493.0,-245480.0,-72994.0,128489.0,1443555.0,-992899.0,-354891.0
