,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Inwestycje krótkoterminowe,448506.0,600046.0,510942.0,539903.0,827627.0,1159046.0,1879577.0,1761771.0,1323457.0,1662078.0,1851452.0,2415558.0,2716892.0,2413372.0,1975184.0,2080963.0,2386256.0,2717291.0,3255220.0,3932701.0
Środki pieniężne i inne aktywa pieniężne,343323.0,492866.0,489249.0,509162.0,726006.0,1130357.0,1862403.0,1761630.0,1317733.0,1658783.0,1831652.0,2413126.0,2715134.0,2126839.0,1409152.0,1515977.0,2384398.0,2715795.0,3249369.0,3900290.0
Pozostałe aktywa obrotowe,6267.0,6405.0,6164.0,5037.0,6063.0,4772.0,7646.0,13917.0,9061.0,32763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,30478.0,107.0,4451.0,5908.0,0.0,0.0,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1754431.0,1934816.0,2238338.0,2344284.0,3286110.0,3339623.0,4067239.0,4551114.0,3448211.0,3686753.0,3858209.0,4713364.0,5593665.0,5997356.0,5456351.0,6673959.0,7462240.0,6863318.0,7387208.0,8418241.0
Kapitał własny akcjonariuszy jednostki dominującej,520177.0,519674.0,523253.0,536229.0,561729.0,586180.0,680405.0,711110.0,433130.0,626323.0,519265.0,599206.0,801377.0,881443.0,743341.0,808149.0,1149351.0,1319240.0,1258384.0,1530815.0
Kapitał (fundusz) podstawowy,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0,145848.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,234799.0,234799.0,234799.0,234799.0,234799.0,234799.0,234799.0,234799.0,234799.0,87163.0,87163.0,87163.0,87163.0,87163.0,87163.0,87163.0,87163.0,80199.0,80199.0,80199.0
Udziały niekontrolujące,4989.0,2864.0,1003.0,62.0,0.0,0.0,0.0,0.0,0.0,18852.0,3244.0,3918.0,4443.0,685.0,7136.0,28491.0,37920.0,41767.0,41071.0,39483.0
Zobowiązania długoterminowe,118108.0,131741.0,141062.0,312920.0,433604.0,418021.0,254960.0,360153.0,382378.0,347985.0,412629.0,444226.0,488704.0,614923.0,788821.0,1049392.0,1139735.0,1023841.0,1029009.0,1096208.0
Z tytułu dostaw i usług,598416.0,650027.0,919594.0,784922.0,943257.0,908828.0,1270662.0,1698239.0,1287594.0,1217984.0,1117743.0,1135894.0,1520870.0,1697984.0,1720438.0,1530773.0,1371850.0,1396300.0,1516956.0,1782006.0
Kredyty i pożyczki,31870.0,102400.0,138273.0,116612.0,136405.0,62941.0,17544.0,37753.0,17718.0,19729.0,21402.0,19778.0,20276.0,30324.0,54823.0,177108.0,189067.0,83777.0,76435.0,64186.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,2079.0,21319.0,3235.0,1589.0
Inne zobowiązania długoterminowe,92852.0,108866.0,118626.0,155059.0,178938.0,187803.0,241785.0,286172.0,306411.0,313630.0,366331.0,399663.0,424387.0,520587.0,602696.0,756327.0,856808.0,866496.0,867496.0,915580.0
Zobowiązania krótkoterminowe,1111157.0,1280537.0,1573020.0,1495073.0,2290777.0,2335422.0,3131874.0,3479851.0,2632703.0,2693593.0,2923071.0,3666014.0,4299141.0,4500305.0,3917053.0,4787927.0,5135234.0,4478470.0,5058744.0,5751735.0
Inne zobowiązania krótkoterminowe,480871.0,528110.0,515153.0,593539.0,1211115.0,1363653.0,1843668.0,1743859.0,1327391.0,1455880.0,1783926.0,2510342.0,2757995.0,2771997.0,2141792.0,3078743.0,3572238.0,2977074.0,3462118.0,3903954.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1754431.0,1934816.0,2238338.0,2344284.0,3286110.0,3339623.0,4067239.0,4551114.0,3448211.0,3686753.0,3858209.0,4713364.0,5593665.0,5997356.0,5456351.0,6673959.0,7462240.0,6863318.0,7387208.0,8418241.0
Przepływy pieniężne z działalności operacyjnej,35518.0,-49519.0,-77955.0,-15184.0,172954.0,964451.0,1191133.0,351404.0,-44147.0,314661.0,486062.0,699259.0,611502.0,195796.0,-523375.0,574348.0,887512.0,765445.0,1427766.0,1312035.0
Amortyzacja,25963.0,21177.0,21186.0,23609.0,22228.0,21232.0,21201.0,30330.0,50683.0,28893.0,23031.0,22348.0,25923.0,37478.0,52111.0,105679.0,137524.0,146607.0,152387.0,157315.0
Przepływy pieniężne z działalności inwestycyjnej,125862.0,122681.0,90229.0,19091.0,-64181.0,-304648.0,-5184.0,-211668.0,-98693.0,158455.0,-49024.0,-70462.0,-48930.0,-356583.0,309684.0,-185260.0,96429.0,827043.0,-169691.0,-131810.0
CAPEX (niematerialne i rzeczowe),22585.0,13676.0,20702.0,11139.0,10189.0,13917.0,22271.0,239692.0,106628.0,13571.0,16075.0,70168.0,42664.0,32263.0,21522.0,51533.0,61250.0,104505.0,125190.0,141948.0
Przepływy pieniężne z działalności finansowej,3512.0,52534.0,19773.0,16044.0,90026.0,-253630.0,-454785.0,-260755.0,-290985.0,-154100.0,-300214.0,-171510.0,-223100.0,-400080.0,-481037.0,-316473.0,-243664.0,-988379.0,-720916.0,-525292.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,149096.0,173605.0,231814.0,280065.0,112077.0,302532.0,155989.0,207815.0,382696.0,449585.0,160839.0,116417.0,806750.0,599191.0,459286.0
Przepływy pieniężne razem,164892.0,125696.0,32047.0,19951.0,198799.0,406173.0,731164.0,-121019.0,-433825.0,319016.0,136824.0,457287.0,339472.0,-560867.0,-694728.0,72615.0,740277.0,604109.0,537159.0,654933.0
