,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Środki pieniężne i inne aktywa pieniężne,54697.0,63415.0,170596.0,287705.0,309251.0,429188.0,460067.0,301163.0,177157.0,105490.0,202294.0,352730.0,215780.0,96426.0,154513.0,273683.0,183289.0,240761.0,205674.0,282089.0
Pozostałe aktywa obrotowe,36983.0,33998.0,57429.0,147322.0,161959.0,187018.0,230947.0,588981.0,748544.0,476633.0,435681.0,384471.0,361824.0,376337.0,384963.0,293335.0,272861.0,214501.0,254621.0,213060.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113443.0,0.0,0.0,0.0,0.0,21734.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,492148.0,480381.0,750167.0,1008998.0,1275796.0,1504919.0,1627475.0,1939793.0,1953260.0,1610141.0,1367462.0,1287135.0,1146632.0,991635.0,1047261.0,1035884.0,963164.0,922151.0,1038548.0,1228504.0
Kapitał własny akcjonariuszy jednostki dominującej,117809.0,88488.0,224320.0,284884.0,337687.0,482459.0,517633.0,381528.0,266770.0,179241.0,168285.0,200060.0,216754.0,124890.0,80826.0,40140.0,43091.0,58340.0,76456.0,98225.0
Kapitał (fundusz) podstawowy,34801.0,34801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0,44801.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,105050.0,65684.0,139795.0,171696.0,230445.0,310623.0,415390.0,455646.0,330461.0,224857.0,219320.0,136570.0,140713.0,137646.0,139707.0,138497.0,108406.0,108406.0,108406.0,108406.0
Udziały niekontrolujące,66806.0,53655.0,54426.0,59485.0,65308.0,73685.0,70028.0,65055.0,61168.0,32819.0,25087.0,23622.0,21209.0,13676.0,8829.0,9768.0,13172.0,22371.0,19518.0,12528.0
Zobowiązania długoterminowe,35579.0,69964.0,50233.0,34430.0,46017.0,74515.0,114422.0,121565.0,104207.0,104115.0,237774.0,201825.0,229858.0,264897.0,296348.0,103567.0,112268.0,100406.0,186796.0,217328.0
Z tytułu dostaw i usług,151710.0,157535.0,249140.0,311728.0,338545.0,319072.0,424980.0,687573.0,640524.0,403992.0,354307.0,310090.0,302988.0,248700.0,256989.0,265342.0,201721.0,190897.0,202664.0,373454.0
Kredyty i pożyczki,10768.0,13970.0,11799.0,23247.0,20940.0,13920.0,14726.0,114387.0,350056.0,336240.0,189764.0,130139.0,68821.0,24501.0,31494.0,253314.0,206480.0,132150.0,140196.0,128412.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
