,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Kredyty i pożyczki,21760.0,20829.0,13505.0,12872.0,15552.0,39553.0,89709.0,26801.0,39471.0,20889.0,24533.0,26555.0,19800.0,19685.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1126.0,2757.0,11663.0,5499.0,10875.0,15784.0,4180.0,3177.0,801.0,7656.0,6861.0,3408.0,5238.0,11230.0
Inne zobowiązania długoterminowe,1169.0,1200.0,104.0,855.0,2231.0,12373.0,3975.0,765.0,4233.0,871.0,25039.0,25363.0,22378.0,16900.0
Zobowiązania krótkoterminowe,51914.0,54253.0,67190.0,74225.0,106616.0,116346.0,154789.0,93030.0,137111.0,139541.0,113220.0,89896.0,122527.0,129053.0
Inne zobowiązania krótkoterminowe,7506.0,7008.0,7087.0,996.0,401.0,241.0,385.0,249.0,102.0,254.0,2988.0,560.0,786.0,301.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,179613.0,145251.0,149185.0,180635.0,218913.0,258489.0,248972.0,235268.0,251706.0,246247.0,254870.0,247242.0,280306.0,284923.0
Przepływy pieniężne z działalności operacyjnej,22187.0,17330.0,24762.0,39199.0,29056.0,24347.0,27190.0,6588.0,18485.0,14773.0,-15973.0,11382.0,-1779.0,6510.0
Amortyzacja,5251.0,5784.0,6494.0,7081.0,7631.0,9269.0,10055.0,12621.0,14194.0,10180.0,11409.0,11433.0,9886.0,8604.0
Przepływy pieniężne z działalności inwestycyjnej,25826.0,-54071.0,-5617.0,-16371.0,-28828.0,-43453.0,-15563.0,-2406.0,-7228.0,213.0,2030.0,-4711.0,405.0,-1692.0
CAPEX (niematerialne i rzeczowe),3602.0,10340.0,5759.0,16825.0,36104.0,43830.0,15655.0,2499.0,7720.0,3761.0,1518.0,5575.0,6389.0,1871.0
Przepływy pieniężne z działalności finansowej,-44919.0,34693.0,-15249.0,-1856.0,-15853.0,13475.0,-5056.0,-12400.0,-15912.0,-14977.0,14171.0,-5600.0,34.0,-4938.0
Emisja akcji,0.0,0.0,0.0,22968.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,34918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,3094.0,-2048.0,3896.0,20972.0,-15625.0,-5631.0,6571.0,-8218.0,-4655.0,9.0,228.0,1071.0,-1340.0,-120.0
