,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Z tytułu dostaw i usług,49.0,81.0,48.0,98.0,188.0,264.0,185.0,425.0,616.0,616.0,2497.0,3891.0,3269.0,8756.0,5118.0
Kredyty i pożyczki,0.0,0.0,0.0,1.0,143.0,621.0,205.0,7.0,26.0,3256.0,3587.0,2126.0,1522.0,878.0,1602.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,808.0,0.0,0.0,0.0,3175.0,1939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,143.0,118.0,301.0,78.0,257.0,314.0,402.0,269.0,530.0,1925.0
Inne zobowiązania długoterminowe,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,11149.0
Zobowiązania krótkoterminowe,160.0,1391.0,131.0,470.0,523.0,5277.0,3807.0,3040.0,1943.0,5683.0,8536.0,9920.0,7837.0,18730.0,22686.0
Inne zobowiązania krótkoterminowe,111.0,502.0,83.0,371.0,192.0,1074.0,1360.0,2307.0,1223.0,1554.0,2138.0,3501.0,2777.0,8566.0,14041.0
Rozliczenia międzyokresowe,15.0,7.0,9.0,1076.0,640.0,1298.0,1928.0,3648.0,9210.0,12508.0,23114.0,37825.0,21695.0,19152.0,0.0
Pasywa razem,1661.0,2753.0,7633.0,7386.0,7373.0,10685.0,22850.0,33099.0,33358.0,45175.0,61163.0,83922.0,83772.0,121813.0,137169.0
Przepływy pieniężne z działalności operacyjnej,0.0,-175.0,-899.0,-863.0,-2266.0,-1067.0,-2268.0,89.0,60.0,-6072.0,-6639.0,13424.0,25028.0,23075.0,11421.0
Amortyzacja,217.0,170.0,73.0,205.0,498.0,625.0,731.0,836.0,725.0,567.0,978.0,7226.0,11615.0,10430.0,21404.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-270.0,-2519.0,-121.0,-67.0,-244.0,-623.0,1602.0,-257.0,-1103.0,-2136.0,-14564.0,-9381.0,-31237.0,-26538.0
CAPEX (niematerialne i rzeczowe),0.0,17.0,108.0,122.0,118.0,238.0,623.0,716.0,257.0,836.0,2139.0,17544.0,9029.0,19278.0,40512.0
Przepływy pieniężne z działalności finansowej,0.0,782.0,4642.0,0.0,1841.0,1872.0,7787.0,-1948.0,-186.0,7293.0,11189.0,684.0,2372.0,12048.0,-1438.0
Emisja akcji,0.0,0.0,4713.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,878.0,11812.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,0.0,337.0,1224.0,-984.0,-492.0,561.0,4896.0,-257.0,-383.0,118.0,2414.0,-456.0,18019.0,3886.0,-16555.0
