,0,1,2,3,4,5,6,7,8,9,10,11,12
Zobowiązania z tytułu leasingu finansowego,319.0,408.0,203.0,241.0,385.0,1043.0,4707.0,8462.0,7287.0,11919.0,7214.0,20302.0,8340.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,6485.0,8154.0,22737.0,36784.0,48749.0,38992.0,76121.0,28965.0,32273.0
Zobowiązania krótkoterminowe,59357.0,51404.0,77351.0,91126.0,97434.0,205266.0,275161.0,450777.0,515567.0,531098.0,687620.0,640557.0,672075.0
Inne zobowiązania krótkoterminowe,11685.0,17998.0,15066.0,13914.0,27284.0,9378.0,16982.0,20959.0,26088.0,69974.0,76958.0,70987.0,166973.0
Rozliczenia międzyokresowe,866.0,692.0,6134.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,117912.0,133222.0,172253.0,216851.0,327897.0,466795.0,550881.0,900817.0,954981.0,953497.0,1357149.0,1386779.0,1542797.0
Przepływy pieniężne z działalności operacyjnej,3330.0,-9213.0,15272.0,5067.0,-57362.0,33185.0,30772.0,-67577.0,82825.0,126747.0,55819.0,102781.0,97079.0
Amortyzacja,6460.0,4727.0,2908.0,3216.0,3314.0,3906.0,5902.0,7897.0,10219.0,10967.0,11991.0,15519.0,16202.0
Przepływy pieniężne z działalności inwestycyjnej,-8778.0,725.0,-12501.0,-12847.0,-23111.0,-19654.0,-32764.0,-18439.0,-18275.0,-8845.0,-15718.0,-34381.0,-6133.0
CAPEX (niematerialne i rzeczowe),9537.0,147.0,5840.0,12570.0,23205.0,22154.0,28970.0,17476.0,15510.0,6288.0,4137.0,20602.0,7701.0
Przepływy pieniężne z działalności finansowej,6526.0,11549.0,3935.0,-2361.0,86980.0,12811.0,-6468.0,90450.0,-14234.0,-76673.0,-6967.0,-28900.0,-27733.0
Emisja akcji,0.0,210.0,0.0,0.0,28262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,4432.0,9868.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,1078.0,3061.0,6706.0,-10141.0,6507.0,26342.0,-8460.0,4434.0,50316.0,41229.0,33134.0,39500.0,63213.0
