,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Środki pieniężne i inne aktywa pieniężne,3917.0,22132.0,22305.0,25019.0,22795.0,30413.0,17136.0,46007.0,34815.0,23149.0,37435.0,70831.0,37946.0,34963.0,53793.0,53088.0,46644.0,37218.0,52487.0,88611.0
Pozostałe aktywa obrotowe,7010.0,6978.0,4517.0,10304.0,6477.0,7552.0,23077.0,23976.0,17393.0,28956.0,34275.0,31920.0,37678.0,36526.0,42098.0,25632.0,28456.0,45874.0,57325.0,51309.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3149.0,28278.0,28800.0,40548.0,12691.0,9400.0,32721.0,7446.0,1412.0,706.0,2416.0,799.0,0.0
Aktywa razem,71154.0,123652.0,197743.0,431351.0,453226.0,420270.0,460219.0,617950.0,607076.0,639986.0,803332.0,845484.0,820267.0,848769.0,934943.0,1043006.0,996024.0,953541.0,1042748.0,918497.0
Kapitał własny akcjonariuszy jednostki dominującej,29747.0,79841.0,93310.0,297064.0,307916.0,332313.0,331995.0,379947.0,374463.0,399427.0,420035.0,428469.0,422909.0,420743.0,477682.0,496549.0,511796.0,534552.0,513946.0,453695.0
Kapitał (fundusz) podstawowy,4401.0,6901.0,6901.0,11870.0,11870.0,11870.0,11870.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14795.0,14026.0,13632.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,-23497.0,-53294.0,-53294.0,-60702.0,-70685.0,-80885.0,-80885.0,-80885.0,-80885.0,-80885.0,-80885.0,-80885.0,-63093.0,-72399.0
Kapitał (fundusz) zapasowy,11137.0,50090.0,50090.0,217632.0,217632.0,217632.0,217632.0,284403.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0,290516.0
Udziały niekontrolujące,3031.0,2090.0,13767.0,2282.0,1840.0,3817.0,1315.0,23677.0,14208.0,11878.0,19486.0,20454.0,20506.0,26782.0,25616.0,29636.0,27324.0,31767.0,25903.0,4597.0
Zobowiązania długoterminowe,2643.0,13885.0,35405.0,21654.0,13383.0,7505.0,22596.0,45794.0,32894.0,22997.0,56685.0,135302.0,105710.0,92782.0,104001.0,89751.0,56858.0,53677.0,112766.0,88461.0
Z tytułu dostaw i usług,15107.0,11299.0,24530.0,58987.0,73215.0,29978.0,39865.0,55438.0,61169.0,71224.0,91792.0,118905.0,106624.0,94000.0,112960.0,125618.0,132172.0,135284.0,163230.0,151785.0
Kredyty i pożyczki,10347.0,4515.0,12542.0,17501.0,15001.0,15048.0,30583.0,69766.0,69501.0,66303.0,86037.0,53110.0,58675.0,74904.0,107148.0,144351.0,162587.0,107929.0,136232.0,61072.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39572.0,43612.0,23341.0,49573.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3166.0,2878.0,2460.0,3746.0,6011.0,10596.0,15722.0,22068.0,11992.0,11495.0,10027.0,10524.0
Inne zobowiązania długoterminowe,756.0,853.0,1193.0,2720.0,1115.0,1477.0,6091.0,15025.0,12643.0,6576.0,9226.0,9785.0,12280.0,12443.0,19885.0,24425.0,24759.0,29197.0,30537.0,24854.0
Zobowiązania krótkoterminowe,35733.0,27836.0,55261.0,110351.0,130087.0,76635.0,104313.0,168532.0,185511.0,205684.0,307126.0,261259.0,271142.0,308462.0,327644.0,427070.0,400046.0,333545.0,390133.0,371744.0
Inne zobowiązania krótkoterminowe,10279.0,12022.0,18189.0,33863.0,41871.0,31609.0,33865.0,43328.0,51675.0,65279.0,126837.0,85498.0,60260.0,85350.0,68473.0,85460.0,93295.0,78837.0,80644.0,148363.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,71154.0,123652.0,197743.0,431351.0,453226.0,420270.0,460219.0,617950.0,607076.0,639986.0,803332.0,845484.0,820267.0,848769.0,934943.0,1043006.0,996024.0,953541.0,1042748.0,918497.0
Przepływy pieniężne z działalności operacyjnej,-12682.0,-809.0,25281.0,14271.0,18545.0,45236.0,-3636.0,38802.0,28876.0,48640.0,9406.0,76899.0,22233.0,15619.0,2046.0,7484.0,104693.0,119382.0,1577.0,219532.0
Amortyzacja,4387.0,3987.0,6656.0,6250.0,6913.0,7959.0,7816.0,12772.0,13555.0,14663.0,16671.0,21243.0,22732.0,27108.0,29440.0,38566.0,43492.0,46709.0,46830.0,44386.0
Przepływy pieniężne z działalności inwestycyjnej,-2305.0,-20967.0,-53287.0,-50464.0,-8706.0,-27241.0,-9204.0,-15155.0,-24811.0,-32450.0,-28654.0,-57278.0,-43207.0,-27883.0,11354.0,-23077.0,-31745.0,-33701.0,-21228.0,-33686.0
CAPEX (niematerialne i rzeczowe),5042.0,4456.0,17446.0,16767.0,9199.0,8313.0,6137.0,8836.0,14044.0,22872.0,22829.0,17160.0,38758.0,29716.0,26238.0,25141.0,36339.0,42280.0,39482.0,34602.0
Przepływy pieniężne z działalności finansowej,11590.0,39991.0,28179.0,38907.0,-12063.0,-10377.0,-437.0,5224.0,-15257.0,-27856.0,33534.0,13024.0,-11911.0,10449.0,4202.0,14888.0,-79392.0,-95107.0,34920.0,-149722.0
Emisja akcji,48.0,41452.0,0.0,21039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7841.0,1541.0,0.0,0.0,0.0,0.0,15020.0,15049.0,743.0
Przepływy pieniężne razem,-3397.0,18215.0,173.0,2714.0,-2224.0,7618.0,-13277.0,28871.0,-11192.0,-11666.0,14286.0,32645.0,-32885.0,-1815.0,17602.0,-705.0,-6444.0,-9426.0,15269.0,36124.0
