,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kapitał (fundusz) podstawowy,1043.0,1027.0,990.0,1104.0,1022.0,1037.0,1066.0,1065.0,1106.0,1043.0,1075.0,1065.0,1154.0,1150.0,1172.0,1087.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,-9718.0,-20225.0,-21240.0,-20024.0,-23766.0,-23537.0,-25506.0,-28070.0,-28622.0,-23153.0
Kapitał (fundusz) zapasowy,232974.0,228790.0,220343.0,245742.0,227459.0,230742.0,237146.0,237101.0,246143.0,232061.0,239243.0,236934.0,256758.0,255901.0,260937.0,241914.0
Udziały niekontrolujące,4035.0,308.0,444.0,1555.0,1051.0,212.0,136.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,77915.0,264059.0,269934.0,566044.0,702704.0,555323.0,527835.0,385772.0,328703.0,245825.0,328576.0,489353.0,524301.0,541372.0,490953.0,552309.0
Z tytułu dostaw i usług,34084.0,16153.0,22257.0,40299.0,63257.0,47635.0,21188.0,198437.0,28389.0,29342.0,29339.0,25487.0,19917.0,34965.0,39719.0,48458.0
Kredyty i pożyczki,335949.0,132937.0,224997.0,451543.0,406829.0,520138.0,617688.0,370354.0,487149.0,421057.0,991584.0,633712.0,83103.0,81087.0,247434.0,74838.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76291.0,153617.0,119357.0,152148.0,137386.0,137201.0
Inne zobowiązania długoterminowe,28276.0,48641.0,49052.0,90827.0,69851.0,81045.0,74126.0,85490.0,115475.0,59148.0,67974.0,46545.0,27389.0,21470.0,38481.0,26801.0
Zobowiązania krótkoterminowe,406421.0,199782.0,298706.0,597394.0,553313.0,773764.0,692436.0,684486.0,650748.0,527865.0,1203630.0,875552.0,278812.0,357419.0,533106.0,367119.0
Inne zobowiązania krótkoterminowe,36388.0,50691.0,51452.0,105553.0,83228.0,205991.0,53560.0,115695.0,135211.0,77466.0,106416.0,62736.0,56434.0,89219.0,108566.0,106622.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,735089.0,950695.0,1396556.0,2518570.0,2662849.0,2941572.0,2159025.0,2095120.0,2541898.0,2224328.0,3092973.0,3233343.0,2359806.0,3176148.0,3318540.0,3088258.0
Przepływy pieniężne z działalności operacyjnej,-9471.0,57872.0,99015.0,30595.0,63285.0,159000.0,399676.0,375928.0,364361.0,286478.0,36623.0,734970.0,735336.0,263495.0,184632.0,396985.0
Amortyzacja,39429.0,33597.0,52268.0,77179.0,103313.0,112551.0,108122.0,94183.0,127871.0,152976.0,171407.0,266459.0,256168.0,236345.0,214338.0,215622.0
Przepływy pieniężne z działalności inwestycyjnej,-180348.0,-21153.0,-157616.0,-401209.0,-160732.0,-178014.0,-207868.0,-9478.0,-54694.0,-255005.0,-203966.0,-93542.0,-62918.0,-18476.0,-72693.0,-175285.0
CAPEX (niematerialne i rzeczowe),159198.0,42569.0,132246.0,257106.0,210730.0,225400.0,114920.0,82613.0,92877.0,214489.0,211195.0,101697.0,68488.0,58923.0,84043.0,183629.0
Przepływy pieniężne z działalności finansowej,219427.0,-32245.0,59848.0,379787.0,107606.0,3156.0,-163378.0,-347146.0,-324124.0,-24909.0,155015.0,-655345.0,-600187.0,-298285.0,-25565.0,-273533.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55906.0,0.0,52720.0
Przepływy pieniężne razem,29607.0,4474.0,1247.0,9174.0,10159.0,-15859.0,28430.0,19305.0,-14458.0,6565.0,-12328.0,-13917.0,72231.0,-53266.0,86374.0,-51833.0
