,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,-386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,0.0,51094.0,46238.0,35659.0,148939.0,148940.0,148940.0,148940.0,148940.0,148940.0,148940.0,148940.0,148940.0,148940.0
Udziały niekontrolujące,0.0,0.0,0.0,672.0,764.0,630.0,-447.0,-146.0,-497.0,0.0,0.0,963.0,97.0,43.0,0.0,0.0,0.0
Zobowiązania długoterminowe,5853.0,2839.0,1848.0,269.0,444.0,680.0,16317.0,986.0,1265.0,32035.0,14343.0,82105.0,49623.0,55163.0,26677.0,13640.0,25909.0
Z tytułu dostaw i usług,1139.0,3895.0,5019.0,4196.0,4622.0,7311.0,30778.0,16472.0,19815.0,19674.0,18997.0,29420.0,43030.0,42801.0,49305.0,49307.0,56333.0
Kredyty i pożyczki,0.0,820.0,141.0,1895.0,137.0,183.0,7042.0,4069.0,0.0,0.0,13658.0,10417.0,35423.0,7686.0,5561.0,16446.0,4.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,43.0,49.0,52.0,132.0,238.0,303.0,79.0,37.0,100.0,249.0,210.0,543.0,1880.0,1929.0,1621.0,1464.0,1262.0
Inne zobowiązania długoterminowe,31.0,18.0,7.0,7.0,72.0,621.0,2845.0,808.0,133.0,10096.0,1444.0,24572.0,19176.0,15703.0,11235.0,8843.0,21733.0
Zobowiązania krótkoterminowe,1182.0,4764.0,7537.0,7103.0,5419.0,9292.0,47216.0,22187.0,25369.0,32130.0,49654.0,45924.0,85729.0,58116.0,66977.0,78660.0,78497.0
Inne zobowiązania krótkoterminowe,0.0,0.0,2325.0,880.0,422.0,1495.0,9317.0,1609.0,5454.0,12207.0,16789.0,5544.0,5396.0,5700.0,10490.0,11443.0,20898.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,9987.0,14370.0,20755.0,29850.0,72652.0,75796.0,136863.0,97422.0,97472.0,130606.0,123496.0,208349.0,224889.0,230406.0,261814.0,296409.0,347422.0
Przepływy pieniężne z działalności operacyjnej,2177.0,6637.0,5954.0,8008.0,198.0,12105.0,55216.0,24560.0,20334.0,20229.0,11117.0,19651.0,22852.0,28444.0,57332.0,28151.0,50024.0
Amortyzacja,1100.0,960.0,1157.0,2536.0,3429.0,6437.0,7348.0,13076.0,21749.0,26894.0,24804.0,37393.0,50121.0,53403.0,57433.0,57687.0,57572.0
Przepływy pieniężne z działalności inwestycyjnej,-2083.0,-4355.0,-4196.0,-7239.0,-20871.0,-6267.0,-36999.0,-9822.0,-10920.0,-4397.0,-1125.0,-56792.0,-4404.0,-3867.0,-6385.0,-5186.0,-41232.0
CAPEX (niematerialne i rzeczowe),2076.0,4362.0,4196.0,3773.0,18751.0,6623.0,38653.0,10223.0,779.0,734.0,1807.0,3515.0,4432.0,3867.0,5998.0,5755.0,4017.0
Przepływy pieniężne z działalności finansowej,-91.0,-2370.0,-1451.0,-253.0,-35504.0,-14389.0,-10895.0,-7367.0,-24174.0,-13998.0,-15742.0,38489.0,-18218.0,-20313.0,-29574.0,-12505.0,-25006.0
Emisja akcji,0.0,0.0,0.0,0.0,37592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,13859.0,13821.0,6220.0,19821.0,19821.0,22398.0,10902.0,5946.0,0.0,0.0,9911.0,6938.0
Przepływy pieniężne razem,3.0,-88.0,307.0,516.0,-56177.0,-8551.0,7322.0,7371.0,-14760.0,1834.0,-5750.0,1348.0,230.0,4264.0,21373.0,10460.0,-16214.0
