,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Aktywa razem,178546.0,264215.0,232100.0,195882.0,234594.0,179139.0,246387.0,272410.0,240902.0,297869.0,242115.0,175569.0,180326.0,188216.0,273358.0,365397.0,379474.0,464019.0
Kapitał własny akcjonariuszy jednostki dominującej,71624.0,125253.0,127200.0,121459.0,120021.0,121187.0,123521.0,123992.0,126934.0,130452.0,128774.0,130387.0,133264.0,137235.0,144081.0,159949.0,173557.0,196895.0
Kapitał (fundusz) podstawowy,66536.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0,83100.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-761.0,-761.0,-761.0
Kapitał (fundusz) zapasowy,10.0,30309.0,40531.0,39665.0,37341.0,37341.0,33526.0,33526.0,33526.0,34193.0,34165.0,36226.0,36349.0,39393.0,43141.0,25201.0,26289.0,26289.0
Udziały niekontrolujące,2.0,255.0,43.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,590.0,579.0,2850.0,2615.0,3715.0,3397.0,3389.0,3270.0,1448.0,4849.0,3630.0,2155.0,2454.0,504.0,391.0,356.0,275.0,316.0
Z tytułu dostaw i usług,72508.0,106738.0,93107.0,60359.0,86892.0,42874.0,87702.0,83338.0,51931.0,130767.0,68158.0,10236.0,16332.0,29291.0,73927.0,162334.0,125472.0,181747.0
Kredyty i pożyczki,27559.0,23505.0,6297.0,9249.0,23377.0,8791.0,25261.0,39740.0,35917.0,0.0,25732.0,17627.0,11352.0,0.0,27189.0,6975.0,44496.0,28031.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,146.0,1041.0,0.0,0.0,40.0,63.0,226.0,180.0,6.0,74.0,155.0,6.0,0.0,1.0,8.0,4.0,0.0,0.0
Inne zobowiązania długoterminowe,590.0,579.0,2850.0,2615.0,3715.0,3397.0,3389.0,3270.0,1448.0,4849.0,3630.0,2155.0,2454.0,504.0,391.0,356.0,275.0,316.0
Zobowiązania krótkoterminowe,106330.0,138128.0,102007.0,71626.0,110858.0,54555.0,119477.0,145148.0,112520.0,162568.0,109711.0,43027.0,44608.0,50477.0,128886.0,205092.0,205642.0,266808.0
Inne zobowiązania krótkoterminowe,6117.0,6844.0,2603.0,2018.0,549.0,2827.0,6288.0,21890.0,24666.0,31727.0,15666.0,15158.0,16924.0,21185.0,27762.0,35779.0,35674.0,57030.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,178546.0,264215.0,232100.0,195882.0,234594.0,179139.0,246387.0,272410.0,240902.0,297869.0,242115.0,175569.0,180326.0,188216.0,273358.0,365397.0,379474.0,464019.0
Przepływy pieniężne z działalności operacyjnej,17663.0,-34119.0,14241.0,2892.0,-438.0,6007.0,10067.0,-24468.0,3784.0,95207.0,-76642.0,2837.0,5941.0,13874.0,-20156.0,30623.0,-15574.0,16188.0
Amortyzacja,544.0,1407.0,1641.0,1370.0,962.0,821.0,742.0,742.0,717.0,794.0,670.0,530.0,562.0,477.0,543.0,778.0,846.0,573.0
Przepływy pieniężne z działalności inwestycyjnej,-1049.0,-4641.0,-4908.0,-5185.0,-356.0,-610.0,-767.0,-554.0,5192.0,514.0,-339.0,-33.0,3941.0,-192.0,-730.0,-286.0,-269.0,-706.0
CAPEX (niematerialne i rzeczowe),1139.0,4669.0,4708.0,5192.0,681.0,537.0,455.0,347.0,91.0,150.0,143.0,93.0,196.0,300.0,735.0,312.0,276.0,706.0
Przepływy pieniężne z działalności finansowej,-4243.0,36646.0,-17652.0,110.0,12109.0,-15985.0,15519.0,11714.0,-4416.0,-40276.0,19769.0,-9014.0,-9110.0,-13917.0,24935.0,-25138.0,25938.0,-28384.0
Emisja akcji,0.0,42565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,1662.0,0.0,0.0,0.0,1642.0,0.0,2053.0,4378.0,0.0,1639.0,1495.0,948.0,2032.0,4064.0,0.0
Przepływy pieniężne razem,12371.0,-2114.0,-8319.0,-2183.0,11315.0,-10588.0,24819.0,-13308.0,4560.0,55445.0,-57212.0,-6210.0,772.0,-235.0,4049.0,5199.0,10095.0,-12902.0
