,0,1,2,3,4,5,6,7,8,9,10,11
Inne zobowiązania krótkoterminowe,4634.0,4863.0,7220.0,6169.0,4834.0,7734.0,5960.0,5899.0,22545.0,6137.0,4660.0,3569.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9386.0,7977.0,5769.0
Pasywa razem,75897.0,88476.0,91838.0,107438.0,123590.0,133347.0,151545.0,172337.0,210448.0,227303.0,233056.0,227597.0
Przepływy pieniężne z działalności operacyjnej,8342.0,1529.0,18478.0,9926.0,14962.0,9985.0,23320.0,19066.0,74256.0,13623.0,14389.0,21539.0
Amortyzacja,3268.0,3126.0,3406.0,3958.0,5733.0,7618.0,8171.0,9358.0,11841.0,12553.0,13571.0,14676.0
Przepływy pieniężne z działalności inwestycyjnej,-4537.0,-5711.0,-10356.0,-10403.0,-12927.0,-7123.0,-30509.0,-12710.0,-15822.0,-16401.0,-14726.0,-8922.0
CAPEX (niematerialne i rzeczowe),4537.0,5784.0,10521.0,11442.0,17781.0,7485.0,30745.0,17113.0,16197.0,21030.0,16144.0,10501.0
Przepływy pieniężne z działalności finansowej,-3874.0,6153.0,-9698.0,-254.0,-3197.0,-2387.0,7091.0,-6146.0,-52873.0,-1452.0,-969.0,-10914.0
Emisja akcji,0.0,0.0,0.0,19576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,1475.0,5933.0,9904.0,9066.0,2083.0,2940.0,8086.0,27444.0,0.0,0.0,0.0
Przepływy pieniężne razem,-69.0,1971.0,-1576.0,-731.0,-1162.0,475.0,-98.0,210.0,5561.0,-4230.0,-1306.0,1703.0
