,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Środki pieniężne i inne aktywa pieniężne,87550.0,141722.0,107038.0,92201.0,102220.0,183753.0,176194.0,96551.0,11069.0,159074.0,40983.0,129992.0,214797.0,350681.0,18935.0,16194.0,14083.0,21624.0,5170.0,34277.0
Pozostałe aktywa obrotowe,3484.0,6305.0,1273.0,1349.0,1805.0,1616.0,1456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,4.0,0.0,0.0,0.0,0.0,39142.0,0.0,0.0,0.0,5472.0,2550.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,1393857.0,1433062.0,1416046.0,1389242.0,1515204.0,1810166.0,1853252.0,1879181.0,1849278.0,1929203.0,2072115.0,2256509.0,2286566.0,2325690.0,2385277.0,2586605.0,2854313.0,3206857.0,3530838.0,4720543.0
Kapitał własny akcjonariuszy jednostki dominującej,623924.0,656107.0,722843.0,763948.0,792305.0,933863.0,1019207.0,1089069.0,1113947.0,1191475.0,1241515.0,1366905.0,1430482.0,1502239.0,1463453.0,1556868.0,1679542.0,1739633.0,1882736.0,2137081.0
Kapitał (fundusz) podstawowy,74500.0,74500.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0,252503.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,205957.0,219646.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0,251258.0
Udziały niekontrolujące,46126.0,12892.0,18184.0,17715.0,21133.0,15201.0,16328.0,4456.0,5137.0,5381.0,3217.0,2946.0,3065.0,4172.0,3096.0,4185.0,6186.0,6768.0,9185.0,0.0
Zobowiązania długoterminowe,505183.0,485424.0,432493.0,411341.0,395323.0,442787.0,421333.0,361741.0,258957.0,382633.0,538408.0,546721.0,538609.0,558187.0,666629.0,703766.0,660926.0,683626.0,612879.0,978183.0
Z tytułu dostaw i usług,48490.0,35229.0,124457.0,109163.0,136976.0,165276.0,131321.0,152948.0,168541.0,176953.0,201403.0,182562.0,195928.0,153379.0,164110.0,197454.0,256925.0,463952.0,400286.0,1206479.0
Kredyty i pożyczki,94253.0,75054.0,93634.0,51360.0,132441.0,211527.0,224259.0,230098.0,257332.0,132198.0,43732.0,92649.0,24842.0,24811.0,24781.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,20000.0,92492.0,57.0,63.0,450.0,1405.0,1427.0,439.0,9560.0,430.0,58.0,159.0,117.0,230.0,185.0,2297.0,2338.0,2335.0,7516.0,9180.0
Inne zobowiązania długoterminowe,97147.0,117436.0,86192.0,90502.0,116849.0,183001.0,200007.0,225924.0,257868.0,368314.0,419973.0,472151.0,488631.0,533040.0,666362.0,647315.0,605019.0,627994.0,507964.0,553791.0
Zobowiązania krótkoterminowe,218624.0,278639.0,242526.0,196238.0,306443.0,418315.0,396384.0,423915.0,471237.0,349714.0,288975.0,339937.0,314410.0,261092.0,252099.0,321786.0,507659.0,776830.0,1026038.0,1605279.0
Inne zobowiązania krótkoterminowe,55881.0,75864.0,24378.0,35652.0,36576.0,40107.0,39377.0,40430.0,35804.0,40133.0,43782.0,64567.0,93523.0,82672.0,63023.0,122035.0,248396.0,310543.0,618236.0,389620.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,1393857.0,1433062.0,1416046.0,1389242.0,1515204.0,1810166.0,1853252.0,1879181.0,1849278.0,1929203.0,2072115.0,2256509.0,2286566.0,2325690.0,2385277.0,2586605.0,2854313.0,3206857.0,3530838.0,4720543.0
Przepływy pieniężne z działalności operacyjnej,92521.0,156194.0,176070.0,179521.0,153038.0,256603.0,281582.0,204533.0,228035.0,389807.0,115051.0,340229.0,429495.0,330694.0,191244.0,304451.0,154386.0,328194.0,425557.0,611911.0
Amortyzacja,65357.0,92521.0,95370.0,90866.0,95539.0,82794.0,87540.0,94879.0,100586.0,114697.0,120527.0,135018.0,146452.0,142316.0,143859.0,143438.0,161741.0,185934.0,202993.0,209649.0
Przepływy pieniężne z działalności inwestycyjnej,-172593.0,-32751.0,-120898.0,-75656.0,-122775.0,-174420.0,-187880.0,-155817.0,-129925.0,-135339.0,-276705.0,-287176.0,-162727.0,-77361.0,-124306.0,-164753.0,-162040.0,-321874.0,-629686.0,-917533.0
CAPEX (niematerialne i rzeczowe),173068.0,46548.0,88299.0,84222.0,143738.0,188897.0,198761.0,163735.0,147533.0,153074.0,298433.0,289611.0,163762.0,86713.0,126216.0,165629.0,165049.0,322498.0,548538.0,-917533.0
Przepływy pieniężne z działalności finansowej,105132.0,-69271.0,-89670.0,-118702.0,-20244.0,-650.0,-101261.0,-128359.0,-183592.0,-106463.0,43563.0,35956.0,-181963.0,-117449.0,-64873.0,-27261.0,5543.0,1521.0,187375.0,585422.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,8195.0,10877.0,11943.0,27598.0,30832.0,30578.0,52827.0,52982.0,66585.0,0.0,0.0,0.0,94443.0,98613.0,40637.0,0.0,0.0,0.0,4768.0,0.0
Przepływy pieniężne razem,25060.0,54172.0,-34498.0,-14837.0,10019.0,81533.0,-7559.0,-79643.0,-85482.0,148005.0,-118091.0,89009.0,84805.0,135884.0,2065.0,112437.0,-2111.0,7841.0,-16754.0,279800.0
