,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Aktywa razem,510791.0,1536979.0,1668423.0,1301785.0,1278942.0,1467371.0,1670397.0,2413948.0,2640752.0,2890885.0,3197105.0,3299649.0,3574668.0,3243925.0,2816241.0,3249840.0,2948932.0,3808066.0
Kapitał własny akcjonariuszy jednostki dominującej,290877.0,897570.0,939547.0,894413.0,943970.0,1005288.0,1079084.0,1184776.0,1255153.0,1364610.0,1396152.0,1448376.0,1497799.0,1492111.0,1317788.0,1400409.0,1434570.0,1546858.0
Kapitał (fundusz) podstawowy,149125.0,446558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0,447558.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,9698.0,302659.0,418648.0,428914.0,373558.0,428992.0,522863.0,663616.0,731275.0,808120.0,835470.0,920578.0,889861.0,927171.0,1009030.0,798905.0,755180.0,823677.0
Udziały niekontrolujące,0.0,0.0,25140.0,26460.0,27451.0,28142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,1564.0
Zobowiązania długoterminowe,152653.0,350102.0,394154.0,238640.0,229703.0,352819.0,477265.0,924076.0,1043684.0,1066409.0,1109453.0,1047931.0,1207757.0,1028223.0,661756.0,574475.0,480656.0,707757.0
Z tytułu dostaw i usług,24431.0,29721.0,39218.0,11310.0,15056.0,31912.0,51119.0,77667.0,67941.0,84047.0,89895.0,118423.0,142049.0,127117.0,96916.0,245829.0,194668.0,268231.0
Kredyty i pożyczki,36759.0,171137.0,227517.0,81734.0,12308.0,17984.0,16428.0,119548.0,106896.0,76547.0,170167.0,179601.0,121611.0,128727.0,168072.0,350759.0,192604.0,281382.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41512.0,50954.0,75150.0,63902.0,56540.0
Inne zobowiązania długoterminowe,9353.0,45218.0,44201.0,20587.0,31807.0,47057.0,59047.0,242962.0,228068.0,208288.0,187648.0,145823.0,114903.0,110737.0,43641.0,59007.0,85132.0,91858.0
Zobowiązania krótkoterminowe,67261.0,289307.0,309582.0,142272.0,77818.0,81122.0,114048.0,305096.0,341915.0,459866.0,691500.0,803342.0,869112.0,723591.0,836697.0,1274956.0,1033353.0,1551887.0
Inne zobowiązania krótkoterminowe,6071.0,88449.0,42847.0,49228.0,50454.0,31226.0,46501.0,107881.0,167078.0,299272.0,431438.0,505318.0,605452.0,426235.0,520755.0,603218.0,582179.0,945734.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,510791.0,1536979.0,1668423.0,1301785.0,1278942.0,1467371.0,1670397.0,2413948.0,2640752.0,2890885.0,3197105.0,3299649.0,3574668.0,3243925.0,2816241.0,3249840.0,2948932.0,3808066.0
Przepływy pieniężne z działalności operacyjnej,-97929.0,-453549.0,-233561.0,4171.0,51927.0,-42896.0,-23181.0,14269.0,146313.0,58822.0,199046.0,166892.0,314978.0,-87705.0,59937.0,86808.0,169973.0,131173.0
Amortyzacja,755.0,2351.0,1689.0,1475.0,723.0,662.0,614.0,577.0,647.0,705.0,915.0,1034.0,1157.0,1434.0,1868.0,1554.0,2026.0,2952.0
Przepływy pieniężne z działalności inwestycyjnej,-198935.0,-140501.0,51259.0,-17366.0,114702.0,-2738.0,-93781.0,-114114.0,-115236.0,-82447.0,-101953.0,-141518.0,-151024.0,306412.0,326208.0,-110236.0,-368573.0,-63176.0
CAPEX (niematerialne i rzeczowe),204326.0,114255.0,62612.0,17025.0,3328.0,3370.0,68802.0,99123.0,73238.0,42104.0,61853.0,101118.0,110624.0,136080.0,34865.0,32148.0,29399.0,7877.0
Przepływy pieniężne z działalności finansowej,353165.0,757377.0,32771.0,-9347.0,-86871.0,77127.0,109774.0,106939.0,65039.0,-20723.0,15671.0,-35977.0,-40504.0,-345515.0,-349999.0,-20854.0,-519181.0,78854.0
Emisja akcji,176000.0,508933.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80560.0,31329.0,107414.0,120841.0,0.0,76085.0,201401.0,179023.0
Przepływy pieniężne razem,56301.0,163327.0,-149531.0,-22542.0,79758.0,31493.0,-7188.0,7094.0,96116.0,-44348.0,112764.0,-10603.0,123450.0,-126808.0,36146.0,-44282.0,-717781.0,146851.0
