,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Aktywa trwałe przeznaczone do sprzedaży,7317.0,7317.0,0.0,0.0,0.0,0.0,0.0,0.0,2814.0,687.0,686.0,3011.0,687.0,982.0,982.0,612.0,672.0,128.0,164.0
Aktywa razem,149020.0,255918.0,458278.0,451689.0,441561.0,467696.0,501319.0,468882.0,331558.0,337937.0,318842.0,336769.0,314870.0,337564.0,351229.0,370658.0,470218.0,578312.0,645903.0
Kapitał własny akcjonariuszy jednostki dominującej,26728.0,112439.0,164304.0,121865.0,120859.0,123954.0,121301.0,118005.0,94252.0,94873.0,106454.0,109659.0,107308.0,103938.0,96985.0,104519.0,115846.0,148473.0,174838.0
Kapitał (fundusz) podstawowy,17167.0,23167.0,23167.0,23167.0,23167.0,23167.0,23167.0,23167.0,23167.0,23167.0,34750.0,34750.0,34750.0,34750.0,34750.0,34750.0,34750.0,34750.0,34750.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,56496.0,56496.0,56496.0,56496.0,56496.0,56496.0,56496.0,56496.0,56496.0,55891.0,55891.0,55891.0,55891.0,55891.0,55891.0,55891.0,55891.0,55891.0
Udziały niekontrolujące,11639.0,4381.0,3650.0,2579.0,2544.0,2459.0,2235.0,1712.0,1117.0,1042.0,801.0,816.0,600.0,489.0,609.0,589.0,782.0,853.0,1506.0
Zobowiązania długoterminowe,32976.0,57720.0,109459.0,130935.0,110936.0,109537.0,118261.0,74885.0,48288.0,73681.0,55205.0,28172.0,71435.0,66554.0,34888.0,50658.0,72075.0,121334.0,148814.0
Z tytułu dostaw i usług,19595.0,24999.0,51936.0,61218.0,86575.0,119312.0,162391.0,171085.0,86248.0,90223.0,79194.0,107108.0,89020.0,105521.0,113025.0,95641.0,146750.0,171669.0,176147.0
Kredyty i pożyczki,30063.0,34106.0,102413.0,106964.0,103127.0,95924.0,79872.0,86678.0,78060.0,64842.0,63719.0,76862.0,32427.0,45770.0,89558.0,88780.0,103308.0,94463.0,110199.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1818.0,1718.0,2208.0,2970.0,3499.0,3058.0,2580.0,3040.0,2155.0,2260.0,2796.0,3265.0,3834.0,4002.0,4965.0,7153.0,10037.0,11113.0,11606.0
Inne zobowiązania długoterminowe,4893.0,5280.0,35922.0,53996.0,49478.0,53475.0,52941.0,40888.0,20898.0,23606.0,20433.0,19189.0,19056.0,18103.0,18500.0,19184.0,23091.0,25008.0,30061.0
Zobowiązania krótkoterminowe,59202.0,68901.0,180865.0,196310.0,207222.0,231746.0,259522.0,274280.0,187901.0,168341.0,156382.0,198122.0,135527.0,166583.0,218747.0,214892.0,281515.0,307652.0,320745.0
Inne zobowiązania krótkoterminowe,7726.0,8078.0,24308.0,25158.0,14021.0,13452.0,14679.0,13477.0,21438.0,11016.0,10673.0,10887.0,10246.0,11290.0,11199.0,23318.0,21420.0,30407.0,22793.0
Rozliczenia międzyokresowe,18475.0,12477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,149020.0,255918.0,458278.0,451689.0,441561.0,467696.0,501319.0,468882.0,331558.0,337937.0,318842.0,336769.0,314870.0,337564.0,351229.0,370658.0,470218.0,578312.0,645903.0
Przepływy pieniężne z działalności operacyjnej,3534.0,-22902.0,-6232.0,9058.0,24745.0,23083.0,24592.0,34121.0,3980.0,9067.0,13907.0,23298.0,27990.0,32782.0,13048.0,6297.0,23135.0,42242.0,53285.0
Amortyzacja,4436.0,6980.0,12957.0,19431.0,21551.0,19136.0,18679.0,18740.0,14616.0,12741.0,12156.0,12093.0,12786.0,12983.0,14956.0,17830.0,17301.0,20541.0,22808.0
Przepływy pieniężne z działalności inwestycyjnej,-21863.0,-40080.0,-41122.0,-1327.0,9207.0,-2700.0,-7480.0,7211.0,-6444.0,-4127.0,1927.0,-4459.0,-1603.0,-7916.0,-16290.0,-8074.0,-40671.0,-48800.0,-47429.0
CAPEX (niematerialne i rzeczowe),28369.0,31497.0,34850.0,40068.0,8782.0,14002.0,13834.0,10959.0,10912.0,9861.0,5909.0,8350.0,10540.0,10104.0,19965.0,13574.0,40735.0,45805.0,44985.0
Przepływy pieniężne z działalności finansowej,18374.0,87429.0,24661.0,-7904.0,-33271.0,-21217.0,-16930.0,-23976.0,-14225.0,-4032.0,-15483.0,-20173.0,-25790.0,-5362.0,-2185.0,-2695.0,13009.0,14949.0,8746.0
Emisja akcji,0.0,62496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,45.0,24447.0,-22693.0,-173.0,681.0,-834.0,182.0,17356.0,-16689.0,908.0,351.0,-1334.0,597.0,19504.0,-5427.0,-4472.0,-4527.0,8391.0,14602.0
