,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,1366.0,1048.0,670.0,1384.0,1517.0,1381.0,1378.0,12984.0,15989.0,22753.0,4436.0,19005.0,24366.0,22285.0
Inne zobowiązania długoterminowe,1378.0,1672.0,2012.0,1961.0,2227.0,10753.0,13003.0,18761.0,25908.0,26854.0,34613.0,36864.0,36831.0,36910.0
Zobowiązania krótkoterminowe,20606.0,29872.0,39351.0,23938.0,36955.0,37268.0,51488.0,57344.0,80214.0,88752.0,83045.0,196521.0,97481.0,132669.0
Inne zobowiązania krótkoterminowe,102.0,128.0,249.0,331.0,7420.0,1680.0,3489.0,3764.0,4283.0,5746.0,4644.0,10996.0,7748.0,3166.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,42368.0,55384.0,73372.0,76213.0,98667.0,116925.0,152562.0,204555.0,258314.0,286168.0,311399.0,556929.0,460964.0,497394.0
Przepływy pieniężne z działalności operacyjnej,2176.0,5798.0,7581.0,-529.0,5726.0,1371.0,28540.0,2629.0,13532.0,20441.0,36088.0,15756.0,105457.0,43997.0
Amortyzacja,654.0,769.0,886.0,1145.0,1191.0,1851.0,2140.0,2288.0,2765.0,3838.0,5001.0,5379.0,6752.0,8631.0
Przepływy pieniężne z działalności inwestycyjnej,-1555.0,-2181.0,-9295.0,2293.0,-20540.0,-3815.0,-15364.0,-21936.0,-32752.0,-13773.0,-18958.0,-23510.0,-15591.0,-8198.0
CAPEX (niematerialne i rzeczowe),1565.0,2181.0,9342.0,2035.0,20690.0,3623.0,15368.0,22127.0,33166.0,13785.0,19145.0,24041.0,19632.0,13090.0
Przepływy pieniężne z działalności finansowej,-438.0,-3285.0,2957.0,1828.0,17268.0,-2144.0,1963.0,30885.0,9307.0,-3363.0,-8461.0,11037.0,-40367.0,16350.0
Emisja akcji,0.0,0.0,0.0,12430.0,0.0,0.0,0.0,17267.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,2668.0,0.0,3538.0,4163.0,5550.0,0.0,6607.0,26430.0,0.0
Przepływy pieniężne razem,183.0,332.0,1243.0,3592.0,2454.0,-4588.0,15139.0,11578.0,-9913.0,3305.0,8669.0,3283.0,49499.0,52149.0
