,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kapitał (fundusz) podstawowy,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,54796.0,54796.0,54796.0,54796.0,53873.0,74852.0,84883.0,100511.0,109388.0,116515.0,120499.0,116262.0,96375.0,127517.0,136687.0,134668.0,90133.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,10731.0,11979.0,13931.0,101010.0,96425.0,86358.0,81064.0,96767.0,90464.0,66745.0,16056.0,16711.0,41193.0,35356.0,36838.0,28605.0,13621.0
Z tytułu dostaw i usług,29999.0,38356.0,13821.0,32070.0,66034.0,49951.0,56696.0,56633.0,70747.0,76188.0,70295.0,44427.0,48307.0,59553.0,62945.0,61602.0,31541.0
Kredyty i pożyczki,0.0,8248.0,0.0,10019.0,5017.0,22474.0,25739.0,31792.0,29665.0,47727.0,96471.0,90899.0,66171.0,62377.0,59230.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2291.0,1784.0,2344.0,8929.0,8114.0,8957.0,7874.0,2974.0
Inne zobowiązania długoterminowe,10731.0,11979.0,13931.0,11010.0,11425.0,11358.0,11164.0,14098.0,13882.0,13171.0,12429.0,13445.0,10915.0,10939.0,10927.0,8885.0,7267.0
Zobowiązania krótkoterminowe,34739.0,54973.0,15852.0,46587.0,71297.0,72748.0,87045.0,93633.0,105240.0,127781.0,184041.0,156890.0,144346.0,156473.0,159626.0,98680.0,47242.0
Inne zobowiązania krótkoterminowe,4740.0,8369.0,2031.0,4473.0,246.0,323.0,4610.0,5208.0,4828.0,1575.0,15491.0,19220.0,20939.0,26429.0,28494.0,29204.0,12727.0
Rozliczenia międzyokresowe,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,286979.0,335207.0,313929.0,375152.0,390450.0,365288.0,380424.0,411592.0,401199.0,395024.0,355162.0,297823.0,327890.0,332544.0,323755.0,244586.0,169444.0
Przepływy pieniężne z działalności operacyjnej,33697.0,59581.0,21304.0,55923.0,37357.0,31330.0,13603.0,19794.0,42239.0,29630.0,22009.0,18769.0,6090.0,29563.0,17769.0,14351.0,-48827.0
Amortyzacja,32474.0,35021.0,31745.0,12806.0,17353.0,20343.0,22988.0,24639.0,27383.0,26637.0,28377.0,12368.0,17692.0,19208.0,22416.0,21898.0,16134.0
Przepływy pieniężne z działalności inwestycyjnej,-16177.0,-12608.0,-26293.0,-168723.0,-23244.0,-18113.0,-8475.0,-34505.0,-25845.0,-16863.0,-16875.0,-2972.0,31511.0,-9980.0,-9327.0,60228.0,36362.0
CAPEX (niematerialne i rzeczowe),10259.0,20105.0,26513.0,26706.0,23489.0,18996.0,8588.0,35053.0,23203.0,16967.0,19343.0,3927.0,5057.0,10467.0,9327.0,6206.0,2289.0
Przepływy pieniężne z działalności finansowej,-60616.0,8134.0,-8339.0,155245.0,-52323.0,-14499.0,-2732.0,15375.0,-16583.0,-8955.0,-8569.0,-16708.0,-37528.0,-14876.0,-10891.0,-75872.0,12198.0
Emisja akcji,0.0,0.0,0.0,55245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,35516.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-43096.0,55107.0,-13328.0,42445.0,-38210.0,-1282.0,2396.0,664.0,-189.0,3812.0,-3435.0,-911.0,73.0,4707.0,-2449.0,-1293.0,-267.0
