,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Pozostałe aktywa obrotowe,229709.0,313044.0,391147.0,455904.0,967987.0,-1293490.0,757000.0,1012000.0,599000.0,416000.0,391000.0,526000.0,605000.0,799000.0,1240000.0,2219000.0,3181000.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,3458.0,5712.0,7572.0,33067.0,9385.0,8000.0,16000.0,16000.0,12000.0,12000.0,9000.0,2000.0,7000.0,13000.0,19000.0,0.0
Aktywa razem,45309350.0,47192261.0,54447798.0,51473939.0,58762631.0,56703604.0,61252000.0,66201000.0,61296000.0,67474000.0,72106000.0,75905000.0,77650000.0,81594000.0,88966000.0,105778000.0,113443000.0
Kapitał własny akcjonariuszy jednostki dominującej,21252414.0,22809657.0,31168324.0,37083954.0,40758868.0,40715421.0,43540000.0,44768000.0,40321000.0,42679000.0,45188000.0,46727000.0,42289000.0,42518000.0,47494000.0,53538000.0,46874000.0
Kapitał (fundusz) podstawowy,14705765.0,14705765.0,17300900.0,18697837.0,18697837.0,18697608.0,18698000.0,18698000.0,18698000.0,19165000.0,19165000.0,19165000.0,19165000.0,19165000.0,19165000.0,19184000.0,19184000.0
Udziały (akcje) własne,0.0,0.0,0.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,1945841.0,2100156.0,5449549.0,6727589.0,8553143.0,9687596.0,8941000.0,9231000.0,13009000.0,13730000.0,15328000.0,19872000.0,19669000.0,18410000.0,20154000.0,25049000.0,28146000.0
Udziały niekontrolujące,8168035.0,7365921.0,7681428.0,598819.0,414392.0,295865.0,268000.0,116000.0,96000.0,96000.0,1165000.0,1074000.0,848000.0,983000.0,797000.0,845000.0,981000.0
Zobowiązania długoterminowe,10469824.0,9519888.0,9762322.0,7199809.0,7215966.0,8474881.0,9654000.0,14051000.0,13295000.0,17002000.0,16773000.0,15464000.0,22687000.0,23075000.0,18878000.0,16099000.0,23378000.0
Z tytułu dostaw i usług,1553996.0,1012111.0,986301.0,986301.0,1117172.0,1201870.0,935000.0,1179000.0,3945000.0,3556000.0,3231000.0,3613000.0,3636000.0,3504000.0,4601000.0,6707000.0,7609000.0
Kredyty i pożyczki,1329906.0,3038077.0,969929.0,914956.0,697661.0,811447.0,528000.0,357000.0,291000.0,411000.0,1623000.0,4461000.0,1449000.0,1384000.0,2160000.0,2137000.0,4513000.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,520251.0,1026261.0,566571.0,1259478.0,1874706.0,1546320.0,24000.0,117000.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,4730429.0,5049097.0,5706052.0,5395380.0,5874615.0,7389637.0,7660140.0,9363000.0,8177000.0,7399000.0,8351000.0,9217000.0,11828000.0,12602000.0,9695000.0,8822000.0,12470000.0
Zobowiązania krótkoterminowe,5419077.0,7496795.0,5835724.0,6591357.0,10373405.0,7217437.0,7790000.0,7266000.0,7584000.0,7697000.0,8980000.0,12640000.0,11826000.0,15018000.0,21797000.0,35296000.0,42210000.0
Inne zobowiązania krótkoterminowe,2014924.0,2420346.0,3312923.0,3430622.0,6683866.0,3657800.0,6303000.0,5613000.0,3314000.0,3730000.0,4126000.0,4566000.0,6741000.0,10130000.0,15036000.0,26452000.0,30088000.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,45309350.0,47192261.0,54447798.0,51473939.0,58762631.0,56703604.0,61252000.0,66201000.0,61296000.0,67474000.0,72106000.0,75905000.0,77650000.0,81594000.0,88966000.0,105778000.0,113443000.0
Przepływy pieniężne z działalności operacyjnej,5683391.0,5386580.0,7298888.0,6610960.0,6942012.0,6842734.0,7941000.0,6333000.0,6777000.0,6391000.0,7934000.0,5102000.0,6820000.0,10256000.0,7456000.0,11609000.0,3269000.0
Amortyzacja,3840786.0,2584613.0,2638676.0,2655210.0,2710556.0,2920051.0,2982000.0,3024000.0,11817000.0,3864000.0,4030000.0,3893000.0,11316000.0,4558000.0,4412000.0,4362000.0,13455000.0
Przepływy pieniężne z działalności inwestycyjnej,-3511478.0,-5444485.0,-3628590.0,-7468274.0,-3326656.0,-1950885.0,-5717000.0,-6296000.0,-8594000.0,-10656000.0,-7775000.0,-6465000.0,-6865000.0,-6037000.0,-4367000.0,-7296000.0,-11451000.0
CAPEX (niematerialne i rzeczowe),3635276.0,4124149.0,4022231.0,4522439.0,4518973.0,4399349.0,4619000.0,6376000.0,8606000.0,7935000.0,6071000.0,6393000.0,6907000.0,5930000.0,4682000.0,6661000.0,9733000.0
Przepływy pieniężne z działalności finansowej,-2761218.0,-528285.0,1898319.0,-4111761.0,-2311313.0,-4142841.0,-1066000.0,284000.0,-1265000.0,3830000.0,-274000.0,91000.0,77000.0,-1357000.0,-528000.0,841000.0,2328000.0
Emisja akcji,0.0,0.0,5917532.0,-579.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,229763.0,424428.0,1227352.0,1580104.0,1410533.0,3506327.0,1610000.0,2061000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-589305.0,-586190.0,5568617.0,-4969075.0,1304043.0,749008.0,1158000.0,321000.0,-3082000.0,-435000.0,-115000.0,-1272000.0,32000.0,2862000.0,2561000.0,5154000.0,-5854000.0
