FullName,Ticker,ShortName
WIRTUALNA POLSKA HOLDING SPÓŁKA AKCYJNA ,XTB,WIRTUALNA POLSKA HOLDING  
WISE FINANCE SPÓŁKA AKCYJNA ,XTP,WISE FINANCE  
WITTCHEN SPÓŁKA AKCYJNA ,YRL,WITTCHEN  
WOJAS SPÓŁKA AKCYJNA ,ZRE,WOJAS  
WOODPECKER.CO SPÓŁKA AKCYJNA ,RPC,WOODPECKER.CO  
XPLUS SPÓŁKA AKCYJNA ,OTM,XPLUS  
XTB SPÓŁKA AKCYJNA ,ZUK,XTB  
XTPL SPÓŁKA AKCYJNA ,ZMT,XTPL  
YARRL SPÓŁKA AKCYJNA ,ZEP,YARRL  
ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE SPÓŁKA AKCYJNA ,KGN,ZAKŁAD BUDOWY MASZYN ZREMB-CHOJNICE  
ZAKŁADY MAGNEZYTOWE ROPCZYCE SPÓŁKA AKCYJNA ,ZUE,ZAKŁADY MAGNEZYTOWE ROPCZYCE  
ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW SPÓŁKA AKCYJNA ,OTM,ZAKŁADY PRZEMYSŁU CUKIERNICZEGO OTMUCHÓW  
ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW SPÓŁKA AKCYJNA ,ZUK,ZAKŁADY URZĄDZEŃ KOTŁOWYCH STĄPORKÓW  
ZAMET SPÓŁKA AKCYJNA ,ZMT,ZAMET  
ZE PAK SPÓŁKA AKCYJNA ,ZEP,ZE PAK  
ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA SPÓŁKA AKCYJNA ,KGN,ZESPÓŁ ELEKTROCIEPŁOWNI WROCŁAWSKICH KOGENERACJA  
ZUE SPÓŁKA AKCYJNA ,ZUE,ZUE  
