,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,2681.0,4424.0,1762.0,5357.0,1157.0,5047.0,2871.0,9062.0,-1036.0,-2465.0,-1558.0,-11791.0,-3691.0,-7187.0,3917.0,135368.0,83886.0,-38218.0,-32707.0,-8865.0,-3878.0,1021.0,3855.0,7164.0,11196.0,14165.0,6947.0,-2560.0,10898.0,5990.0,-2141.0,1259.0,2614.0,4740.0,1212.0,5370.0,3380.0,5081.0,4944.0,8061.0,10232.0,1311.0,1085.0,5868.0,2906.0,4243.0,3011.0,7141.0,4240.0,3567.0,3374.0,6989.0,3104.0,57100.0,5272.0,4740.0,3674.0,1802.0,3760.0,7101.0,18630.0,-2342.0,2151.0,3018.0,2986.0,4630.0,5131.0,9145.0,6515.0,19929.0,24292.0,21295.0,27853.0,33867.0,22322.0,443627.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0,1330.0,999.0,897.0,1461.0,1520.0,1359.0,1296.0,1128.0,2006.0,1808.0,1929.0,1562.0,2336.0,-4245.0,8256.0,1984.0,1890.0,1922.0,1552.0,9712.0,-5601.0,2051.0,1858.0,2086.0,2523.0,2652.0,2487.0,2637.0,2829.0,2958.0,2619.0,0.0,5492.0,2690.0,2634.0,2646.0,3250.0,2980.0,2987.0,3067.0,3573.0,3456.0,3007.0,3583.0,3327.0,2825.0,2582.0,2722.0,3215.0,3219.0,3343.0,3534.0,3185.0,3913.0,8983.0,-25462.0,10009.0,-14259.0,-10052.0,-21036.0,-32903.0,-34931.0,47841.0,10158.0,58920.0,-71191.0,-345068.0
Zysk z działalności gospodarczej,36568.0,29709.0,9806.0,-6776.0,4415.0,-5518.0,-20364.0,-227443.0,42422.0,29826.0,44038.0,92072.0,155312.0,147067.0,109105.0,-370236.0,-169490.0,-81734.0,-103954.0,-51450.0,-2336.0,-21803.0,3474.0,25843.0,69380.0,49386.0,49974.0,76057.0,60932.0,26569.0,34938.0,-728.0,41334.0,30150.0,5866.0,-17991.0,19671.0,31428.0,5296.0,18213.0,60731.0,69572.0,20229.0,52750.0,84899.0,7348.0,-809.0,5154.0,59443.0,68290.0,23471.0,-24555.0,42914.0,-55180.0,-21553.0,-7245.0,61012.0,206.0,-10939.0,4687.0,29555.0,6498.0,20644.0,90819.0,20660.0,45747.0,22030.0,57899.0,20820.0,237721.0,-41037.0,-378717.0,-59749.0,-14726.0,-150493.0,-915753.0
Wynik zdarzeń nadzwyczajnych,0.0,26.0,265.0,-855.0,0.0,383.0,58.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,36568.0,29735.0,10071.0,-7631.0,4415.0,-5135.0,-20306.0,-227463.0,42422.0,29826.0,44038.0,92072.0,155312.0,147067.0,109105.0,-370236.0,-169490.0,-81734.0,-103954.0,-51450.0,-2336.0,-21803.0,3474.0,25843.0,69380.0,49386.0,49974.0,76057.0,60932.0,26569.0,34938.0,-728.0,41334.0,30150.0,5866.0,-17991.0,19671.0,31428.0,5296.0,18213.0,60731.0,69572.0,20229.0,52750.0,84899.0,7348.0,-809.0,5154.0,59443.0,68290.0,23471.0,-24555.0,42914.0,-55180.0,-21553.0,-7245.0,61012.0,206.0,-10939.0,4687.0,29555.0,6498.0,20644.0,90819.0,20660.0,45747.0,22030.0,57899.0,20820.0,237721.0,-41037.0,-378717.0,-59749.0,-14726.0,-150493.0,-915753.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,30659.0,24324.0,7782.0,13919.0,4440.0,-6317.0,-21411.0,-247657.0,41756.0,23807.0,38168.0,100771.0,130654.0,122129.0,88940.0,-313074.0,-174715.0,-53717.0,-95168.0,-100103.0,-2524.0,-19868.0,1239.0,47455.0,67362.0,47979.0,46388.0,150900.0,49526.0,24299.0,28673.0,-566.0,32214.0,23469.0,6929.0,-12928.0,15385.0,26467.0,5905.0,13454.0,51084.0,55680.0,15483.0,42542.0,68172.0,9893.0,-8557.0,201.0,46875.0,53309.0,19741.0,-31417.0,33133.0,-47678.0,-19649.0,575.0,48610.0,4376.0,-8960.0,-489.0,22570.0,6780.0,17383.0,76916.0,15043.0,37797.0,13710.0,46514.0,15537.0,189030.0,-39371.0,-300590.0,-50625.0,6148.0,-136110.0,-889257.0
Zysk netto akcjonariuszy jednostki dominującej,30659.0,24324.0,7782.0,13919.0,4440.0,-6317.0,-21411.0,-247657.0,41761.0,23673.0,38267.0,100263.0,130573.0,122240.0,88972.0,-313039.0,-174543.0,-53628.0,-95027.0,-99675.0,-2372.0,-19690.0,1491.0,48005.0,67407.0,48041.0,46323.0,150858.0,49548.0,25434.0,28627.0,566.0,32154.0,23419.0,6842.0,-12731.0,16317.0,26240.0,6795.0,14192.0,51941.0,54680.0,16111.0,43219.0,67521.0,17217.0,2364.0,772.0,47582.0,54505.0,20037.0,-13148.0,33974.0,-46596.0,-18632.0,1788.0,49506.0,5606.0,-9296.0,3380.0,13850.0,16027.0,13716.0,72884.0,15042.0,37796.0,13712.0,46508.0,15537.0,189028.0,-39372.0,-300590.0,-50625.0,6147.0,-136110.0,-889255.0
Aktywa trwałe,789296.0,767858.0,775148.0,828211.0,819213.0,823566.0,833663.0,629511.0,599757.0,629673.0,668707.0,800013.0,810809.0,824970.0,857444.0,926105.0,912025.0,894178.0,893369.0,841550.0,828923.0,819501.0,817386.0,826329.0,809283.0,793976.0,792247.0,877531.0,866730.0,843933.0,843665.0,917673.0,898361.0,897685.0,1154358.0,1274912.0,1267032.0,1276087.0,1316761.0,1369234.0,1361256.0,1378167.0,1458587.0,1525239.0,1546098.0,1628081.0,1662371.0,1483893.0,1527534.0,1503661.0,1520467.0,1526886.0,1524037.0,1545297.0,1582884.0,1637006.0,1661210.0,1669720.0,1745077.0,1837782.0,2264894.0,2861584.0,3307955.0,2659146.0,2643820.0,2644740.0,2654675.0,2679467.0,2732063.0,2776565.0,2805981.0,2783769.0,2790941.0,2874964.0,2843983.0,2237043.0
Wartości niematerialne i prawne,8339.0,8024.0,8180.0,9200.0,8795.0,8433.0,8400.0,6032.0,2749.0,3023.0,2852.0,2740.0,3055.0,4288.0,4522.0,4846.0,4410.0,4027.0,3642.0,3990.0,4397.0,4111.0,3840.0,5467.0,5265.0,5304.0,5859.0,4950.0,4579.0,4356.0,4100.0,8248.0,10429.0,10705.0,11509.0,12346.0,12958.0,14516.0,17064.0,49636.0,52710.0,56182.0,81920.0,86365.0,98079.0,111464.0,100905.0,104614.0,102305.0,75160.0,77694.0,40703.0,40002.0,56497.0,55750.0,55008.0,108591.0,133239.0,77613.0,77382.0,77091.0,78739.0,80528.0,16495.0,16660.0,16171.0,16421.0,15251.0,14753.0,14678.0,14194.0,11521.0,11210.0,12475.0,12994.0,14028.0
