,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Koszty finansowe,305.0,856.0,609.0,-650.0,562.0,762.0,1291.0,2042.0,1032.0,1936.0,210.0,718.0,2054.0,240.0,4178.0,1383.0,3650.0,1016.0,3144.0,1438.0,2420.0,2589.0,1985.0,3257.0,921.0,3574.0,1704.0,1232.0,3170.0,804.0,3707.0,220.0,3595.0,3843.0,3150.0,2811.0,6695.0,-4520.0,125.0,2562.0,839.0,-291.0,2493.0,2914.0,2844.0,3948.0,2441.0,3239.0,5716.0,2928.0,2676.0,3173.0,4945.0,2718.0,2012.0,3097.0,5576.0,5395.0,5141.0,7212.0,9068.0,14685.0,6552.0,14722.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,-3.0,-2.0,-3.0,-3.0,-1.0,-4.0,-2.0,-3.0,-2.0,-4.0,-59.0,-331.0,-3.0,-3.0,-172.0,700.0,362.0,-245.0,-184.0,7299.0,2965.0,4247.0,-3492.0,10769.0,541.0,895.0,-998.0,3316.0,430.0,3205.0,4400.0,-1529.0,-154.0,-633.0,4714.0,-1439.0,6781.0,169.0,-1628.0,3085.0,498.0,-2507.0,-2940.0,-5798.0,-313.0,637.0,-4579.0,-10228.0
Zysk z działalności gospodarczej,7670.0,9301.0,10387.0,9776.0,5645.0,4637.0,4152.0,10359.0,5449.0,5486.0,8080.0,10425.0,2937.0,5360.0,4902.0,16898.0,3138.0,2914.0,6684.0,2663.0,3326.0,6319.0,7175.0,6277.0,5001.0,6121.0,6904.0,9534.0,6552.0,7131.0,8884.0,6767.0,7361.0,10733.0,10582.0,12431.0,4679.0,14999.0,8960.0,12312.0,25173.0,6369.0,2718.0,3109.0,2683.0,8208.0,18170.0,9768.0,3937.0,11001.0,28484.0,11181.0,11732.0,8667.0,14085.0,29796.0,18012.0,29945.0,14013.0,-20067.0,6527.0,5583.0,-33722.0,-155675.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7670.0,9301.0,10387.0,9776.0,5645.0,4637.0,4152.0,10359.0,5449.0,5486.0,8080.0,10425.0,2937.0,5360.0,4902.0,16898.0,3138.0,2914.0,6684.0,2663.0,3326.0,6319.0,7175.0,6277.0,5001.0,6121.0,6904.0,9534.0,6552.0,7131.0,8884.0,6767.0,7361.0,10733.0,10582.0,12431.0,4679.0,14999.0,8960.0,12312.0,25173.0,6369.0,2718.0,3109.0,2683.0,8208.0,18170.0,9768.0,3937.0,11001.0,28484.0,11181.0,11732.0,8667.0,14085.0,29796.0,18012.0,29945.0,14013.0,-20067.0,6527.0,5583.0,-33722.0,-155675.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,6300.0,7030.0,7361.0,7593.0,3651.0,3967.0,3402.0,6776.0,3855.0,4743.0,6396.0,7691.0,2155.0,4068.0,3939.0,10955.0,2441.0,6442.0,4134.0,3654.0,2756.0,4317.0,4660.0,4478.0,3030.0,4656.0,5429.0,7809.0,4770.0,5294.0,6086.0,7131.0,5228.0,8930.0,8077.0,9687.0,5316.0,9389.0,8811.0,3068.0,18885.0,5609.0,2433.0,637.0,2035.0,5018.0,13307.0,9693.0,3313.0,7060.0,20182.0,6598.0,9784.0,6320.0,9060.0,21969.0,15027.0,23346.0,11160.0,-17672.0,4414.0,4657.0,-26537.0,-139020.0
Zysk netto akcjonariuszy jednostki dominującej,6300.0,7030.0,7361.0,7593.0,3651.0,3967.0,3402.0,6775.0,3855.0,4751.0,6394.0,7707.0,2307.0,4024.0,3832.0,10956.0,2444.0,6447.0,4126.0,3762.0,2756.0,3846.0,4500.0,2539.0,2861.0,4825.0,5429.0,7809.0,4770.0,5294.0,6086.0,7131.0,5228.0,8930.0,8077.0,9351.0,5316.0,9389.0,8811.0,3068.0,18885.0,5609.0,2433.0,-673.0,1906.0,5147.0,12470.0,9805.0,3222.0,6504.0,20046.0,7455.0,10002.0,6538.0,6398.0,10285.0,9721.0,14894.0,2205.0,-19376.0,4269.0,8507.0,-43285.0,-135386.0
Aktywa trwałe,30603.0,34494.0,40015.0,42083.0,67193.0,79967.0,75615.0,72593.0,85071.0,84778.0,85457.0,91273.0,97292.0,99320.0,112929.0,102095.0,106305.0,105151.0,106708.0,107227.0,108950.0,123658.0,133657.0,144911.0,149400.0,153591.0,165710.0,172281.0,164937.0,169260.0,199304.0,209803.0,233365.0,234320.0,244178.0,224399.0,215836.0,210496.0,209217.0,220294.0,238002.0,241279.0,230357.0,224873.0,221647.0,248849.0,254395.0,246568.0,252968.0,288067.0,271169.0,294404.0,307409.0,326199.0,333476.0,330591.0,344988.0,406921.0,424405.0,401088.0,408721.0,412737.0,417041.0,350815.0
Wartości niematerialne i prawne,1109.0,1131.0,1290.0,1464.0,5707.0,7595.0,7039.0,7226.0,9411.0,9321.0,9169.0,12608.0,12565.0,12516.0,12407.0,8937.0,8907.0,6676.0,6633.0,8619.0,8532.0,8585.0,6522.0,8437.0,14156.0,8447.0,6542.0,6685.0,6863.0,7221.0,11455.0,8849.0,18917.0,17562.0,17658.0,18990.0,19298.0,19597.0,20003.0,23131.0,23318.0,23804.0,24440.0,27094.0,27391.0,24469.0,24599.0,25130.0,25001.0,25260.0,25153.0,24566.0,24280.0,24148.0,24321.0,24430.0,24577.0,24275.0,24073.0,23904.0,23619.0,23411.0,23219.0,24631.0
Rzeczowe składniki majątku trwałego,8557.0,9021.0,9024.0,22182.0,19526.0,49047.0,49958.0,49100.0,51406.0,53770.0,53804.0,58233.0,57637.0,58444.0,58481.0,57637.0,56858.0,57321.0,58854.0,56528.0,55496.0,55283.0,55058.0,65497.0,65454.0,65425.0,65434.0,64787.0,64310.0,65473.0,72255.0,75996.0,74621.0,75516.0,75071.0,77968.0,77261.0,77846.0,77122.0,87086.0,90541.0,93666.0,93673.0,93915.0,96267.0,103299.0,116689.0,117655.0,116371.0,122001.0,123688.0,128407.0,129958.0,139375.0,139533.0,141194.0,143668.0,150054.0,150168.0,152304.0,153792.0,152934.0,150831.0,146815.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7287.0,8114.0,11502.0,12617.0,14907.0,14636.0,17377.0,16072.0,3761.0,23530.0,21300.0,17619.0,17150.0,8470.0,20032.0,25159.0,28766.0,29505.0,32655.0,35419.0,40038.0,35925.0,37822.0,42547.0,35257.0,43534.0,47225.0,49252.0,52020.0,52944.0,47342.0,46765.0,47305.0,44215.0,44020.0,34095.0,36251.0,38923.0,27928.0,30489.0,31617.0,30402.0,29293.0,28292.0,7437.0,8530.0,8318.0,8162.0,7993.0,8707.0,9415.0,12468.0
Inwestycje długoterminowe,111.0,111.0,111.0,111.0,111.0,111.0,111.0,0.0,0.0,0.0,0.0,2365.0,2435.0,2343.0,2302.0,2320.0,2313.0,4443.0,2316.0,2300.0,0.0,3759.0,3996.0,26057.0,26483.0,38276.0,42044.0,41999.0,26618.0,28382.0,39368.0,48383.0,51166.0,52043.0,53815.0,19113.0,17019.0,23472.0,18004.0,25612.0,33858.0,33260.0,26634.0,17242.0,11367.0,35412.0,31872.0,28875.0,32781.0,58765.0,54991.0,67733.0,75760.0,83079.0,92625.0,91908.0,118087.0,167452.0,152672.0,142818.0,145130.0,150999.0,153698.0,67536.0
