,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu dostaw i usług,10.0,24.0,35.0,39.0,52.0,115.0,919.0,585.0,906.0,659.0,1293.0,1979.0,1830.0,1428.0,1321.0,1377.0
Kredyty i pożyczki,108.0,108.0,113.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,143.0,138.0,169.0,136.0,168.0,249.0,1506.0,1130.0,1876.0,1554.0,1576.0,2422.0,2184.0,1941.0,1686.0,1800.0
Inne zobowiązania krótkoterminowe,25.0,6.0,21.0,92.0,111.0,129.0,582.0,545.0,970.0,895.0,283.0,443.0,354.0,513.0,365.0,423.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,1.0,0.0,0.0,2719.0,42.0,53.0,471.0,484.0,240.0,289.0,137.0,242.0,283.0
Pasywa razem,1676.0,1632.0,3709.0,3566.0,3434.0,3532.0,10241.0,9273.0,9994.0,10179.0,11800.0,12194.0,12389.0,12112.0,12529.0,12797.0
Przepływy pieniężne z działalności operacyjnej,-467.0,-301.0,-416.0,-390.0,-609.0,-407.0,-394.0,4582.0,793.0,-289.0,-679.0,1048.0,80.0,-682.0,-1106.0,-1200.0
Amortyzacja,0.0,0.0,11.0,0.0,20.0,13.0,3.0,105.0,107.0,90.0,20.0,46.0,41.0,85.0,121.0,99.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,-11.0,0.0,-20.0,-12.0,-4.0,-223.0,-178.0,-76.0,3.0,-42.0,-174.0,-94.0,-87.0,-94.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,11.0,0.0,20.0,12.0,4.0,223.0,178.0,76.0,-3.0,42.0,174.0,86.0,95.0,94.0
Przepływy pieniężne z działalności finansowej,1130.0,0.0,2202.0,-108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,-104.0,-99.0,0.0
Emisja akcji,1104.0,0.0,2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,99.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,663.0,-301.0,1775.0,-498.0,-629.0,-419.0,-398.0,4359.0,615.0,-365.0,-676.0,1006.0,-119.0,-880.0,-1292.0,-1294.0
