,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Koszty finansowe,52556.0,52520.0,42405.0,88092.0,46437.0,31058.0,44508.0,38271.0,91205.0,76913.0,81123.0,97883.0,78442.0,82427.0,81285.0,104839.0,87509.0,97587.0,89731.0,142333.0,90656.0,141791.0,46150.0,1076.0,72739.0,65220.0,62647.0,58958.0,50073.0,48904.0,53358.0,56987.0,38403.0,43027.0,40716.0,25226.0,54882.0,58519.0,55850.0,81549.0,72329.0,72043.0,62462.0,76622.0,91126.0,94470.0,92814.0,89590.0,111000.0,145000.0,155000.0,180000.0,211000.0,227000.0,181000.0,178000.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-236.0,-297.0,-242.0,-188.0,-319.0,-354.0,-317.0,-302.0,-761.0,-869.0,-545.0,-506.0,-789.0,-406.0,-370.0,-400.0,240.0,20400.0,-15530.0,-4560.0,88032.0,-841.0,-18109.0,-12179.0,91169.0,58386.0,-56.0,11205.0,3515.0,-45985.0,-102102.0,52826.0,-43449.0,18873.0,-18868.0,-44297.0,-15730.0,-170314.0,70674.0,23462.0,-281399.0,-23985.0,75689.0,-10321.0,85617.0,-35000.0,-13000.0,-18000.0,-302000.0,-94000.0,-127000.0,30000.0,-104000.0
Zysk z działalności gospodarczej,449729.0,271729.0,324122.0,211734.0,486740.0,428125.0,366607.0,318479.0,505595.0,635070.0,538577.0,256607.0,736059.0,350095.0,454960.0,142507.0,557590.0,367953.0,386953.0,185719.0,574373.0,284430.0,454876.0,-3324766.0,411595.0,-378920.0,336869.0,139317.0,819107.0,421485.0,241063.0,235140.0,791098.0,-65731.0,362828.0,-583548.0,691958.0,183369.0,229925.0,-1120620.0,231408.0,664082.0,500373.0,-3051531.0,1097380.0,-500692.0,191144.0,-112832.0,1272000.0,-410000.0,-214000.0,-538000.0,1392000.0,1134000.0,489000.0,-713000.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,449729.0,271729.0,324122.0,211734.0,486740.0,428125.0,366607.0,318479.0,505595.0,635070.0,538577.0,256607.0,736059.0,350095.0,454960.0,142507.0,557590.0,367953.0,386953.0,185719.0,574373.0,284430.0,454876.0,-3324766.0,411595.0,-378920.0,336869.0,139317.0,819107.0,421485.0,241063.0,235140.0,791098.0,-65731.0,362828.0,-583548.0,691958.0,183369.0,229925.0,-1120620.0,231408.0,664082.0,500373.0,-3051531.0,1097380.0,-500692.0,191144.0,-112832.0,1272000.0,-410000.0,-214000.0,-538000.0,1392000.0,1134000.0,489000.0,-713000.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-781455.0,-15111.0,42239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,0.0,0.0
Zysk netto,359587.0,213374.0,252103.0,166319.0,387971.0,339976.0,292409.0,246578.0,400154.0,487861.0,445054.0,208230.0,579933.0,311949.0,368844.0,85759.0,398686.0,335236.0,319136.0,132502.0,502730.0,217657.0,358768.0,-2883370.0,323806.0,-319089.0,271415.0,94005.0,640535.0,364942.0,188753.0,188716.0,636669.0,-68233.0,285823.0,-647214.0,524692.0,142248.0,187551.0,-866174.0,161475.0,-478557.0,376882.0,-2547677.0,850801.0,-468836.0,114569.0,-111534.0,901000.0,-272000.0,-232000.0,-531000.0,1036000.0,840000.0,387000.0,-585000.0
Zysk netto akcjonariuszy jednostki dominującej,291813.0,189954.0,219831.0,157058.0,382471.0,321562.0,290471.0,250612.0,386857.0,467990.0,414351.0,197604.0,558296.0,290936.0,363611.0,95475.0,395930.0,334360.0,318411.0,132192.0,502043.0,216481.0,358117.0,-2883958.0,323245.0,-319810.0,270848.0,93185.0,639830.0,364337.0,188030.0,188466.0,636153.0,-69124.0,285830.0,-647979.0,524194.0,141903.0,188253.0,-865258.0,162066.0,-478112.0,376643.0,-2545712.0,839016.0,-483057.0,100971.0,-118930.0,900000.0,-273000.0,-232000.0,-529000.0,1036000.0,837000.0,385000.0,-585000.0
Aktywa trwałe,0.0,18242724.0,18382485.0,18334911.0,18700543.0,18961611.0,19706773.0,23416777.0,23446281.0,23849197.0,24272950.0,25471230.0,25650887.0,25933097.0,26595950.0,27567008.0,27478594.0,27954014.0,28281793.0,28162749.0,28199905.0,28691479.0,29165948.0,28124185.0,28207012.0,27904122.0,28486467.0,29148253.0,29251028.0,29616513.0,29927056.0,31049127.0,30898227.0,31074587.0,31616847.0,32541865.0,32892029.0,33104419.0,34733741.0,35052287.0,35191649.0,33188440.0,33701429.0,31736391.0,33437751.0,32504864.0,32853530.0,33855000.0,34445000.0,35198000.0,35965000.0,35053000.0,35381000.0,35689000.0,36498000.0,37353000.0
Wartości niematerialne i prawne,0.0,660828.0,790551.0,347104.0,785201.0,866286.0,1058422.0,560344.0,986863.0,1015259.0,1022305.0,1429313.0,614055.0,1487687.0,1518253.0,1407062.0,1449249.0,1509967.0,1530628.0,1799789.0,1442243.0,1466184.0,1490614.0,1785664.0,1356825.0,1332280.0,1371757.0,1390843.0,1277005.0,1285400.0,1285207.0,1597363.0,1332275.0,1359035.0,1457328.0,1975489.0,1924932.0,669405.0,1381385.0,972641.0,580768.0,608732.0,694807.0,575257.0,625791.0,557668.0,677582.0,566000.0,577000.0,670000.0,658000.0,807000.0,742000.0,735000.0,722000.0,874000.0
