,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Zysk z działalności gospodarczej,2187.0,5601.0,4223.0,2421.0,2280.0,2976.0,3393.0,1324.0,5381.0,4870.0,6802.0,4957.0,8698.0,4564.0,3995.0,3282.0,4305.0,1006.0,2860.0,3007.0,11771.0,11191.0,7975.0,-9781.0,18062.0,15525.0,8905.0,2168.0,16622.0,7332.0,7677.0,13505.0,43663.0,47177.0,39944.0,15828.0,35019.0,27661.0,21758.0,38962.0,40250.0,9200.0,6555.0,26123.0,25761.0,77628.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2187.0,5601.0,4223.0,2421.0,2280.0,2976.0,3393.0,1324.0,5381.0,4870.0,6802.0,4957.0,8698.0,4564.0,3995.0,3282.0,4305.0,1006.0,2860.0,3007.0,11771.0,11191.0,7975.0,-9781.0,18062.0,15525.0,8905.0,2168.0,16622.0,7332.0,7677.0,13505.0,43663.0,47177.0,39944.0,15828.0,35019.0,27661.0,21758.0,38962.0,40250.0,9200.0,6555.0,26123.0,25761.0,77628.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1830.0,4187.0,3227.0,2130.0,1835.0,2123.0,2648.0,815.0,4380.0,3835.0,5358.0,3912.0,6878.0,3876.0,3181.0,2896.0,3326.0,463.0,2376.0,2291.0,9380.0,9400.0,5607.0,-8398.0,13828.0,14660.0,7219.0,1342.0,13171.0,6559.0,6268.0,10500.0,35058.0,39488.0,32311.0,12773.0,28098.0,22438.0,17563.0,31049.0,31893.0,21384.0,5791.0,22353.0,18022.0,86708.0
Zysk netto akcjonariuszy jednostki dominującej,1830.0,4187.0,3227.0,2130.0,1835.0,2123.0,2648.0,815.0,4380.0,3835.0,5358.0,3912.0,6878.0,3876.0,3181.0,2896.0,3326.0,463.0,2376.0,2291.0,9380.0,9400.0,5607.0,-8398.0,13828.0,14660.0,7219.0,1342.0,13171.0,6559.0,6268.0,10500.0,35058.0,39488.0,32311.0,12773.0,28098.0,22438.0,17563.0,31049.0,31893.0,21384.0,5791.0,22353.0,18022.0,86708.0
Aktywa trwałe,152622.0,154978.0,0.0,168103.0,180149.0,210453.0,217859.0,246148.0,254141.0,272399.0,281357.0,282640.0,290907.0,294163.0,296380.0,298683.0,298832.0,307643.0,319575.0,328143.0,334992.0,357021.0,371451.0,363276.0,387132.0,404833.0,426520.0,440807.0,466628.0,489616.0,506487.0,512696.0,535506.0,571992.0,636009.0,665877.0,699024.0,769965.0,801258.0,849495.0,904269.0,915524.0,905014.0,1024259.0,1075601.0,1167475.0
Wartości niematerialne i prawne,4774.0,4816.0,0.0,4617.0,4698.0,4911.0,5480.0,6038.0,6826.0,7150.0,7536.0,7994.0,8607.0,9060.0,9775.0,10344.0,10516.0,10723.0,11498.0,11277.0,11514.0,11849.0,13523.0,14197.0,14588.0,15402.0,15915.0,16032.0,17403.0,19979.0,21775.0,22486.0,24451.0,27436.0,29434.0,31195.0,33100.0,35996.0,36354.0,40496.0,43646.0,55576.0,54949.0,54971.0,62005.0,70441.0
Rzeczowe składniki majątku trwałego,139717.0,142129.0,0.0,155955.0,168466.0,198871.0,206450.0,234070.0,241111.0,259518.0,267527.0,268992.0,276702.0,280353.0,281477.0,283474.0,283549.0,293176.0,302877.0,312777.0,319258.0,341956.0,353754.0,340390.0,363472.0,384237.0,403194.0,416185.0,437752.0,463086.0,475595.0,481332.0,501155.0,536445.0,585066.0,612468.0,642440.0,713035.0,739553.0,782730.0,830969.0,829432.0,822196.0,920244.0,964264.0,1018975.0
Należności długoterminowe,0.0,0.0,0.0,169.0,0.0,78.0,80.0,80.0,184.0,289.0,80.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.0,679.0,679.0,1840.0,3167.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4722.0,4722.0,9260.0,9470.0,44030.0
