,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,609.0,818.0,605.0,754.0,2085.0,1899.0,-1368.0,1761.0,806.0,185.0,452.0,852.0,453.0,988.0,1285.0,12583.0,5731.0,-1141.0,2066.0,1114.0,876.0,508.0,819.0,434.0,2390.0,9428.0,220.0,-2317.0,1472.0,413.0,2497.0,884.0,413.0,1527.0,378.0,2263.0,2887.0,-503.0,910.0,1589.0,2.0,-286.0,749.0,1537.0,1758.0,339.0,1250.0,-1337.0,1785.0,1746.0,1152.0,2104.0,1015.0,2248.0,-266.0,780.0,1741.0,721.0,2724.0,-525.0,5270.0,836.0,913.0,1769.0,1559.0,802.0,1944.0,1918.0,2692.0,924.0,2680.0,1078.0,3686.0,2639.0,4083.0,3815.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.0,194.0,-2952.0,0.0,0.0,1443.0,282.0,0.0,231.0,84.0,374.0,0.0,155.0,328.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2184.0,-1405.0,606.0,1837.0,-670.0,1147.0,4.0,402.0,-2.0,159.0,-490.0,-102.0,-301.0,-211.0,-842.0,-215.0,243.0,57.0,-923.0,-516.0,-156.0,-787.0,595.0
Zysk z działalności gospodarczej,6449.0,11706.0,13053.0,7520.0,7175.0,13574.0,18136.0,6662.0,18023.0,12580.0,18911.0,9214.0,10953.0,6740.0,7793.0,-7337.0,1753.0,5831.0,13762.0,6407.0,2141.0,14232.0,15460.0,5621.0,5210.0,14883.0,22082.0,10893.0,9901.0,17717.0,19699.0,11252.0,14001.0,23577.0,34292.0,16285.0,22253.0,30125.0,36556.0,19661.0,23822.0,33787.0,34144.0,27194.0,25931.0,47927.0,39547.0,22011.0,32281.0,35526.0,30776.0,10415.0,23783.0,23123.0,23737.0,14709.0,15774.0,6712.0,6022.0,3387.0,7452.0,-4139.0,23365.0,9885.0,21245.0,18334.0,8034.0,-9885.0,5441.0,36273.0,-1350.0,16564.0,17778.0,35183.0,16850.0,15245.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,6449.0,11706.0,13053.0,7520.0,7175.0,13574.0,18136.0,6662.0,18023.0,12580.0,18911.0,9214.0,10953.0,6740.0,7793.0,-7337.0,1753.0,5831.0,13762.0,6407.0,2141.0,14232.0,15460.0,5621.0,5210.0,14883.0,22082.0,10893.0,9901.0,17717.0,19699.0,11252.0,14001.0,23577.0,34292.0,16285.0,22253.0,30125.0,36556.0,19661.0,23822.0,33787.0,34144.0,27194.0,25931.0,47927.0,39547.0,22011.0,32281.0,35526.0,30776.0,10415.0,23783.0,23123.0,23737.0,14709.0,15774.0,6712.0,6022.0,3387.0,7452.0,-4139.0,23365.0,9885.0,21245.0,18334.0,8034.0,-9885.0,5441.0,36273.0,-1350.0,16564.0,17778.0,35183.0,16850.0,15245.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1958.0
Zysk netto,6449.0,7712.0,10126.0,5428.0,5605.0,10452.0,14360.0,5014.0,14170.0,9922.0,15359.0,6995.0,8463.0,4905.0,6221.0,-6598.0,987.0,4396.0,10676.0,5232.0,2141.0,10286.0,11814.0,4040.0,3338.0,11312.0,17882.0,8057.0,7868.0,14088.0,15778.0,9603.0,11030.0,18511.0,27730.0,12539.0,17429.0,24013.0,29472.0,14838.0,18140.0,26613.0,27207.0,25628.0,19358.0,38499.0,31697.0,15382.0,24120.0,27692.0,23628.0,5609.0,18211.0,16877.0,18571.0,10790.0,18076.0,8857.0,8440.0,16462.0,9001.0,1915.0,19976.0,5627.0,16536.0,13972.0,6274.0,-5956.0,4957.0,36631.0,1111.0,14218.0,16166.0,30332.0,16158.0,11845.0
Zysk netto akcjonariuszy jednostki dominującej,4577.0,9331.0,10071.0,5344.0,5496.0,10296.0,14214.0,4954.0,13981.0,9781.0,15152.0,6947.0,8304.0,4782.0,6322.0,-6737.0,642.0,4435.0,10653.0,5121.0,959.0,10833.0,11605.0,3770.0,3108.0,11105.0,17489.0,8101.0,7659.0,13806.0,15594.0,9314.0,10730.0,18298.0,27567.0,12552.0,17269.0,24212.0,29376.0,14839.0,18012.0,26550.0,26888.0,25535.0,19162.0,38294.0,31556.0,15153.0,24068.0,27582.0,23518.0,5538.0,18169.0,16724.0,18507.0,10703.0,17977.0,8715.0,8325.0,16446.0,8900.0,1826.0,19907.0,5584.0,16422.0,13833.0,6195.0,-5999.0,4886.0,36518.0,977.0,14209.0,16128.0,30171.0,15824.0,11920.0
Aktywa trwałe,155283.0,160686.0,157868.0,187223.0,191770.0,190860.0,189751.0,192835.0,190259.0,196428.0,199354.0,194875.0,193436.0,202112.0,206452.0,219459.0,215898.0,211785.0,211774.0,211654.0,209513.0,214861.0,208294.0,208587.0,209224.0,208144.0,211706.0,216157.0,211311.0,213713.0,220694.0,224354.0,219304.0,214558.0,207584.0,207650.0,205404.0,207126.0,203788.0,232594.0,227033.0,221903.0,222327.0,239375.0,242109.0,235751.0,257261.0,262394.0,262843.0,280307.0,286994.0,309169.0,320022.0,341297.0,342770.0,375429.0,420124.0,441811.0,464329.0,489719.0,502904.0,500359.0,486467.0,478152.0,465895.0,448402.0,443504.0,445054.0,441987.0,444407.0,451066.0,443661.0,438826.0,443600.0,443754.0,461401.0
Wartości niematerialne i prawne,3242.0,3295.0,3654.0,12357.0,14054.0,13020.0,12678.0,12191.0,11792.0,11734.0,11871.0,11734.0,11761.0,11851.0,12054.0,13497.0,14032.0,15055.0,15085.0,15541.0,16015.0,18003.0,18520.0,20012.0,21193.0,22809.0,25359.0,26401.0,25771.0,25548.0,25602.0,25024.0,24979.0,23166.0,22384.0,22281.0,21763.0,21435.0,20796.0,19907.0,19182.0,20042.0,18502.0,14321.0,13758.0,12976.0,17694.0,16726.0,16452.0,17545.0,17295.0,16616.0,16315.0,15477.0,14754.0,14878.0,14570.0,13147.0,13383.0,13774.0,14078.0,12901.0,12510.0,13708.0,14085.0,14630.0,14706.0,8913.0,12486.0,8367.0,10651.0,10907.0,13769.0,13211.0,16344.0,19540.0
