,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,812.0,1208.0,1196.0,459.0,1071.0,1233.0,1491.0,1192.0,1742.0,1449.0,1468.0,1351.0,1979.0,2573.0,2919.0,3628.0,3270.0,2610.0,2662.0,3576.0,3637.0,3157.0,3438.0,3863.0,3092.0,2952.0,2418.0,2867.0,2159.0,2600.0,1991.0,1623.0,1197.0,713.0,879.0,722.0,789.0,1129.0,47.0,606.0,1703.0,-159.0,-12.0,1055.0,820.0,-762.0,571.0,218.0,506.0,32.0,-33.0,748.0,66.0,-22.0,462.0,-378.0,443.0,115.0,630.0,373.0,462.0,305.0,466.0,102.0,406.0,-107.0,550.0,-249.0,733.0,-34.0,1220.0,843.0,408.0,953.0,621.0,705.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,57.0,104.0,111.0,84.0,47.0,63.0,-114.0,24.0,-279.0,-137.0,-235.0,-77.0,-138.0,-146.0,-206.0,-188.0,-50.0,-40.0,-90.0,-159.0,-193.0,-128.0,-27.0,-68.0,77.0,-66.0,-114.0,-57.0,-122.0,-23.0,-72.0,-14.0,-159.0,-112.0,-281.0,0.0,-209.0,-49.0,359.0,33.0,107.0,170.0,367.0,295.0,44.0,84.0,52.0,54.0,10.0,-15.0,-99.0,-176.0,-63.0,14.0,-422.0,-11.0,88.0,114.0,236.0,187.0,500.0,145.0,101.0
Zysk z działalności gospodarczej,3753.0,5040.0,6504.0,6994.0,4934.0,8509.0,14512.0,13107.0,14412.0,15964.0,17770.0,13986.0,14635.0,7523.0,7339.0,967.0,-3631.0,-2036.0,-1825.0,914.0,-4738.0,1877.0,7125.0,9196.0,787.0,15322.0,24075.0,20755.0,5765.0,7442.0,6480.0,5950.0,-4588.0,1858.0,3208.0,-85.0,-6895.0,-2924.0,41.0,3425.0,-175.0,642.0,1472.0,5351.0,848.0,4787.0,5129.0,6066.0,933.0,5260.0,8507.0,16254.0,11681.0,14425.0,16234.0,15824.0,9931.0,15396.0,13422.0,20337.0,4856.0,5458.0,8888.0,5708.0,909.0,5334.0,14118.0,11508.0,-959.0,3050.0,5432.0,10594.0,-371.0,5618.0,7541.0,12416.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3753.0,5040.0,6504.0,6994.0,4934.0,8509.0,14512.0,13107.0,14412.0,15964.0,17770.0,13986.0,14635.0,7523.0,7339.0,967.0,-3631.0,-2036.0,-1825.0,914.0,-4738.0,1877.0,7125.0,9196.0,787.0,15322.0,24075.0,20755.0,5765.0,7442.0,6480.0,5950.0,-4588.0,1858.0,3208.0,-85.0,-6895.0,-2924.0,41.0,3425.0,-175.0,642.0,1472.0,5351.0,848.0,4787.0,5129.0,6066.0,933.0,5260.0,8507.0,16254.0,11681.0,14425.0,16234.0,15824.0,9931.0,15396.0,13422.0,20337.0,4856.0,5458.0,8888.0,5708.0,909.0,5334.0,14118.0,11508.0,-959.0,3050.0,5432.0,10594.0,-371.0,5618.0,7541.0,12416.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3266.0,4040.0,5104.0,5771.0,3788.0,6844.0,11706.0,10590.0,11581.0,12845.0,14664.0,11791.0,11969.0,6184.0,6330.0,1370.0,-3205.0,-1982.0,-1193.0,896.0,-3996.0,1421.0,5566.0,7240.0,711.0,12645.0,19624.0,16369.0,4543.0,5911.0,5144.0,4829.0,-3744.0,1236.0,2561.0,40.0,-6068.0,-2255.0,173.0,2560.0,-367.0,529.0,1473.0,3873.0,431.0,3599.0,4287.0,4575.0,488.0,3976.0,6595.0,13166.0,9314.0,11758.0,13200.0,12725.0,7796.0,11828.0,10295.0,16282.0,3950.0,4753.0,7202.0,4284.0,709.0,4043.0,11416.0,8810.0,-860.0,2605.0,4193.0,8517.0,-744.0,5070.0,6002.0,10126.0
Zysk netto akcjonariuszy jednostki dominującej,3266.0,4040.0,5104.0,5771.0,3788.0,6844.0,11706.0,10590.0,11581.0,12845.0,14664.0,11791.0,11969.0,6184.0,6330.0,1370.0,-3205.0,-1982.0,-1193.0,896.0,-3996.0,1421.0,5566.0,7240.0,711.0,12645.0,19624.0,16369.0,4543.0,5911.0,5144.0,4829.0,-3744.0,1236.0,2561.0,40.0,-6068.0,-2255.0,173.0,2560.0,-367.0,529.0,1473.0,3873.0,431.0,3599.0,4287.0,4575.0,488.0,3976.0,6595.0,13166.0,9314.0,11758.0,13200.0,12725.0,7796.0,11828.0,10295.0,16282.0,3950.0,4753.0,7202.0,4284.0,709.0,4043.0,11416.0,8810.0,-860.0,2605.0,4193.0,8517.0,-744.0,5070.0,6002.0,10126.0
Aktywa trwałe,84875.0,91536.0,104124.0,114654.0,132730.0,166717.0,175012.0,181594.0,202663.0,228949.0,256771.0,293421.0,366187.0,391550.0,403719.0,412116.0,407422.0,410618.0,430784.0,450395.0,443034.0,443742.0,435933.0,423450.0,406825.0,403262.0,402783.0,383759.0,360056.0,340144.0,336344.0,330273.0,315739.0,303934.0,293543.0,277385.0,256557.0,248297.0,237864.0,225546.0,212455.0,205782.0,205822.0,206997.0,217661.0,220595.0,217777.0,212011.0,208913.0,215530.0,215805.0,216932.0,222786.0,232960.0,237789.0,238470.0,255450.0,257325.0,266871.0,275364.0,280151.0,283547.0,298500.0,283631.0,299972.0,279090.0,291509.0,283518.0,287450.0,322519.0,314260.0,310561.0,301713.0,287862.0,296970.0,283425.0
Wartości niematerialne i prawne,902.0,824.0,754.0,765.0,793.0,769.0,758.0,860.0,806.0,694.0,674.0,796.0,760.0,794.0,713.0,641.0,542.0,767.0,642.0,669.0,591.0,550.0,507.0,501.0,506.0,479.0,486.0,1060.0,942.0,831.0,763.0,787.0,791.0,847.0,696.0,578.0,468.0,373.0,570.0,251.0,181.0,816.0,771.0,766.0,740.0,614.0,486.0,201.0,176.0,154.0,129.0,400.0,347.0,303.0,255.0,226.0,232.0,178.0,140.0,229.0,194.0,376.0,319.0,261.0,232.0,343.0,293.0,241.0,196.0,184.0,164.0,149.0,136.0,122.0,111.0,308.0
