,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,3913.0,3913.0,176348.0,176326.0,176623.0,176623.0,311169.0,311109.0,311089.0,311089.0,313487.0,313487.0,313486.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,527.0,834.0,782.0,778.0,815.0,867.0,882.0,1749.0,1661.0,1731.0
Zobowiązania długoterminowe,0.0,0.0,0.0,47283.0,45330.0,43725.0,43058.0,44567.0,42585.0,164122.0,167817.0,152546.0,146406.0,138009.0,133029.0,108520.0
Z tytułu dostaw i usług,0.0,0.0,0.0,18412.0,20227.0,19549.0,21453.0,27991.0,24155.0,40726.0,40767.0,32286.0,27567.0,28193.0,29152.0,34749.0
Kredyty i pożyczki,0.0,0.0,0.0,6478.0,6487.0,6939.0,9737.0,6474.0,6478.0,17238.0,16354.0,20683.0,20883.0,20532.0,21194.0,16071.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,813.0,861.0,851.0,1319.0,1720.0,1698.0,3208.0,3410.0,3264.0,3516.0,3563.0,3071.0,4170.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,3881.0,3552.0,3796.0,4054.0,5817.0,5869.0,14601.0,14136.0,14553.0,14746.0,15586.0,12185.0,14551.0
Zobowiązania krótkoterminowe,0.0,0.0,0.0,31428.0,32768.0,30881.0,41375.0,44499.0,41338.0,70017.0,71568.0,77492.0,75503.0,100996.0,77578.0,82893.0
Inne zobowiązania krótkoterminowe,0.0,0.0,0.0,5725.0,5193.0,3542.0,8866.0,8314.0,9007.0,8845.0,11037.0,21259.0,23537.0,48708.0,24161.0,27903.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,21885.0,15730.0,20542.0,104452.0,109864.0,267470.0,283416.0,295948.0,297759.0,571757.0,581784.0,586944.0,580285.0,576677.0,580957.0,559055.0
Przepływy pieniężne z działalności operacyjnej,5658.0,12645.0,-1094.0,8111.0,8135.0,5093.0,5893.0,11436.0,7637.0,8674.0,17747.0,17814.0,17172.0,17718.0,20682.0,29728.0
Amortyzacja,645.0,543.0,593.0,965.0,923.0,951.0,1244.0,1560.0,1567.0,1592.0,3280.0,3231.0,3499.0,3817.0,3877.0,4331.0
Przepływy pieniężne z działalności inwestycyjnej,-3558.0,2348.0,-650.0,-20707.0,-223.0,-839.0,-68667.0,-1880.0,-1526.0,-223963.0,-1672.0,6282.0,-2948.0,284.0,-2139.0,19667.0
CAPEX (niematerialne i rzeczowe),395.0,358.0,627.0,491.0,529.0,843.0,1639.0,2023.0,1557.0,1774.0,1849.0,1964.0,3221.0,797.0,2815.0,2091.0
Przepływy pieniężne z działalności finansowej,-774.0,-11016.0,-719.0,18777.0,-2233.0,153228.0,-88.0,-4740.0,-2641.0,124743.0,-3801.0,-17386.0,-8178.0,-10142.0,-33714.0,-31726.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,170176.0,-22.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,10328.0,0.0,0.0,0.0,15061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25006.0,0.0
Przepływy pieniężne razem,1326.0,3977.0,-2463.0,6181.0,5679.0,157482.0,-62862.0,4816.0,3470.0,-90546.0,12274.0,6710.0,6046.0,7860.0,-15171.0,17669.0
