,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Kapitał (fundusz) zapasowy,1076882.0,1070180.0,1103713.0,1085625.0,1091934.0,1089211.0,1093033.0,1204509.0,1155535.0,1185321.0,1197811.0,1204283.0,1206233.0,1250629.0,1218554.0
Udziały niekontrolujące,22704.0,2927.0,2576.0,2513.0,2578.0,2626.0,2764.0,2864.0,3132.0,3213.0,3247.0,3264.0,3270.0,3390.0,3303.0
Zobowiązania długoterminowe,0.0,544054.0,380121.0,1572.0,1468.0,1348.0,0.0,1244506.0,1174811.0,1198084.0,1109649.0,800629.0,824616.0,855201.0,879769.0
Z tytułu dostaw i usług,0.0,35764.0,12565.0,10086.0,8864.0,7569.0,8059.0,8069.0,6407.0,3670.0,4073.0,9473.0,7619.0,18410.0,20616.0
Kredyty i pożyczki,0.0,842075.0,745138.0,714720.0,738495.0,756227.0,645282.0,161477.0,244547.0,138583.0,137182.0,135903.0,135381.0,140408.0,107369.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,282699.0,314190.0,699297.0,745762.0,786198.0,790218.0,0.0,0.0,29357.0,24631.0,339062.0,327186.0,332683.0,291750.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,29088.0,1619.0,1572.0,1468.0,1348.0,0.0,68862.0,66021.0,67203.0,67911.0,64898.0,65200.0,73747.0,71420.0
Zobowiązania krótkoterminowe,0.0,1266553.0,1178793.0,1555445.0,1627241.0,1685789.0,1580665.0,232483.0,324953.0,204230.0,168633.0,516784.0,503838.0,527520.0,448431.0
Inne zobowiązania krótkoterminowe,0.0,106015.0,106900.0,131342.0,134120.0,135795.0,137107.0,62937.0,73999.0,32620.0,2747.0,32345.0,33652.0,36019.0,28696.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,2196210.0,3621401.0,2647630.0,2429289.0,2305198.0,2161583.0,2062426.0,1986645.0,1936906.0,1794297.0,1709961.0,1670555.0,1645822.0,1718886.0,1638055.0
Przepływy pieniężne z działalności operacyjnej,-41348.0,-79941.0,-37268.0,78735.0,15192.0,1931.0,12614.0,5174.0,-1235.0,21345.0,-30611.0,-852.0,-16715.0,58859.0,42585.0
Amortyzacja,238234.0,81690.0,81644.0,-331374.0,375.0,262.0,1186.0,2323.0,278.0,835.0,-381.0,98.0,94.0,97.0,26.0
Przepływy pieniężne z działalności inwestycyjnej,-41911.0,524729.0,31129.0,-62183.0,5736.0,-25.0,-49054.0,50048.0,-2825.0,-575.0,14517.0,-21.0,51.0,71.0,-22.0
CAPEX (niematerialne i rzeczowe),-6261.0,826.0,-7100.0,294.0,0.0,25.0,292.0,-273.0,70.0,3402.0,0.0,-13.0,0.0,0.0,0.0
Przepływy pieniężne z działalności finansowej,-86254.0,-390035.0,-258438.0,-11703.0,-9932.0,-9795.0,-7695.0,17578.0,-11400.0,-7290.0,-56950.0,119.0,-14205.0,-9754.0,-39601.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-169513.0,54753.0,-264577.0,4848.0,10996.0,-7889.0,-44135.0,72800.0,-15461.0,13481.0,-73044.0,-754.0,-30869.0,49176.0,2962.0
