,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,7570.0,4324.0,6647.0,11123.0,8344.0,2365.0,6861.0,13198.0,8728.0,2757.0,8321.0,12085.0,8280.0,4781.0,8212.0,10704.0,7192.0,5493.0,9020.0,11155.0,8837.0,6513.0,9800.0,11537.0,11079.0,5314.0,10993.0,10434.0,9955.0,6527.0,12629.0,15886.0,11823.0,8092.0,15225.0,11463.0,13456.0,6310.0,13823.0,7955.0,10551.0,4751.0,8563.0,8314.0,7794.0,3944.0,8016.0,10098.0,13954.0,10152.0,8627.0,9321.0,6487.0,6630.0,10486.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7570.0,4324.0,6647.0,11123.0,8344.0,2365.0,6861.0,13198.0,8728.0,2757.0,8321.0,12085.0,8280.0,4781.0,8212.0,10704.0,7192.0,5493.0,9020.0,11155.0,8837.0,6513.0,9800.0,11537.0,11079.0,5314.0,10993.0,10434.0,9955.0,6527.0,12629.0,15886.0,11823.0,8092.0,15225.0,11463.0,13456.0,6310.0,13823.0,7955.0,10551.0,4751.0,8563.0,8314.0,7794.0,3944.0,8016.0,10098.0,13954.0,10152.0,8627.0,9321.0,6487.0,6630.0,10486.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,6224.0,3428.0,5237.0,8874.0,6623.0,1849.0,5450.0,10567.0,6940.0,2103.0,6626.0,9711.0,6620.0,3778.0,6637.0,8664.0,5810.0,4298.0,7282.0,8962.0,7107.0,5265.0,7811.0,9286.0,8797.0,4310.0,8952.0,8427.0,8035.0,5284.0,10393.0,12590.0,9518.0,6508.0,12387.0,9364.0,11140.0,5292.0,11579.0,6492.0,8750.0,4077.0,6955.0,7121.0,6537.0,3501.0,7026.0,8676.0,11743.0,8914.0,7624.0,8140.0,6280.0,6436.0,9234.0
Zysk netto akcjonariuszy jednostki dominującej,6224.0,3428.0,5237.0,8874.0,6623.0,1849.0,5450.0,10567.0,6940.0,2103.0,6626.0,9711.0,6620.0,3778.0,6637.0,8664.0,5810.0,4298.0,7282.0,8962.0,7107.0,5265.0,7811.0,9286.0,8797.0,4310.0,8952.0,8427.0,8035.0,5284.0,10393.0,12590.0,9518.0,6508.0,12387.0,9364.0,11140.0,5292.0,11579.0,6492.0,8750.0,4077.0,6955.0,7121.0,6537.0,3501.0,7026.0,8676.0,11743.0,8914.0,7624.0,8140.0,6280.0,6436.0,9234.0
Aktywa trwałe,29420.0,29922.0,31885.0,34623.0,39275.0,44465.0,47474.0,49274.0,50338.0,51723.0,53954.0,57707.0,63248.0,65637.0,66111.0,66972.0,67793.0,68840.0,68657.0,69492.0,69042.0,67809.0,69033.0,68760.0,68834.0,71781.0,72051.0,72386.0,72847.0,73796.0,79460.0,80082.0,85213.0,89906.0,92636.0,95890.0,101280.0,101585.0,102633.0,103793.0,103884.0,108061.0,109388.0,108539.0,107076.0,105494.0,104274.0,104388.0,104707.0,100528.0,101181.0,99771.0,97696.0,93856.0,94853.0
Wartości niematerialne i prawne,217.0,454.0,435.0,487.0,617.0,582.0,604.0,566.0,522.0,674.0,686.0,1128.0,1129.0,1069.0,989.0,914.0,1525.0,1613.0,1706.0,2119.0,2251.0,2268.0,2372.0,2356.0,2250.0,3208.0,3371.0,3435.0,3479.0,3630.0,3730.0,3658.0,5562.0,5426.0,5280.0,5393.0,6051.0,5769.0,5424.0,4954.0,4795.0,4348.0,4455.0,3990.0,3751.0,5481.0,5067.0,5021.0,5229.0,4556.0,4178.0,3691.0,3193.0,2809.0,4715.0
Rzeczowe składniki majątku trwałego,27900.0,28443.0,30470.0,33082.0,37621.0,42836.0,45914.0,47620.0,48853.0,49280.0,51686.0,55093.0,60719.0,63159.0,63498.0,64408.0,64885.0,64341.0,63928.0,63527.0,62703.0,61966.0,62416.0,62175.0,62212.0,63061.0,63351.0,63384.0,63802.0,65141.0,69733.0,70500.0,73781.0,79759.0,83298.0,86665.0,91118.0,92037.0,93048.0,94739.0,94596.0,100255.0,101234.0,100403.0,98768.0,96817.0,95154.0,94545.0,93368.0,92018.0,92778.0,91372.0,89495.0,87977.0,86543.0
