,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,82.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania krótkoterminowe,13872.0,13170.0,14767.0,18559.0,14023.0,11847.0,40721.0,23106.0,8709.0,15034.0,18894.0,39677.0,15059.0,12717.0,18006.0,39710.0,18068.0,11305.0,18462.0,41319.0,19695.0,16208.0,17389.0,21028.0,19726.0,23975.0,23131.0,45827.0,37285.0,37829.0,29470.0,33626.0,36238.0,31047.0,36133.0,72330.0,58410.0,40892.0,36701.0,42669.0,51745.0,48295.0,49945.0,65021.0,54155.0,51524.0,54537.0,62821.0,46008.0,40718.0,102066.0,99932.0,83986.0,60635.0,51283.0
Inne zobowiązania krótkoterminowe,0.0,2236.0,0.0,0.0,0.0,4269.0,0.0,0.0,0.0,4205.0,0.0,0.0,0.0,2766.0,0.0,0.0,0.0,3156.0,0.0,0.0,0.0,5676.0,0.0,0.0,0.0,6420.0,0.0,0.0,0.0,7163.0,0.0,0.0,0.0,12255.0,0.0,0.0,0.0,10933.0,0.0,0.0,0.0,6065.0,0.0,0.0,0.0,5604.0,0.0,0.0,0.0,7767.0,0.0,0.0,0.0,7638.0,0.0
Rozliczenia międzyokresowe,4317.0,4452.0,4415.0,4882.0,7174.0,9736.0,9721.0,13428.0,14891.0,14629.0,15132.0,15021.0,14611.0,15472.0,14698.0,16056.0,15404.0,16277.0,15777.0,16423.0,17843.0,17022.0,15694.0,16265.0,17143.0,17151.0,16142.0,17790.0,17783.0,15757.0,16057.0,20312.0,22244.0,23523.0,18394.0,19075.0,18867.0,19185.0,18572.0,18103.0,15998.0,16197.0,16177.0,17972.0,19276.0,19462.0,19811.0,20141.0,23383.0,21775.0,20105.0,20253.0,17705.0,18451.0,17525.0
Pasywa razem,69556.0,71963.0,79782.0,93467.0,98462.0,101371.0,114166.0,132768.0,110764.0,119488.0,130477.0,137114.0,119087.0,121798.0,132950.0,142639.0,126155.0,125250.0,139172.0,150082.0,136985.0,138470.0,146443.0,135711.0,144084.0,131121.0,137973.0,144638.0,144107.0,150117.0,152448.0,149810.0,163854.0,166433.0,181463.0,189681.0,186693.0,174768.0,182493.0,194484.0,194917.0,196937.0,205522.0,207351.0,204326.0,205870.0,216212.0,213288.0,211175.0,213101.0,245403.0,251557.0,239343.0,223174.0,222130.0
Przepływy pieniężne z działalności operacyjnej,-167.0,259.0,7885.0,11235.0,629.0,3967.0,7966.0,10778.0,4165.0,10123.0,3625.0,4571.0,9817.0,6233.0,5547.0,4048.0,11330.0,5905.0,9555.0,4365.0,11867.0,8118.0,5431.0,18996.0,9979.0,2869.0,6239.0,7727.0,4574.0,12976.0,10832.0,25852.0,5252.0,8754.0,1223.0,4687.0,15765.0,19926.0,12821.0,-6344.0,10747.0,1617.0,9730.0,7626.0,15200.0,-4910.0,7089.0,11162.0,26751.0,-1459.0,-7010.0,-11892.0,21526.0,13734.0,21543.0
Amortyzacja,883.0,899.0,607.0,626.0,648.0,695.0,766.0,838.0,948.0,1043.0,1169.0,1192.0,1265.0,1311.0,1525.0,1590.0,1658.0,1739.0,1555.0,1612.0,1653.0,1678.0,1686.0,1764.0,1792.0,1860.0,1849.0,1925.0,2061.0,2069.0,2150.0,2234.0,5051.0,-136.0,2753.0,2804.0,2871.0,3035.0,2597.0,2608.0,2787.0,2901.0,2790.0,2898.0,2965.0,2910.0,3118.0,3171.0,3200.0,3221.0,3047.0,3029.0,3045.0,2976.0,2889.0
Przepływy pieniężne z działalności inwestycyjnej,-7390.0,-460.0,-2306.0,4755.0,-12040.0,-3944.0,-4938.0,-33086.0,18654.0,-2370.0,-8197.0,6879.0,-2211.0,-3179.0,-3398.0,-2489.0,6422.0,-11028.0,-6269.0,-2402.0,4742.0,-930.0,-9654.0,5637.0,-2271.0,-4789.0,-962.0,-2279.0,-2203.0,-3620.0,-4473.0,-5221.0,-4430.0,-7430.0,-6343.0,-5046.0,-7560.0,-4578.0,-3772.0,-2439.0,-4141.0,-5591.0,-4490.0,-1464.0,-2189.0,-676.0,-782.0,-2104.0,-1261.0,-1178.0,-2919.0,-1486.0,-683.0,-1160.0,-822.0
CAPEX (niematerialne i rzeczowe),1045.0,1589.0,1738.0,2609.0,3700.0,6040.0,4669.0,4127.0,2287.0,1643.0,3474.0,3363.0,4920.0,5585.0,3040.0,2534.0,1901.0,1503.0,1215.0,1294.0,848.0,921.0,1827.0,1735.0,1623.0,2749.0,2737.0,1968.0,1842.0,3757.0,4272.0,4834.0,3288.0,9231.0,6844.0,5238.0,6858.0,4754.0,3927.0,1654.0,4526.0,4165.0,2417.0,3820.0,1878.0,1402.0,672.0,1135.0,2184.0,1578.0,1984.0,2039.0,916.0,1557.0,676.0
Przepływy pieniężne z działalności finansowej,-1104.0,8.0,-4182.0,-207.0,2575.0,2394.0,744.0,4754.0,-18263.0,228.0,944.0,-4054.0,-20090.0,527.0,-1.0,1375.0,-18929.0,-3048.0,46.0,620.0,-19686.0,-2561.0,327.0,-24232.0,-1.0,-16795.0,-1400.0,-4315.0,-7514.0,5527.0,-19283.0,-22584.0,4297.0,-4870.0,4643.0,-353.0,-9882.0,-14829.0,-9606.0,9178.0,-6802.0,4299.0,-6230.0,-4229.0,-13790.0,6224.0,-3679.0,-13512.0,-24192.0,1982.0,10608.0,12676.0,-19854.0,-12970.0,-21005.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22498.0,1.0,0.0,0.0,20120.0,0.0,0.0,0.0,22037.0,0.0,0.0,0.0,22204.0,0.0,0.0,24228.0,0.0,24229.0,0.0,0.0,26236.0,0.0,0.0,0.0,24490.0,0.0,0.0,0.0,38922.0,0.0,0.0,0.0,18436.0,0.0,0.0,22163.0,0.0,0.0,0.0,20147.0,71.0,-71.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-8661.0,-193.0,1397.0,15783.0,-8836.0,2417.0,3772.0,-17554.0,4556.0,7981.0,-3628.0,7396.0,-12484.0,3581.0,2148.0,2934.0,-1177.0,-8171.0,3332.0,2583.0,-3077.0,4627.0,-3896.0,401.0,7707.0,-18715.0,3877.0,1133.0,-5143.0,14883.0,-12924.0,-1953.0,5119.0,-3546.0,-477.0,-712.0,-1677.0,519.0,-557.0,395.0,-196.0,325.0,-990.0,1933.0,-779.0,638.0,2628.0,-4454.0,1298.0,-655.0,679.0,-702.0,989.0,-396.0,-284.0
