,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Rzeczowe składniki majątku trwałego,6713.0,6196.0,6127.0,5831.0,5742.0,5406.0,5170.0,5310.0,23759.0,51141.0,50573.0,50146.0,49631.0,50017.0,46465.0,46044.0,45561.0,45726.0,44662.0,67871.0,87537.0,131524.0,131298.0,129531.0,131698.0,129494.0,128919.0,128520.0
Należności długoterminowe,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,103692.0,139734.0,128425.0,164612.0,205734.0,189461.0,209955.0,214329.0,158832.0,144254.0,215083.0,196678.0,110369.0,129353.0,132541.0,151241.0,159718.0,166968.0,213679.0,175339.0,235432.0,243148.0,255114.0,247177.0,247547.0,214644.0,223584.0,185945.0
Pozostałe aktywa trwałe,5822.0,8519.0,7219.0,7570.0,7579.0,8518.0,10172.0,7882.0,9041.0,9937.0,10969.0,14798.0,17392.0,16798.0,18901.0,18481.0,19986.0,22262.0,24342.0,21121.0,23818.0,24943.0,25333.0,22798.0,22994.0,23376.0,21773.0,24273.0
Aktywa obrotowe,617643.0,633357.0,725736.0,714438.0,707562.0,792758.0,739187.0,743285.0,852161.0,958789.0,947214.0,1012466.0,1153380.0,1211219.0,1258220.0,1097988.0,1165483.0,1342059.0,1208299.0,1285371.0,1282993.0,1108949.0,1081338.0,977601.0,985560.0,955773.0,1010952.0,1122338.0
Zapasy,414213.0,469057.0,522849.0,472665.0,512124.0,551531.0,556948.0,547228.0,590631.0,737660.0,770445.0,724242.0,761692.0,830922.0,883773.0,853775.0,897812.0,970245.0,972672.0,1008332.0,960329.0,831991.0,817745.0,768204.0,790849.0,720725.0,740035.0,812328.0
Należności krótkoterminowe,59067.0,34420.0,26519.0,13397.0,11784.0,12093.0,23097.0,23992.0,20558.0,42957.0,38145.0,48894.0,23596.0,27729.0,40603.0,53468.0,41483.0,85824.0,63316.0,49381.0,39318.0,85742.0,50817.0,41106.0,41858.0,40643.0,16563.0,23289.0
Inwestycje krótkoterminowe,144363.0,112144.0,173563.0,228376.0,183654.0,229134.0,153774.0,153360.0,234946.0,178172.0,134914.0,175956.0,353724.0,338200.0,333844.0,190745.0,226188.0,266178.0,152741.0,218181.0,270172.0,191216.0,212776.0,168291.0,152853.0,194405.0,254354.0,286721.0
Środki pieniężne i inne aktywa pieniężne,144363.0,76792.0,173563.0,37203.0,137121.0,201126.0,123964.0,109628.0,197689.0,129190.0,100536.0,127219.0,299464.0,258964.0,254399.0,142509.0,168665.0,194202.0,94191.0,182974.0,237033.0,144223.0,169900.0,132614.0,126113.0,160379.0,211421.0,239537.0
Pozostałe aktywa obrotowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,17736.0,2805.0,0.0,0.0,0.0,5368.0,18705.0,6026.0,0.0,3710.0,63374.0,14368.0,14368.0,0.0,0.0,0.0,19812.0,19570.0,9477.0,13174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,734925.0,788151.0,867828.0,893433.0,927511.0,996962.0,965295.0,971566.0,1044518.0,1164953.0,1224651.0,1274909.0,1331555.0,1408182.0,1456880.0,1313891.0,1390905.0,1577153.0,1491096.0,1549791.0,1629843.0,1508614.0,1493370.0,1377356.0,1388042.0,1323490.0,1385438.0,1461237.0
Kapitał własny akcjonariuszy jednostki dominującej,345188.0,339087.0,333959.0,366029.0,371600.0,387928.0,403003.0,413338.0,421125.0,429998.0,458721.0,483225.0,495008.0,500577.0,519255.0,556589.0,564717.0,546164.0,581247.0,612692.0,641793.0,619209.0,638116.0,655111.0,660774.0,700383.0,724725.0,710388.0
Kapitał (fundusz) podstawowy,0.0,0.0,0.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0,41653.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,0.0,317922.0,317922.0,317922.0,317922.0,324376.0,324376.0,371685.0,371685.0,371685.0,371685.0,371685.0,427572.0,427572.0,427572.0,475033.0,475033.0,475033.0,475033.0,523555.0,523555.0,523555.0,523555.0,613458.0,613458.0,613458.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,192009.0,167808.0,251710.0,302492.0,283498.0,345942.0,350900.0,282041.0,281198.0,350113.0,335100.0,326325.0,283639.0,238292.0,195518.0,259296.0,211952.0,282452.0,317721.0,296070.0,372359.0,422155.0,404610.0,411582.0,414373.0,397188.0,452765.0,366036.0
Z tytułu dostaw i usług,38512.0,42265.0,27777.0,31397.0,36130.0,42265.0,38174.0,46076.0,54658.0,47496.0,38968.0,51485.0,46210.0,44890.0,71165.0,53334.0,52387.0,52516.0,49108.0,58336.0,58116.0,53842.0,47871.0,45982.0,43627.0,46334.0,43048.0,39480.0
Kredyty i pożyczki,15247.0,19039.0,19039.0,33787.0,29831.0,19039.0,0.0,0.0,0.0,22573.0,27747.0,27975.0,30839.0,46157.0,81546.0,63260.0,29284.0,24340.0,0.0,20954.0,21196.0,21376.0,22281.0,12.0,9.0,6.0,0.0,5219.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,7755.0,14671.0,32324.0,15687.0,74911.0,86358.0,42003.0,21301.0,83695.0,101355.0,117589.0,129055.0,49385.0,48793.0,48682.0,39369.0,52330.0,67386.0,51579.0,25857.0,19035.0,18564.0,26039.0,27545.0,111529.0
Zobowiązania z tytułu leasingu finansowego,222.0,263.0,263.0,250.0,246.0,263.0,111.0,161.0,1253.0,1267.0,1264.0,1368.0,1410.0,1720.0,1526.0,29952.0,25151.0,25962.0,25870.0,21822.0,21477.0,5054.0,4984.0,5034.0,5099.0,5392.0,10678.0,6234.0
Inne zobowiązania długoterminowe,123479.0,107394.0,183325.0,13089.0,10635.0,11460.0,16601.0,15628.0,16964.0,17586.0,21041.0,32142.0,23867.0,20127.0,27520.0,26126.0,21238.0,23504.0,31409.0,24524.0,30888.0,27981.0,29274.0,28321.0,28430.0,32221.0,35790.0,32142.0
Zobowiązania krótkoterminowe,197728.0,281256.0,282159.0,224912.0,272413.0,263092.0,211392.0,276187.0,342195.0,384842.0,430830.0,465359.0,552908.0,669313.0,742107.0,498006.0,614236.0,748537.0,592128.0,641029.0,615691.0,467250.0,450644.0,310663.0,312895.0,225919.0,207948.0,384813.0
Inne zobowiązania krótkoterminowe,143747.0,219689.0,235080.0,151723.0,191535.0,169201.0,157420.0,155039.0,199926.0,271503.0,341550.0,300836.0,373094.0,458957.0,458815.0,302075.0,458621.0,597037.0,477781.0,487587.0,447516.0,335399.0,349651.0,240600.0,245596.0,148148.0,126677.0,222351.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,734925.0,788151.0,867828.0,893433.0,927511.0,996962.0,965295.0,971566.0,1044518.0,1164953.0,1224651.0,1274909.0,1331555.0,1408182.0,1456880.0,1313891.0,1390905.0,1577153.0,1491096.0,1549791.0,1629843.0,1508614.0,1493370.0,1377356.0,1388042.0,1323490.0,1385438.0,1461237.0
Przepływy pieniężne z działalności operacyjnej,-90880.0,31188.0,-24017.0,30473.0,2656.0,-8278.0,-44386.0,25096.0,17423.0,-99962.0,40736.0,14881.0,42950.0,16697.0,-10856.0,-97544.0,119746.0,22155.0,-75587.0,743.0,34415.0,-8259.0,71419.0,-12981.0,-3601.0,41305.0,13304.0,13415.0
Amortyzacja,286.0,313.0,309.0,431.0,241.0,439.0,305.0,270.0,663.0,753.0,904.0,826.0,666.0,981.0,777.0,797.0,715.0,843.0,731.0,724.0,842.0,2048.0,2272.0,2372.0,2303.0,2390.0,2460.0,2422.0
Przepływy pieniężne z działalności inwestycyjnej,-5359.0,-24181.0,27498.0,-35822.0,-33160.0,14163.0,-25330.0,-11595.0,78308.0,21837.0,-43971.0,-11197.0,128307.0,-17887.0,20376.0,-7134.0,684.0,-51.0,-44313.0,56265.0,-49756.0,3210.0,-10028.0,6378.0,-1814.0,-3654.0,-8381.0,43839.0
CAPEX (niematerialne i rzeczowe),271.0,168.0,162.0,99.0,0.0,29.0,62.0,13412.0,24.0,264.0,41892.0,48640.0,138.0,348.0,10798.0,13600.0,238.0,83.0,74027.0,538.0,40602.0,10975.0,1151.0,572.0,2988.0,19.0,946.0,1259.0
Przepływy pieniężne z działalności finansowej,47960.0,-39226.0,57938.0,60162.0,-14218.0,39595.0,-5644.0,-13915.0,-50508.0,57714.0,-40023.0,37358.0,6511.0,-14334.0,-13876.0,-38421.0,-84987.0,17886.0,6463.0,8432.0,67332.0,-250755.0,132057.0,-32922.0,-10022.0,-862.0,40053.0,-5152.0
Emisja akcji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7081.0,0.0,0.0,39570.0,0.0,0.0,0.0,47484.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-48279.0,-32219.0,61419.0,54813.0,-44722.0,45480.0,-75360.0,-414.0,45223.0,-20411.0,-43258.0,41042.0,177768.0,-15524.0,-4356.0,-143099.0,35443.0,39990.0,-113437.0,65440.0,51991.0,-255804.0,193448.0,-39525.0,-15437.0,36789.0,44976.0,52102.0
