,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,196.0,373.0,192.0,499.0,52.0,310.0,-56.0,184.0,85.0,89.0,112.0,710.0,447.0,915.0,919.0,4355.0,3053.0,1763.0,3515.0,2152.0,1683.0,466.0,401.0,381.0,501.0,529.0,473.0,195.0,253.0,524.0,208.0,617.0,324.0,350.0,-1.0,1483.0,158.0,400.0,241.0,547.0,276.0,187.0,117.0,418.0,359.0,20.0,257.0,371.0,739.0,354.0,37.0,1318.0,152.0,242.0,145.0,403.0,194.0,333.0,25.0,591.0,449.0,113.0,156.0,625.0,211.0,649.0,95.0,898.0,320.0,556.0,650.0,87.0,354.0,556.0,534.0,1000.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,-500.0
Zysk z działalności gospodarczej,1616.0,1254.0,1107.0,-803.0,67.0,1347.0,1873.0,1706.0,969.0,1563.0,2048.0,19319.0,1554.0,4958.0,16036.0,7764.0,6079.0,6849.0,8295.0,8713.0,4647.0,4267.0,6381.0,6291.0,3262.0,2696.0,3120.0,17450.0,5304.0,3229.0,4806.0,10951.0,4778.0,5153.0,6724.0,2784.0,4151.0,4283.0,8788.0,-1759.0,6287.0,-2288.0,5226.0,1808.0,4346.0,4171.0,2696.0,2619.0,4173.0,1732.0,6620.0,1464.0,16846.0,8811.0,4125.0,10492.0,1328.0,4591.0,16041.0,11588.0,7983.0,7220.0,2552.0,13729.0,6851.0,15271.0,6185.0,7028.0,1439.0,3747.0,8149.0,25424.0,7237.0,2113.0,8208.0,25852.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1616.0,1254.0,1107.0,-803.0,67.0,1347.0,1873.0,1706.0,969.0,1563.0,2048.0,19319.0,1554.0,4958.0,16036.0,7764.0,6079.0,6849.0,8295.0,8713.0,4647.0,4267.0,6381.0,6291.0,3262.0,2696.0,3120.0,17450.0,5304.0,3229.0,4806.0,10951.0,4778.0,5153.0,6724.0,2784.0,4151.0,4283.0,8788.0,-1759.0,6287.0,-2288.0,5226.0,1808.0,4346.0,4171.0,2696.0,2619.0,4173.0,1732.0,6620.0,1464.0,16846.0,8811.0,4125.0,10492.0,1328.0,4591.0,16041.0,11588.0,7983.0,7220.0,2552.0,13729.0,6851.0,15271.0,6185.0,7028.0,1439.0,3747.0,8149.0,25424.0,7237.0,2113.0,8208.0,25852.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,920.0,603.0,546.0,162.0,-116.0,1028.0,1327.0,1183.0,931.0,1091.0,1502.0,15457.0,1097.0,3831.0,12842.0,6012.0,4922.0,5610.0,6500.0,6322.0,3582.0,3381.0,4655.0,5735.0,2682.0,2276.0,2468.0,13718.0,4193.0,2483.0,3092.0,8437.0,3854.0,4200.0,4900.0,1093.0,3444.0,2896.0,5975.0,-1588.0,4119.0,-1300.0,3241.0,3454.0,3059.0,1422.0,4634.0,1035.0,3309.0,262.0,5591.0,1576.0,13257.0,7587.0,2676.0,8586.0,901.0,3524.0,11407.0,9175.0,6170.0,5751.0,1039.0,10929.0,5214.0,11951.0,5199.0,5298.0,1049.0,2729.0,6442.0,20214.0,5698.0,1531.0,6191.0,22396.0
Zysk netto akcjonariuszy jednostki dominującej,989.0,628.0,598.0,174.0,-38.0,962.0,1405.0,1263.0,931.0,1091.0,1502.0,15457.0,1097.0,3831.0,12842.0,6012.0,4922.0,5610.0,6500.0,6322.0,3582.0,3381.0,4655.0,5735.0,2682.0,2276.0,2468.0,13718.0,4201.0,2306.0,3603.0,8653.0,3726.0,3991.0,4728.0,972.0,3386.0,3126.0,6299.0,-3028.0,4042.0,-1653.0,2932.0,3082.0,2902.0,1057.0,4394.0,1119.0,3081.0,979.0,5575.0,2503.0,13137.0,7421.0,2475.0,8127.0,676.0,3194.0,11114.0,8965.0,6122.0,5690.0,665.0,11412.0,5186.0,11715.0,4894.0,5867.0,977.0,2591.0,6077.0,19337.0,5430.0,1399.0,5946.0,22501.0
Aktywa trwałe,30512.0,29422.0,30104.0,31403.0,31852.0,33356.0,35689.0,39342.0,39081.0,39310.0,40712.0,34830.0,35484.0,36854.0,38306.0,40063.0,43925.0,46103.0,49474.0,51686.0,52280.0,56686.0,58267.0,59708.0,59659.0,68743.0,69334.0,76529.0,78027.0,93074.0,93974.0,89508.0,89076.0,93979.0,94580.0,86141.0,86366.0,93547.0,96830.0,106566.0,106551.0,109997.0,107940.0,111841.0,111884.0,112894.0,115389.0,117476.0,117779.0,121512.0,115082.0,118108.0,121335.0,137452.0,136944.0,119110.0,138392.0,144984.0,152816.0,155799.0,160055.0,159474.0,160169.0,168507.0,169652.0,176024.0,188033.0,198221.0,197208.0,200855.0,202069.0,233281.0,229385.0,230690.0,228103.0,233216.0
Wartości niematerialne i prawne,6997.0,5828.0,5805.0,4806.0,4785.0,3308.0,3289.0,3383.0,3363.0,3344.0,3502.0,3487.0,3468.0,3602.0,3579.0,3661.0,3640.0,3629.0,3607.0,3530.0,3570.0,3563.0,3550.0,3575.0,3547.0,3628.0,3677.0,4252.0,4228.0,4186.0,4372.0,5116.0,4841.0,4864.0,4928.0,6053.0,6243.0,6335.0,6502.0,6293.0,6358.0,6397.0,6095.0,6379.0,6155.0,6497.0,6504.0,6074.0,6139.0,6569.0,6352.0,6041.0,6125.0,6264.0,7680.0,9052.0,8398.0,9558.0,11172.0,12567.0,12743.0,13074.0,13088.0,13187.0,13452.0,13783.0,14090.0,14407.0,14323.0,14223.0,13996.0,13852.0,13570.0,13305.0,13053.0,12025.0
