,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Koszty finansowe,1355.0,2572.0,2480.0,120.0,-1757.0,22959.0,8635.0,17696.0,12726.0,5053.0,7777.0,1742.0,862.0,6901.0,7124.0,5774.0,27483.0,-631.0,18940.0,4369.0,2421.0,12942.0,8833.0,19741.0,7417.0,20234.0,13914.0,18983.0,16773.0,8728.0,20554.0,6883.0,9265.0,10874.0,19939.0,10545.0,-670.0,14529.0,34448.0,4303.0,-1786.0,31966.0,11918.0,72227.0,-216.0,24811.0,17774.0,25967.0,27115.0,25409.0,51009.0,20965.0,13126.0,15575.0,106871.0,3592.0,76489.0,33722.0,72401.0,131534.0,214048.0,-86843.0,84242.0,124359.0,117555.0,47899.0
Pozostałe przychody (koszty),18.0,-1.0,44.0,13.0,24.0,12.0,15.0,14.0,-5.0,9.0,16.0,34.0,16.0,98.0,97.0,158.0,898.0,1697.0,2002.0,2296.0,2468.0,1783.0,2389.0,3059.0,2819.0,4094.0,2771.0,2319.0,4705.0,4145.0,3100.0,4378.0,2422.0,3837.0,2708.0,5255.0,2918.0,4289.0,3574.0,5031.0,4402.0,3008.0,3895.0,3296.0,2825.0,3076.0,2894.0,3233.0,3159.0,3207.0,3467.0,3613.0,4218.0,3641.0,3475.0,4571.0,4169.0,3386.0,3451.0,4410.0,5318.0,4971.0,5929.0,7201.0,7702.0,6728.0
Zysk z działalności gospodarczej,17659.0,19004.0,34290.0,18053.0,32325.0,3232.0,28562.0,-3142.0,-27362.0,-5187.0,17808.0,18474.0,17030.0,363695.0,114079.0,118752.0,138666.0,192059.0,227762.0,114648.0,27077.0,14863.0,463326.0,366265.0,-11966.0,-85103.0,180620.0,103568.0,-1665.0,21016.0,357115.0,175630.0,107343.0,198994.0,380415.0,62550.0,4844.0,43307.0,318198.0,125172.0,104325.0,28710.0,236520.0,-68856.0,-126778.0,-486.0,399055.0,112120.0,82880.0,-35596.0,255766.0,61239.0,54812.0,134332.0,132074.0,209530.0,35627.0,356654.0,1090782.0,943805.0,-48843.0,-1297058.0,-583400.0,-699471.0,-822242.0,-1478151.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,17659.0,19004.0,34290.0,18053.0,32325.0,3232.0,28562.0,-3142.0,-27362.0,-5187.0,17808.0,18474.0,17030.0,363695.0,114079.0,118752.0,138666.0,192059.0,227762.0,114648.0,27077.0,14863.0,463326.0,366265.0,-11966.0,-85103.0,180620.0,103568.0,-1665.0,21016.0,357115.0,175630.0,107343.0,198994.0,380415.0,62550.0,4844.0,43307.0,318198.0,125172.0,104325.0,28710.0,236520.0,-68856.0,-126778.0,-486.0,399055.0,112120.0,82880.0,-35596.0,255766.0,61239.0,54812.0,134332.0,132074.0,209530.0,35627.0,356654.0,1090782.0,943805.0,-48843.0,-1297058.0,-583400.0,-699471.0,-822242.0,-1478151.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-254.0,-140.0,-160.0,-188.0,-177.0,-188.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,12727.0,14452.0,27644.0,14374.0,26573.0,6066.0,22630.0,-1082.0,-26772.0,1484.0,14197.0,15585.0,13234.0,357742.0,92777.0,95091.0,115565.0,195508.0,179593.0,92951.0,20262.0,22495.0,410447.0,360071.0,213.0,-57206.0,149354.0,85332.0,8946.0,21423.0,305837.0,151798.0,82060.0,152153.0,306991.0,48514.0,-9775.0,29422.0,250061.0,127610.0,75491.0,35664.0,187978.0,-63505.0,-116820.0,-3.0,322872.0,72082.0,60971.0,-48252.0,195832.0,26273.0,40980.0,92325.0,85877.0,167839.0,13974.0,365997.0,882370.0,799590.0,-79353.0,-1018787.0,-555304.0,-543117.0,-743380.0,-1448663.0
Zysk netto akcjonariuszy jednostki dominującej,12632.0,14361.0,27535.0,14244.0,26398.0,4368.0,22556.0,-1.0,-16904.0,-9900.0,14161.0,15482.0,13138.0,348172.0,68286.0,62268.0,99983.0,230990.0,161742.0,89434.0,11644.0,31556.0,379158.0,348675.0,-3676.0,-44564.0,136094.0,72739.0,4490.0,18027.0,276135.0,126623.0,73590.0,133151.0,272371.0,34762.0,7672.0,28534.0,225727.0,109775.0,67043.0,54118.0,171931.0,-48293.0,-105569.0,-8310.0,294776.0,68006.0,59701.0,-49627.0,180650.0,14574.0,31293.0,85100.0,87570.0,143075.0,11650.0,339518.0,853593.0,715806.0,-52761.0,-896516.0,-521748.0,-543962.0,-658495.0,-1097942.0
Aktywa trwałe,911224.0,1001722.0,929875.0,943095.0,1014312.0,1047354.0,980380.0,986250.0,993499.0,989463.0,1012263.0,1040112.0,1031972.0,2272354.0,2293180.0,2357108.0,3375628.0,3308229.0,3263958.0,3253393.0,3535379.0,3552652.0,5646148.0,5947052.0,6225970.0,6635580.0,6613138.0,6596727.0,6659742.0,6781085.0,6768026.0,6788666.0,7020039.0,7224923.0,7352481.0,7518490.0,7696648.0,7651480.0,7713993.0,7802203.0,7844065.0,8069981.0,8055542.0,8145189.0,8326936.0,9886441.0,10243687.0,10342386.0,10553717.0,10705437.0,11227156.0,11813828.0,12521870.0,13511725.0,14248256.0,14463144.0,14832104.0,14905836.0,15508243.0,16130510.0,16631186.0,16948753.0,17122614.0,18115849.0,18612500.0,17265116.0
Wartości niematerialne i prawne,17127.0,16865.0,16315.0,17962.0,17306.0,16728.0,21488.0,22785.0,24405.0,22219.0,21598.0,21361.0,21862.0,182954.0,216117.0,183092.0,343679.0,292124.0,284214.0,288414.0,274146.0,290467.0,310615.0,558289.0,542702.0,527716.0,511452.0,498351.0,493658.0,523015.0,516957.0,511191.0,536838.0,545348.0,1036178.0,1042650.0,1029271.0,1026030.0,1015568.0,981954.0,968346.0,904839.0,883899.0,879363.0,859559.0,1814678.0,1262102.0,1314960.0,1336734.0,1293660.0,1350171.0,1325278.0,1337928.0,1358993.0,1364453.0,1324850.0,1347674.0,1318536.0,1326209.0,1326043.0,1359073.0,1276500.0,608166.0,578962.0,578962.0,565696.0
Rzeczowe składniki majątku trwałego,855317.0,941608.0,864634.0,887064.0,910696.0,924836.0,906745.0,911021.0,915381.0,902639.0,926189.0,954041.0,946436.0,2038415.0,2026707.0,2069070.0,2799126.0,2747478.0,2724720.0,2728803.0,2787142.0,2845691.0,5020553.0,5091867.0,5376581.0,5791013.0,5787766.0,5804381.0,5870692.0,5966287.0,5978183.0,6019624.0,6230524.0,6429767.0,6055716.0,6232069.0,6429279.0,6387823.0,6470933.0,6599807.0,6659677.0,6779748.0,6813292.0,6925761.0,7080388.0,7665639.0,8550658.0,8618771.0,8727273.0,8994826.0,9072478.0,9607624.0,10272191.0,11407794.0,12164316.0,12369337.0,12709278.0,12762548.0,13258011.0,13804542.0,14137726.0,14150875.0,14274995.0,15199536.0,15456441.0,14436631.0
Należności długoterminowe,2.0,2.0,2.0,2.0,9.0,594.0,594.0,577.0,594.0,1355.0,1355.0,1355.0,1355.0,3501.0,3177.0,2787.0,3167.0,1201.0,5192.0,4665.0,4665.0,4890.0,3468.0,3483.0,3410.0,3408.0,2516.0,1895.0,1897.0,2932.0,1101.0,1830.0,1830.0,1797.0,7422.0,7638.0,7569.0,6259.0,5870.0,3463.0,3431.0,137850.0,147867.0,139516.0,181245.0,185397.0,203153.0,179979.0,250878.0,156867.0,535430.0,641051.0,660162.0,489827.0,471069.0,524749.0,512537.0,542552.0,563588.0,573999.0,573124.0,629999.0,686429.0,661655.0,764906.0,609262.0
Inwestycje długoterminowe,11080.0,21985.0,6618.0,10827.0,60836.0,68972.0,18930.0,19552.0,20056.0,25386.0,25067.0,26475.0,26440.0,47359.0,47106.0,38062.0,93855.0,142550.0,132093.0,118041.0,362262.0,392802.0,206487.0,196581.0,204212.0,206360.0,206007.0,196975.0,199962.0,197235.0,192470.0,183230.0,182314.0,180016.0,195231.0,176625.0,176889.0,185621.0,178654.0,168990.0,177398.0,177624.0,140397.0,139369.0,137152.0,144785.0,130954.0,136400.0,52874.0,162527.0,166447.0,147387.0,154295.0,160477.0,163548.0,151384.0,167435.0,176245.0,172495.0,323709.0,456479.0,560490.0,534385.0,560143.0,599900.0,480505.0
Pozostałe aktywa trwałe,27698.0,21262.0,42306.0,27240.0,25465.0,36224.0,32623.0,32315.0,33063.0,37864.0,38054.0,36880.0,35879.0,125.0,73.0,64097.0,135801.0,124876.0,117739.0,113470.0,107164.0,18802.0,105025.0,96832.0,99065.0,107083.0,105397.0,95125.0,93533.0,91616.0,79315.0,72791.0,68533.0,67995.0,57934.0,59508.0,53640.0,45747.0,42968.0,47989.0,35213.0,69920.0,70087.0,61180.0,68592.0,75942.0,96820.0,92276.0,185958.0,97557.0,102630.0,92488.0,97294.0,94634.0,84870.0,92824.0,95180.0,105955.0,187940.0,102217.0,104784.0,330889.0,1018639.0,1115553.0,1212291.0,1173022.0
Aktywa obrotowe,315754.0,328958.0,334932.0,628778.0,585738.0,556892.0,643839.0,628131.0,588822.0,591855.0,608981.0,619789.0,650758.0,974347.0,1023676.0,1496764.0,1738372.0,1638000.0,1855229.0,1834153.0,1805093.0,1804389.0,3079062.0,3117750.0,3104053.0,3325950.0,3278963.0,3070391.0,3097704.0,3167247.0,3419682.0,3411214.0,3433523.0,3552246.0,3795207.0,3433317.0,3387492.0,3400440.0,3628004.0,3356465.0,3365693.0,3668063.0,3883488.0,3808258.0,3412911.0,4274028.0,4748574.0,4285565.0,4317010.0,4773254.0,5434484.0,4635284.0,3954088.0,4695425.0,4814458.0,5732719.0,6061333.0,8738869.0,9348369.0,8701545.0,9251311.0,8916891.0,10314348.0,7904016.0,6480501.0,7031404.0
