,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,2054.0,2265.0,2557.0,3421.0,3533.0,3966.0,6252.0,12046.0,15712.0,17525.0,17784.0,21068.0,26882.0,32018.0,33616.0,27863.0,27959.0,26930.0,31092.0,29703.0
Kapitał własny akcjonariuszy jednostki dominującej,1832.0,1904.0,1976.0,2260.0,2444.0,2480.0,3146.0,5586.0,10966.0,11464.0,10501.0,13369.0,17642.0,21753.0,19355.0,13096.0,13679.0,11444.0,13148.0,11236.0
Kapitał (fundusz) podstawowy,563.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0,625.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,649.0,1186.0,1186.0,1186.0,1186.0,1539.0,1539.0,1539.0,1539.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,1904.0,3630.0,3311.0,3626.0,3454.0,5042.0,6882.0,7943.0,11848.0,11749.0,11909.0,12877.0,14494.0,8086.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,927.0,952.0,907.0,906.0,864.0,1100.0,1108.0,922.0,856.0,1801.0,948.0
Z tytułu dostaw i usług,0.0,26.0,0.0,228.0,0.0,415.0,0.0,1918.0,355.0,826.0,1743.0,1750.0,1452.0,1420.0,1294.0,1843.0,1375.0,1328.0,1159.0,9389.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,927.0,952.0,907.0,906.0,864.0,1100.0,1108.0,922.0,856.0,1770.0,948.0
Zobowiązania krótkoterminowe,8.0,30.0,32.0,624.0,529.0,518.0,637.0,2136.0,1391.0,1508.0,2877.0,1750.0,1452.0,1458.0,1313.0,1910.0,1449.0,1753.0,1649.0,9433.0
Inne zobowiązania krótkoterminowe,0.0,4.0,0.0,396.0,0.0,103.0,0.0,218.0,1033.0,682.0,1134.0,0.0,0.0,38.0,19.0,67.0,74.0,425.0,490.0,44.0
Rozliczenia międzyokresowe,214.0,331.0,549.0,537.0,560.0,968.0,565.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,2054.0,2265.0,2557.0,3421.0,3533.0,3966.0,6252.0,12046.0,15712.0,17525.0,17784.0,21068.0,26882.0,32018.0,33616.0,27863.0,27959.0,26930.0,31092.0,29703.0
Przepływy pieniężne z działalności operacyjnej,-125.0,-100.0,102.0,42.0,-424.0,1506.0,485.0,2940.0,-1049.0,-894.0,528.0,1451.0,-184.0,-203.0,-3833.0,3869.0,471.0,-685.0,3203.0,-3895.0
Amortyzacja,0.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,11.0,-1.0,1004.0,315.0,526.0,221.0,230.0,317.0,498.0,-168.0,1844.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,0.0,0.0,-19.0,-300.0,-17.0,-357.0,-1.0,-137.0,9.0,-592.0,-2222.0,-6894.0,-821.0,-1372.0,-743.0,-2023.0,-706.0,-4619.0,3499.0
CAPEX (niematerialne i rzeczowe),0.0,0.0,0.0,19.0,0.0,15.0,11.0,10.0,7.0,5.0,38.0,2235.0,2126.0,678.0,1480.0,866.0,2145.0,712.0,4494.0,-3372.0
Przepływy pieniężne z działalności finansowej,600.0,0.0,0.0,300.0,0.0,214.0,1398.0,1738.0,3981.0,304.0,-1505.0,1997.0,4695.0,398.0,3999.0,-3980.0,0.0,0.0,12.0,32.0
Emisja akcji,600.0,0.0,0.0,0.0,0.0,519.0,1398.0,1738.0,3978.0,300.0,0.0,2000.0,4695.0,400.0,3999.0,-3980.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,475.0,-100.0,102.0,323.0,-724.0,1703.0,1526.0,4677.0,2795.0,-581.0,-1569.0,1226.0,-2383.0,-626.0,-1206.0,-854.0,-1552.0,-1391.0,-1404.0,-364.0
