,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Koszty finansowe,185864.0,-18547.0,46862.0,366438.0,-3094.0,118598.0,-94422.0,537135.0,83800.0,100270.0,170658.0,103128.0,113094.0,66118.0,76212.0,111723.0,97622.0,133149.0,24170.0,58059.0,73000.0,116000.0,539000.0,140000.0,105000.0,66000.0,73000.0,79000.0,74000.0,130000.0,61000.0,119000.0,177000.0,89000.0,81000.0,214000.0,116000.0,189000.0,73000.0,-28000.0,207000.0,21000.0,109000.0,134000.0,157000.0,113000.0,135000.0,137000.0,134000.0,-187000.0,148000.0,155000.0,168000.0,97000.0,-72000.0,-4000.0,-18000.0,490000.0,30000.0,124000.0
Pozostałe przychody (koszty),0.0,0.0,0.0,242157.0,0.0,0.0,0.0,227019.0,60774.0,107639.0,5990.0,-30.0,55.0,3382.0,-17238.0,231.0,-418.0,-73.0,-596.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42000.0,-19000.0,16000.0,9000.0,-8000.0,10000.0,29000.0,11000.0,32000.0,15000.0,13000.0,10000.0,12000.0,12000.0,-91000.0,-7000.0,-538000.0,2000.0,-9000.0,-6000.0,5000.0,4000.0,-5000.0,7000.0,4000.0,11000.0,-22000.0,0.0,0.0,0.0,2000.0
Zysk z działalności gospodarczej,1455707.0,1419455.0,1140804.0,1362568.0,1375015.0,902566.0,967918.0,1030751.0,1528165.0,1238104.0,1161779.0,2237346.0,2074665.0,1155023.0,1781478.0,-401131.0,1528221.0,1588055.0,1539852.0,190872.0,982000.0,2136000.0,497000.0,998000.0,1362000.0,-7597000.0,1263000.0,1216000.0,1075000.0,-320000.0,829000.0,1690000.0,1147000.0,664000.0,1813000.0,-334000.0,1225000.0,441000.0,493000.0,33000.0,753000.0,1487000.0,524000.0,-7467000.0,609000.0,-1153000.0,336000.0,522000.0,1024000.0,2186000.0,828000.0,833000.0,1389000.0,2611000.0,888000.0,-778000.0,2361000.0,716000.0,1176000.0,-8308000.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1455707.0,1419455.0,1140804.0,1362568.0,1375015.0,902566.0,967918.0,1030751.0,1528165.0,1238104.0,1161779.0,2237346.0,2074665.0,1155023.0,1781478.0,-401131.0,1528221.0,1588055.0,1539852.0,190872.0,982000.0,2136000.0,497000.0,998000.0,1362000.0,-7597000.0,1263000.0,1216000.0,1075000.0,-320000.0,829000.0,1690000.0,1147000.0,664000.0,1813000.0,-334000.0,1225000.0,441000.0,493000.0,33000.0,753000.0,1487000.0,524000.0,-7467000.0,609000.0,-1153000.0,336000.0,522000.0,1024000.0,2186000.0,828000.0,833000.0,1389000.0,2611000.0,888000.0,-778000.0,2361000.0,716000.0,1176000.0,-8308000.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,313.0,537.0,-850.0,0.0,627.0,385.0,274.0,418.0,-2012.0,1863.0,-142.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1125446.0,1180521.0,927761.0,1103495.0,1113579.0,729231.0,898956.0,885321.0,1226682.0,1032889.0,876170.0,1836873.0,1657942.0,866427.0,1477261.0,-357445.0,1233772.0,1291247.0,1265268.0,180713.0,792000.0,1718000.0,390000.0,757000.0,1098000.0,-6157000.0,1029000.0,993000.0,869000.0,-326000.0,656000.0,1367000.0,963000.0,532000.0,1462000.0,-290000.0,986000.0,310000.0,403000.0,-188000.0,572000.0,1193000.0,427000.0,-6120000.0,485000.0,-1122000.0,260000.0,525000.0,835000.0,1884000.0,545000.0,681000.0,1062000.0,2243000.0,621000.0,-536000.0,1811000.0,360000.0,950000.0,-8023000.0
Zysk netto akcjonariuszy jednostki dominującej,873148.0,921507.0,727244.0,848813.0,899097.0,600374.0,747157.0,769329.0,1205924.0,1012866.0,921346.0,1795959.0,1637873.0,856584.0,1462204.0,-340407.0,1227360.0,1297659.0,1238797.0,184184.0,789000.0,1708000.0,387000.0,754000.0,1095000.0,-6150000.0,1029000.0,994000.0,870000.0,-324000.0,656000.0,1366000.0,964000.0,533000.0,1463000.0,-300000.0,935000.0,346000.0,416000.0,-199000.0,585000.0,1117000.0,471000.0,-6134000.0,432000.0,-1120000.0,273000.0,525000.0,808000.0,1882000.0,561000.0,721000.0,1022000.0,2266000.0,654000.0,-614000.0,1724000.0,352000.0,953000.0,-8041000.0
Aktywa trwałe,40742812.0,41239052.0,41437922.0,41964446.0,41964623.0,42399677.0,42987137.0,44137422.0,44162539.0,43152236.0,43631387.0,44444933.0,44582696.0,44723014.0,46002752.0,45406698.0,45393840.0,46297332.0,47219708.0,48239000.0,48557000.0,49074000.0,49592000.0,52182000.0,52984000.0,44789000.0,46506000.0,49586000.0,50544000.0,51348000.0,52329000.0,54075000.0,53933000.0,54734000.0,55559000.0,62586000.0,62574000.0,62744000.0,63669000.0,66765000.0,67724000.0,67766000.0,68915000.0,65055000.0,64987000.0,64942000.0,65504000.0,66498000.0,65771000.0,65182000.0,65385000.0,66239000.0,66985000.0,66744000.0,68656000.0,71732000.0,72417000.0,81636000.0,83509000.0,78340000.0
Wartości niematerialne i prawne,138818.0,132930.0,149192.0,153335.0,145196.0,174451.0,170154.0,202629.0,192212.0,189987.0,188670.0,216921.0,246026.0,247643.0,379601.0,462422.0,473636.0,786017.0,852567.0,718000.0,726000.0,732000.0,739000.0,763000.0,778000.0,819000.0,873000.0,904000.0,916000.0,635000.0,630000.0,653000.0,631000.0,645000.0,660000.0,1281000.0,1266000.0,1015000.0,1013000.0,1046000.0,707000.0,719000.0,720000.0,735000.0,733000.0,733000.0,739000.0,646000.0,639000.0,714000.0,683000.0,682000.0,674000.0,683000.0,680000.0,726000.0,733000.0,2266000.0,2284000.0,1952000.0
