,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Koszty finansowe,10681.0,13731.0,14095.0,12715.0,8358.0,10219.0,15605.0,14487.0,17464.0,19160.0,16591.0,32092.0,21291.0,31218.0,27661.0,22379.0,27370.0,27053.0,24400.0,37943.0,313064.0,60266.0,63572.0,235658.0,272434.0,-38727.0,40894.0,118811.0,78086.0,5523.0,48221.0,46779.0,13757.0,5418.0,18533.0,44654.0,12087.0,14847.0,15343.0,24149.0,21124.0,20456.0,19288.0,36210.0,12100.0,10437.0,10077.0,16364.0,24019.0,-9715.0,57749.0,24579.0,2759.0,6375.0,13548.0,16349.0,27375.0,-25794.0,72380.0,20818.0
Pozostałe przychody (koszty),2985.0,-2078.0,473.0,1865.0,3827.0,6484.0,3668.0,3006.0,10876.0,21257.0,9705.0,18206.0,2397.0,7628.0,3476.0,499.0,-180.0,3788.0,62359.0,-14710.0,538.0,491.0,564.0,1031.0,-662.0,835.0,979.0,-2284.0,1037.0,859.0,4213.0,-571.0,181.0,127.0,142.0,-6144.0,9499.0,3310.0,-76360.0,-5104.0,-6030.0,10783.0,35772.0,-7878.0,-112050.0,-3850.0,-48215.0,-2404.0,7470.0,-36298.0,27811.0,-1982.0,-33158.0,-25481.0,-54269.0,-17221.0,-4596.0,-49612.0,44372.0,-3765.0
Zysk z działalności gospodarczej,1274.0,81096.0,11241.0,36140.0,74498.0,94263.0,150840.0,-923.0,82051.0,155948.0,161534.0,-27353.0,36497.0,182563.0,129544.0,-158712.0,47071.0,178506.0,125313.0,-238999.0,-186620.0,201754.0,-104158.0,-196015.0,-122715.0,214057.0,19726.0,-49604.0,78475.0,258361.0,10871.0,25580.0,134553.0,176169.0,9247.0,-54309.0,16030.0,150855.0,-99195.0,-138082.0,-21162.0,148033.0,-122990.0,-4054.0,-69008.0,92839.0,-46934.0,64367.0,19904.0,395579.0,64981.0,105667.0,14479.0,122824.0,185505.0,36942.0,91467.0,187651.0,6467.0,46389.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1274.0,81096.0,11241.0,36140.0,74498.0,94263.0,150840.0,-923.0,82051.0,155948.0,161534.0,-27353.0,36497.0,182563.0,129544.0,-158712.0,47071.0,178506.0,125313.0,-238999.0,-186620.0,201754.0,-104158.0,-196015.0,-122715.0,214057.0,19726.0,-49604.0,78475.0,258361.0,10871.0,25580.0,134553.0,176169.0,9247.0,-54309.0,16030.0,150855.0,-99195.0,-138082.0,-21162.0,148033.0,-122990.0,-4054.0,-69008.0,92839.0,-46934.0,64367.0,19904.0,395579.0,64981.0,105667.0,14479.0,122824.0,185505.0,36942.0,91467.0,187651.0,6467.0,46389.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,4189.0,79706.0,9936.0,34394.0,76823.0,86933.0,152260.0,3929.0,80852.0,145714.0,162240.0,-26293.0,35781.0,188699.0,128030.0,-158904.0,47789.0,177008.0,126780.0,-235254.0,-186724.0,200668.0,-104162.0,-198593.0,-118131.0,216599.0,18133.0,-47247.0,80220.0,249713.0,14648.0,17811.0,129717.0,176794.0,6632.0,-51173.0,15588.0,146323.0,-96974.0,-153338.0,-19068.0,147561.0,-113547.0,-11149.0,-60618.0,92384.0,-54724.0,61515.0,16917.0,388197.0,58819.0,93349.0,12171.0,117535.0,167244.0,14511.0,75406.0,171768.0,5757.0,25810.0
Zysk netto akcjonariuszy jednostki dominującej,4443.0,79492.0,9948.0,34402.0,76831.0,86958.0,152275.0,3929.0,80864.0,145718.0,162244.0,-26196.0,35977.0,188741.0,128153.0,-158892.0,47952.0,177004.0,126890.0,-235366.0,-186716.0,200659.0,-104133.0,-198559.0,-118119.0,216628.0,18128.0,-47273.0,80233.0,249713.0,14648.0,17842.0,129717.0,176794.0,6632.0,-51173.0,15588.0,146323.0,-96974.0,-153338.0,-19068.0,147561.0,-113547.0,-11149.0,-60618.0,92384.0,-54724.0,61515.0,16917.0,388197.0,58819.0,93349.0,12171.0,117535.0,167244.0,14511.0,75406.0,171768.0,5757.0,25810.0
Aktywa trwałe,396432.0,378589.0,319431.0,508772.0,539804.0,656073.0,614696.0,644262.0,726487.0,771056.0,979613.0,1111386.0,1034515.0,1139037.0,1096891.0,1098258.0,1149027.0,1174633.0,1233934.0,1437382.0,1088363.0,973001.0,984871.0,1140617.0,809908.0,865137.0,877784.0,1072168.0,931147.0,1050901.0,985533.0,1238782.0,1240499.0,1188826.0,1254120.0,1111916.0,1533194.0,1676525.0,1559911.0,1627989.0,1703766.0,1707463.0,1961310.0,2011030.0,1811237.0,1787807.0,1590256.0,1463575.0,1528592.0,1493008.0,1620273.0,1588136.0,1541997.0,1622446.0,1470748.0,1517595.0,1526630.0,1446169.0,1602981.0,1457741.0
Wartości niematerialne i prawne,22905.0,20413.0,16303.0,15443.0,15356.0,19987.0,16570.0,17631.0,18503.0,23118.0,31214.0,35741.0,30471.0,31355.0,27085.0,24488.0,24509.0,23646.0,25462.0,23257.0,17269.0,15504.0,14380.0,11934.0,11584.0,12168.0,11584.0,10543.0,9006.0,13759.0,15549.0,12834.0,11769.0,11276.0,10949.0,14940.0,15630.0,16129.0,4408.0,4588.0,5123.0,5039.0,5795.0,5706.0,5049.0,5212.0,4735.0,4767.0,2181.0,2780.0,3234.0,3215.0,2736.0,2462.0,1958.0,1632.0,2169.0,921.0,881.0,1900.0
