,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Koszty finansowe,292.0,0.0,462.0,-462.0,1898.0,522.0,704.0,96.0,37734.0,809.0,3223.0,893.0,4063.0,0.0,2.0,-2.0,2206.0,0.0,917.0,2064.0,-1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,329.0,-223.0,1538.0,653.0,375.0,-372.0,32.0,182.0,69.0,585.0,-21.0,1460.0,8.0,2.0,34.0,377.0,133.0,173.0,772.0,-116.0,1987.0,-357.0,398.0,1200.0,790.0,64.0,273.0,978.0,559.0,777.0,-244.0,1907.0,161.0,437.0,-14.0,407.0
Pozostałe przychody (koszty),0.0,0.0,5399.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-25880.0,-85.0,-333.0,0.0,-185.0,10888.0,-158.0,0.0,-152.0,2784.0,-5199.0,0.0,0.0,0.0,666.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,14068.0,0.0,0.0,0.0,7479.0,0.0,0.0,0.0,15416.0,-42.0,-133.0,-94.0,1466.0,-57.0,-93.0,-24.0,-360.0,29.0,4585.0,0.0,-795.0,-16.0,43733.0,-192.0,-2330.0,19.0,-130.0,0.0,275.0
Zysk z działalności gospodarczej,-429.0,1868.0,7853.0,2896.0,7511.0,1750.0,4025.0,6925.0,-39551.0,-13992.0,-68629.0,-7388.0,-24887.0,-2369.0,-188.0,10348.0,3052.0,-2440.0,-3291.0,-3004.0,1117.0,-1401.0,2327.0,-737.0,8009.0,1086.0,4409.0,936.0,10584.0,3627.0,6718.0,4774.0,17142.0,3513.0,12613.0,-969.0,15628.0,4044.0,9050.0,-1124.0,26668.0,-629.0,5456.0,1011.0,21126.0,-675.0,8180.0,-1705.0,30830.0,-2213.0,3242.0,-3767.0,16939.0,-8406.0,-11411.0,-8625.0,-2355.0,-6024.0,9769.0,-1391.0,17230.0,-489.0,55282.0,11165.0,1217.0,826.0,6288.0,3098.0,12443.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71492.0,1768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-429.0,1868.0,7853.0,2896.0,7511.0,1750.0,4025.0,6925.0,-39551.0,-13992.0,-68629.0,-7388.0,-24887.0,-2369.0,-188.0,81840.0,4820.0,-2440.0,-3291.0,-3004.0,1117.0,-1401.0,2327.0,-737.0,8009.0,1086.0,4409.0,936.0,10584.0,3627.0,6718.0,4774.0,17142.0,3513.0,12613.0,-969.0,15628.0,4044.0,9050.0,-1124.0,26668.0,-629.0,5456.0,1011.0,21126.0,-675.0,8180.0,-1705.0,30830.0,-2213.0,3242.0,-3767.0,16939.0,-8406.0,-11411.0,-8625.0,-2355.0,-6024.0,9769.0,-1391.0,17230.0,-489.0,55282.0,11165.0,1217.0,826.0,6288.0,3098.0,12443.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-342.0,1540.0,6318.0,2328.0,5739.0,1500.0,3101.0,5456.0,-39923.0,-13945.0,-68352.0,-7388.0,-24887.0,-2369.0,-188.0,81840.0,4820.0,-2440.0,-659.0,-5636.0,3749.0,-1401.0,2327.0,-737.0,8044.0,1086.0,4409.0,936.0,10586.0,6091.0,6415.0,3956.0,13897.0,2860.0,10219.0,20609.0,12619.0,3350.0,8815.0,-563.0,24213.0,-637.0,4520.0,653.0,17192.0,-920.0,6093.0,-1747.0,13939.0,-2065.0,2539.0,-3979.0,15266.0,-7599.0,-10169.0,-7615.0,-5056.0,-6274.0,10121.0,692.0,13941.0,-652.0,46237.0,10915.0,943.0,286.0,4736.0,2556.0,10795.0
Zysk netto akcjonariuszy jednostki dominującej,-342.0,1540.0,6318.0,2328.0,5739.0,1500.0,3101.0,5456.0,-39923.0,-13945.0,-68352.0,-7388.0,-24887.0,-2369.0,-188.0,81840.0,4820.0,-2440.0,-659.0,-5636.0,3749.0,-1401.0,2327.0,-737.0,8044.0,1086.0,4409.0,936.0,10586.0,6091.0,6415.0,3956.0,13897.0,2860.0,10219.0,20609.0,12619.0,3350.0,8815.0,-563.0,24213.0,-637.0,4520.0,653.0,17192.0,-920.0,6093.0,-1747.0,13939.0,-1731.0,2838.0,-3127.0,14338.0,-7496.0,-10436.0,-7703.0,-5000.0,-6254.0,9906.0,692.0,13941.0,-652.0,46237.0,10915.0,943.0,286.0,4736.0,2556.0,10795.0
Aktywa trwałe,12733.0,40633.0,49349.0,56086.0,73557.0,94362.0,104506.0,111734.0,119785.0,123047.0,36535.0,34385.0,33300.0,32504.0,31496.0,30266.0,29324.0,28667.0,27417.0,26527.0,25686.0,26947.0,22927.0,21966.0,22069.0,21953.0,21177.0,20490.0,17777.0,22798.0,43938.0,43277.0,43312.0,42071.0,52656.0,74560.0,76668.0,77008.0,77164.0,78419.0,91896.0,92642.0,92465.0,94588.0,106375.0,108022.0,108742.0,112413.0,126765.0,161879.0,166139.0,163416.0,178817.0,176232.0,170764.0,167082.0,193247.0,189508.0,188789.0,192208.0,152352.0,184273.0,147230.0,145577.0,149676.0,148201.0,143591.0,143759.0,142883.0
Wartości niematerialne i prawne,72.0,1069.0,1094.0,433.0,1436.0,1485.0,1716.0,631.0,606.0,634.0,639.0,615.0,583.0,560.0,536.0,562.0,519.0,494.0,469.0,444.0,482.0,484.0,465.0,451.0,442.0,421.0,405.0,381.0,395.0,385.0,372.0,389.0,517.0,502.0,477.0,460.0,526.0,497.0,473.0,483.0,496.0,469.0,434.0,444.0,469.0,531.0,508.0,504.0,6654.0,6217.0,6267.0,6235.0,5681.0,5699.0,3088.0,513.0,453.0,423.0,487.0,486.0,361.0,317.0,332.0,677.0,677.0,698.0,584.0,525.0,475.0
