,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Koszty finansowe,1079.0,1060.0,1855.0,7235.0,8895.0,-1351.0,3818.0,39603.0,36608.0,-9282.0,-10365.0,-9576.0,1316.0,2869.0,-671.0,1321.0,3923.0,1229.0,25006.0,3384.0,1959.0,2280.0,2118.0,932.0,7428.0,13153.0,-8138.0,-1478.0,10569.0,5433.0,9078.0,21665.0,8554.0,8350.0,9114.0,7335.0,9400.0,34036.0,-9211.0,22268.0,8138.0,7867.0,8107.0,8224.0,14530.0,33139.0,-4570.0,15674.0,10064.0,10204.0,12847.0,4469.0,46618.0,-3191.0,9381.0,11563.0,7744.0,450.0,6208.0,4297.0,15818.0,4304.0,10041.0,-3953.0,4322.0,6645.0,6588.0,5783.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,2.0,-1066.0,-129.0,-127.0,-359.0,-486.0,-722.0,-396.0,-430.0,-435.0
Zysk z działalności gospodarczej,-1253.0,952.0,129753.0,4239.0,12731.0,26966.0,1267.0,12889.0,3725.0,5342.0,3630.0,-61620.0,18962.0,15564.0,11626.0,27119.0,16707.0,10075.0,28285.0,20224.0,-7282.0,8528.0,-1627.0,76392.0,21233.0,29947.0,19455.0,14210.0,19499.0,15231.0,14590.0,50794.0,16493.0,35616.0,32353.0,41590.0,23321.0,95477.0,-9872.0,43083.0,12199.0,40401.0,71368.0,-22151.0,96197.0,82062.0,-2396.0,25870.0,134640.0,23503.0,40920.0,-48017.0,82013.0,-66654.0,17152.0,-166984.0,40748.0,27431.0,35737.0,97781.0,15731.0,-8365.0,42993.0,222882.0,72512.0,20737.0,55471.0,192307.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-1253.0,952.0,129753.0,4239.0,12731.0,26966.0,1267.0,12889.0,3725.0,5342.0,3630.0,-61620.0,18962.0,15564.0,11626.0,27119.0,16707.0,10075.0,28285.0,20224.0,-7282.0,8528.0,-1627.0,76392.0,21233.0,29947.0,19455.0,14210.0,19499.0,15231.0,14590.0,50794.0,16493.0,35616.0,32353.0,41590.0,23321.0,95477.0,-9872.0,43083.0,12199.0,40401.0,71368.0,-22151.0,96197.0,82062.0,-2396.0,25870.0,134640.0,23503.0,40920.0,-48017.0,82013.0,-66654.0,17152.0,-166984.0,40748.0,27431.0,35737.0,97781.0,15731.0,-8365.0,42993.0,222882.0,72512.0,20737.0,55471.0,192307.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-1263.0,491.0,102257.0,5017.0,10069.0,21808.0,835.0,9032.0,2576.0,3651.0,2415.0,-52456.0,14644.0,11545.0,8522.0,15837.0,13420.0,17348.0,18907.0,12334.0,6980.0,6413.0,6127.0,51134.0,17337.0,27120.0,15742.0,13403.0,16738.0,13923.0,11599.0,34060.0,20945.0,19532.0,25400.0,43055.0,18275.0,75244.0,-8898.0,28503.0,11048.0,31694.0,57869.0,-20371.0,78333.0,68759.0,-2660.0,15948.0,108932.0,16495.0,33139.0,-41184.0,65403.0,-56586.0,14220.0,-161837.0,34630.0,21021.0,29121.0,69174.0,13057.0,2700.0,34754.0,181320.0,58389.0,21137.0,45204.0,150655.0
Zysk netto akcjonariuszy jednostki dominującej,-1263.0,491.0,102257.0,5017.0,10069.0,21808.0,835.0,8322.0,2200.0,3356.0,2092.0,-52782.0,14328.0,11278.0,8285.0,15666.0,13257.0,17158.0,18719.0,12184.0,6842.0,6350.0,6328.0,51134.0,17337.0,27120.0,15742.0,13403.0,16738.0,13923.0,11599.0,34060.0,20945.0,19532.0,25400.0,43055.0,18275.0,75244.0,-8898.0,28503.0,11048.0,31694.0,57869.0,-20371.0,78333.0,68759.0,-2660.0,15948.0,108932.0,16495.0,33139.0,-41184.0,65403.0,-56586.0,14220.0,-161837.0,34630.0,21021.0,29121.0,69174.0,13057.0,2700.0,34754.0,181321.0,58398.0,21157.0,45318.0,150750.0
Aktywa trwałe,327515.0,374097.0,518314.0,562496.0,573135.0,591546.0,610925.0,657216.0,692883.0,679915.0,670419.0,438591.0,424848.0,440850.0,431735.0,473147.0,476655.0,482641.0,600212.0,637357.0,665509.0,687313.0,690763.0,783886.0,824652.0,893568.0,948888.0,1459758.0,1472829.0,1486587.0,1513327.0,1594368.0,1562137.0,1591509.0,1650692.0,1767528.0,1786986.0,1911811.0,1880609.0,1920925.0,1856924.0,1875259.0,1929880.0,1920718.0,1976577.0,2041399.0,2017923.0,2046472.0,1596046.0,1633599.0,1222696.0,1234709.0,1303708.0,1243789.0,1268067.0,1053680.0,1062424.0,1052770.0,690159.0,525450.0,535252.0,557195.0,609513.0,246685.0,246309.0,354378.0,429110.0,432208.0
Wartości niematerialne i prawne,83.0,84.0,122.0,447.0,1185.0,1251.0,1036.0,1016.0,943.0,885.0,821.0,754.0,731.0,666.0,573.0,523.0,468.0,432.0,379.0,342.0,286.0,231.0,240.0,347.0,325.0,302.0,288.0,372.0,341.0,322.0,309.0,291.0,271.0,254.0,246.0,267.0,246.0,245.0,256.0,434.0,407.0,405.0,440.0,452.0,448.0,455.0,410.0,382.0,425.0,380.0,345.0,334.0,329.0,341.0,376.0,404.0,377.0,435.0,554.0,433.0,493.0,491.0,527.0,1127.0,1634.0,3369.0,70512.0,71633.0
Rzeczowe składniki majątku trwałego,324930.0,371985.0,24592.0,68122.0,78636.0,95392.0,116225.0,127650.0,132864.0,5314.0,5012.0,1119.0,1012.0,990.0,849.0,763.0,1150.0,940.0,1050.0,1053.0,1038.0,1217.0,1178.0,1274.0,1205.0,1131.0,1417.0,4716.0,4680.0,4661.0,4703.0,4721.0,4648.0,4580.0,4718.0,5779.0,5608.0,5659.0,5473.0,5335.0,5262.0,5303.0,5881.0,5749.0,5629.0,5540.0,5725.0,5632.0,6281.0,6560.0,6106.0,5897.0,6456.0,6046.0,5614.0,4513.0,4497.0,4428.0,4482.0,5098.0,5174.0,4940.0,4833.0,5959.0,5563.0,6185.0,8438.0,10409.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1993.0,2206.0,2208.0,32081.0,32131.0,32057.0,32044.0,32089.0,32165.0,32108.0,2073.0,2086.0,2080.0,2088.0,6948.0,6883.0,6939.0,7000.0,7019.0,7065.0,7159.0,7118.0,7191.0,7105.0,5011.0,5028.0,11684.0,12314.0,12509.0,12697.0,12749.0,13531.0,13966.0,7738.0,8699.0,9487.0,8938.0,8969.0,9013.0,9695.0,15309.0,14222.0,2576.0,2605.0,2821.0,2727.0,9674.0,8991.0,6779.0,11710.0,11858.0
Inwestycje długoterminowe,24.0,24.0,493198.0,489373.0,489425.0,489442.0,489442.0,525806.0,556429.0,671298.0,662282.0,435182.0,421549.0,437646.0,428742.0,468393.0,471078.0,469731.0,584891.0,625669.0,616492.0,637746.0,636584.0,731515.0,772543.0,838221.0,892055.0,1434661.0,1446101.0,1458030.0,1484475.0,1565160.0,1528119.0,1567539.0,1626111.0,1734279.0,1754975.0,1886498.0,1852174.0,1896606.0,1835914.0,1854409.0,1910179.0,1890778.0,1952529.0,2017757.0,1987001.0,2015875.0,1568536.0,1603095.0,1196108.0,1184371.0,1257979.0,1191504.0,1213640.0,1016745.0,1028937.0,1004110.0,646453.0,506782.0,515440.0,522955.0,573403.0,213479.0,213472.0,208301.0,194995.0,303663.0
Pozostałe aktywa trwałe,2478.0,2004.0,402.0,4554.0,3889.0,5461.0,4222.0,2744.0,2647.0,2418.0,2304.0,1536.0,1556.0,1548.0,1571.0,3468.0,1953.0,9545.0,11686.0,8085.0,15612.0,15988.0,20704.0,18706.0,18490.0,21749.0,23020.0,17936.0,19621.0,21494.0,21752.0,17248.0,22216.0,12197.0,12617.0,20184.0,19092.0,12250.0,15588.0,11359.0,8236.0,10131.0,8352.0,12055.0,5657.0,5138.0,12090.0,11834.0,7273.0,9598.0,12399.0,35408.0,29457.0,36960.0,39468.0,23005.0,18918.0,28488.0,24448.0,10561.0,11540.0,25988.0,28023.0,16446.0,16649.0,129744.0,143455.0,34645.0
