,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Inne zobowiązania krótkoterminowe,,,,,,2475.0,,-44.95,,562.14,,-100.0,-100.0,-94.43,-98.32,,,1018.42,2478.95,-34.33
Rozliczenia międzyokresowe,,,,,161.68,192.45,2.91,29.24,-100.0,-100.0,-100.0,-100.0,,,,,,,,
Pasywa razem,,,,,72.01,75.1,144.51,252.12,344.72,341.88,184.45,74.9,71.09,82.7,89.02,32.25,4.01,-15.89,-7.51,6.6
Przepływy pieniężne z działalności operacyjnej,,,,,-239.2,1606.0,375.49,6900.0,-147.41,-159.36,8.87,-50.65,82.46,77.29,-825.95,166.64,355.98,-237.44,183.56,-200.67
Amortyzacja,,,,,,0.0,,200.0,200.0,1000.0,-133.33,33366.67,10400.0,4681.82,22200.0,-77.09,0.63,-5.32,-176.02,701.74
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,,94.74,54.33,152.94,-65.83,-222100.0,-4932.12,-9222.22,-131.76,66.56,70.66,14.01,-236.66,570.93
CAPEX (niematerialne i rzeczowe),,,,,,,,-47.37,,-66.67,245.45,22250.0,30271.43,13460.0,3794.74,-61.25,0.89,5.01,203.65,-489.38
Przepływy pieniężne z działalności finansowej,,,,,-100.0,,,479.33,,42.06,-207.65,14.9,17.94,30.92,365.71,-299.3,-100.0,-100.0,-99.7,100.8
Emisja akcji,,,,,-100.0,,,,,-42.2,-100.0,15.07,18.02,33.33,,-299.0,-100.0,-100.0,-100.0,100.0
Dywidenda,,,,,,,,,,,,,,,,,,,,
Przepływy pieniężne razem,,,,,-252.42,1803.0,1396.08,1347.99,486.05,-134.12,-202.82,-73.79,-185.26,-7.75,23.14,-169.66,34.87,-122.2,-16.42,57.38
