,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Koszty finansowe,494.0,856.0,428.0,453.0,150.0,561.0,106.0,4042.0,2447.0,2906.0,3993.0,4197.0,3179.0,3146.0,3712.0,3040.0,1411.0,1101.0,2358.0,2011.0,1790.0,1390.0,1924.0,1711.0,1325.0,1276.0,1403.0,2162.0,1013.0,1150.0,2266.0,828.0,1222.0,625.0,1011.0,971.0,1282.0,331.0,886.0,673.0,418.0,458.0,665.0,733.0,486.0,449.0,335.0,808.0,1243.0,733.0,1281.0,1374.0,2494.0,7274.0,2299.0,-1134.0,2323.0,1858.0,3715.0,5847.0,1710.0,2881.0,2041.0,5578.0,1107.0,585.0,1971.0,4299.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,46608.0,68094.0,81263.0,54397.0,86180.0,80325.0,94660.0,19630.0,51749.0,28347.0,6006.0,14651.0,14917.0,16666.0,10718.0,8788.0,-15041.0,23619.0,46074.0,48160.0,18216.0,19471.0,44006.0,31819.0,32554.0,1402.0,2028.0,33809.0,11661.0,2596.0,18555.0,36622.0,-6522.0,12961.0,12386.0,81788.0,6379.0,23172.0,20889.0,105460.0,-982.0,59030.0,32101.0,146083.0,22396.0,72797.0,28493.0,158956.0,104740.0,38438.0,68549.0,108755.0,48142.0,98328.0,72020.0,160137.0,216080.0,72263.0,65770.0,51372.0,177964.0,115109.0,30068.0,189479.0,200875.0,80968.0,47777.0,243635.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,46608.0,68094.0,81263.0,54397.0,86180.0,80325.0,94660.0,19630.0,51749.0,28347.0,6006.0,14651.0,14917.0,16666.0,10718.0,8788.0,-15041.0,23619.0,46074.0,48160.0,18216.0,19471.0,44006.0,31819.0,32554.0,1402.0,2028.0,33809.0,11661.0,2596.0,18555.0,36622.0,-6522.0,12961.0,12386.0,81788.0,6379.0,23172.0,20889.0,105460.0,-982.0,59030.0,32101.0,146083.0,22396.0,72797.0,28493.0,158956.0,104740.0,38438.0,68549.0,108755.0,48142.0,98328.0,72020.0,160137.0,216080.0,72263.0,65770.0,51372.0,177964.0,115109.0,30068.0,189479.0,200875.0,80968.0,47777.0,243635.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,37370.0,54734.0,65418.0,43122.0,69389.0,64478.0,76200.0,14202.0,41606.0,22618.0,4507.0,11475.0,11820.0,13229.0,8383.0,7048.0,-12252.0,18821.0,36556.0,38998.0,14581.0,15638.0,35522.0,25492.0,26310.0,1040.0,1114.0,26076.0,9242.0,1706.0,15257.0,29730.0,-5414.0,10550.0,9543.0,66113.0,5110.0,18411.0,16829.0,85433.0,-1009.0,48978.0,25987.0,116831.0,17512.0,58790.0,21897.0,128824.0,84262.0,31054.0,55016.0,85686.0,38536.0,79132.0,57560.0,127018.0,174481.0,58041.0,53224.0,39506.0,141781.0,94042.0,23776.0,150698.0,158766.0,63795.0,37701.0,199988.0
Zysk netto akcjonariuszy jednostki dominującej,37370.0,54734.0,65418.0,43122.0,69390.0,64480.0,76204.0,14203.0,41615.0,22617.0,4513.0,11462.0,11819.0,13186.0,8398.0,7012.0,-12241.0,19364.0,36568.0,38968.0,14576.0,15650.0,35537.0,25454.0,26323.0,1053.0,1126.0,25930.0,9253.0,1627.0,15267.0,29521.0,-5401.0,10553.0,9547.0,66026.0,5118.0,18415.0,16828.0,85289.0,-1008.0,48981.0,25988.0,116713.0,17515.0,58791.0,21899.0,128816.0,84263.0,31056.0,55017.0,85679.0,38537.0,79133.0,57561.0,127011.0,174482.0,58042.0,53670.0,40936.0,141738.0,94044.0,23778.0,150704.0,158767.0,63796.0,37709.0,199955.0
Aktywa trwałe,17838.0,26913.0,34389.0,21881.0,19610.0,23528.0,23570.0,20895.0,18227.0,18483.0,17271.0,9698.0,18237.0,10116.0,8937.0,22921.0,21345.0,22407.0,6945.0,7505.0,8255.0,8260.0,7962.0,8236.0,8531.0,8312.0,7864.0,7489.0,7890.0,9138.0,9121.0,13150.0,13320.0,14018.0,16919.0,18710.0,18540.0,19354.0,19290.0,20510.0,19872.0,27541.0,27039.0,30785.0,32896.0,31362.0,49277.0,49940.0,85494.0,87148.0,89491.0,68847.0,72938.0,69394.0,69645.0,70758.0,74501.0,77000.0,109760.0,110193.0,112372.0,136329.0,145129.0,175308.0,158872.0,167652.0,174288.0,156665.0
Wartości niematerialne i prawne,1063.0,932.0,818.0,707.0,580.0,658.0,496.0,1360.0,1176.0,1360.0,843.0,717.0,530.0,349.0,952.0,852.0,733.0,1080.0,896.0,1204.0,1130.0,996.0,954.0,1211.0,1334.0,1392.0,1258.0,1189.0,1372.0,1415.0,1692.0,2593.0,2861.0,3166.0,3412.0,3504.0,3543.0,3803.0,3964.0,3923.0,3647.0,11141.0,10791.0,10444.0,10365.0,10216.0,10468.0,10356.0,9582.0,9556.0,9826.0,14228.0,14564.0,14800.0,15403.0,17830.0,19351.0,19664.0,19423.0,20193.0,19628.0,19680.0,19626.0,20535.0,20445.0,20270.0,20155.0,20210.0
