,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Koszty finansowe,2666.0,2864.0,4302.0,2784.0,2407.0,2684.0,2832.0,3682.0,4868.0,4997.0,4766.0,6707.0,5045.0,6049.0,3111.0,15415.0,13463.0,-1401.0,-847.0,4485.0,9995.0,1166.0,6314.0,5806.0,5851.0,4835.0,11259.0,-3943.0,7939.0,6939.0,7210.0,7554.0,7868.0,7978.0,4805.0,5070.0,5892.0,5324.0,6566.0,11727.0,11745.0,11185.0,11295.0,14812.0,14362.0,17808.0,15875.0,17145.0,16831.0,15442.0,15083.0,13407.0,13872.0,22024.0,11941.0,12957.0,12266.0,12575.0,12080.0,12614.0,11775.0,11749.0,10560.0,10189.0,9872.0,10626.0,10092.0,13540.0,19011.0,18718.0,20064.0,17879.0,22282.0,22990.0,26267.0,29517.0,29985.0
Pozostałe przychody (koszty),-3.0,-3.0,1.0,-1.0,-9.0,-13.0,-407.0,-232.0,0.0,0.0,-4.0,-8.0,10.0,-33.0,6.0,-4.0,0.0,-23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11983.0,0.0,0.0,0.0,0.0,0.0,20204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,7086.0,2129.0,1410.0,1888.0,7079.0,-10889.0,4196.0,1437.0,13326.0,4527.0,19386.0,4423.0,13971.0,5851.0,13939.0,3551.0,30731.0,7746.0,16954.0,3754.0,13442.0,22392.0,9907.0,33973.0,17854.0,12004.0,7071.0,-1214.0,13596.0,-2407.0,-3880.0,7880.0,5409.0,-1702.0,-297.0,2066.0,5492.0,-1170.0,6965.0,22240.0,36412.0,12975.0,20556.0,21099.0,47883.0,-64059.0,-55124.0,-47032.0,5222.0,1212.0,-81627.0,7908.0,2701.0,-30485.0,30904.0,37573.0,43822.0,10731.0,36268.0,46058.0,60176.0,17432.0,20078.0,28646.0,43611.0,304310.0,48939.0,23192.0,136536.0,2301.0,-3187.0,64619.0,151494.0,57819.0,52559.0,68432.0,175415.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,7086.0,2129.0,1410.0,1888.0,7079.0,-10889.0,4196.0,1437.0,13326.0,4527.0,19386.0,4423.0,13971.0,5851.0,13939.0,3551.0,30731.0,7746.0,16954.0,3754.0,13442.0,22392.0,9907.0,33973.0,17854.0,12004.0,7071.0,-1214.0,13596.0,-2407.0,-3880.0,7880.0,5409.0,-1702.0,-297.0,2066.0,5492.0,-1170.0,6965.0,22240.0,36412.0,12975.0,20556.0,21099.0,47883.0,-64059.0,-55124.0,-47032.0,5222.0,1212.0,-81627.0,7908.0,2701.0,-30485.0,30904.0,37573.0,43822.0,10731.0,36268.0,46058.0,60176.0,17432.0,20078.0,28646.0,43611.0,304310.0,48939.0,23192.0,136536.0,2301.0,-3187.0,64619.0,151494.0,57819.0,52559.0,68432.0,175415.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41913.0,18375.0,57864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,5374.0,1927.0,1142.0,898.0,5497.0,-9137.0,4782.0,-623.0,10444.0,3607.0,15567.0,3488.0,11008.0,4502.0,15743.0,2256.0,24054.0,5931.0,13836.0,3103.0,10540.0,17746.0,6635.0,26748.0,14143.0,9477.0,5599.0,40554.0,25486.0,63019.0,-5573.0,10483.0,4997.0,-1464.0,740.0,1641.0,5671.0,360.0,9010.0,16214.0,26632.0,9374.0,16731.0,14647.0,36427.0,-61474.0,-49154.0,-37379.0,1583.0,-336.0,-85486.0,-3463.0,105.0,-37373.0,24021.0,16628.0,36987.0,8666.0,28938.0,34445.0,49898.0,14589.0,16065.0,29971.0,34239.0,245684.0,39042.0,18315.0,109634.0,1151.0,-2782.0,51915.0,120797.0,46490.0,41486.0,54814.0,140686.0
Zysk netto akcjonariuszy jednostki dominującej,5374.0,1927.0,1142.0,898.0,5497.0,-9137.0,4782.0,-593.0,10450.0,3626.0,15589.0,3530.0,11005.0,4564.0,15853.0,1898.0,24056.0,5916.0,13815.0,3079.0,10513.0,17723.0,6594.0,26733.0,14095.0,9452.0,5543.0,40543.0,25465.0,63002.0,-5599.0,10547.0,5017.0,-1467.0,751.0,1657.0,5707.0,391.0,9021.0,16226.0,26622.0,9367.0,16721.0,14660.0,36440.0,-61442.0,-49156.0,-37371.0,1584.0,-338.0,-85509.0,-3463.0,100.0,-37359.0,24016.0,16647.0,36990.0,8640.0,28929.0,34452.0,49890.0,14600.0,16074.0,29987.0,34241.0,245757.0,41803.0,15575.0,109634.0,1151.0,-2782.0,51915.0,120797.0,46490.0,41486.0,54814.0,140686.0
Aktywa trwałe,278117.0,271960.0,270644.0,294696.0,300507.0,318642.0,341418.0,348568.0,388461.0,377189.0,376529.0,358763.0,356963.0,370044.0,386256.0,460039.0,481510.0,480723.0,494912.0,497661.0,485193.0,502255.0,569681.0,577493.0,575987.0,618448.0,755616.0,781126.0,498127.0,495286.0,487503.0,481799.0,475770.0,468924.0,462714.0,559146.0,579227.0,617144.0,1853216.0,1968359.0,2043282.0,2198580.0,2300437.0,2447691.0,2480103.0,2417664.0,2350313.0,2270868.0,2242206.0,2192773.0,2077840.0,2049507.0,1829095.0,1933309.0,2040839.0,1877422.0,1899237.0,1904912.0,1897721.0,1881025.0,1881920.0,1881747.0,2053667.0,2229951.0,2351894.0,2526239.0,2771894.0,3333889.0,3777909.0,4304061.0,4455935.0,3946486.0,4067179.0,4126347.0,4317039.0,4410530.0,4978836.0
Wartości niematerialne i prawne,21.0,153.0,154.0,159.0,155.0,198.0,193.0,938.0,1065.0,1067.0,916.0,908.0,897.0,888.0,879.0,868.0,859.0,1855.0,1828.0,1921.0,1886.0,1870.0,1837.0,1805.0,1770.0,1735.0,1704.0,1751.0,1719.0,1733.0,1708.0,1726.0,1655.0,1633.0,1595.0,2337.0,2259.0,2182.0,244538.0,242045.0,239385.0,236786.0,234097.0,234088.0,231397.0,228847.0,226177.0,224093.0,222070.0,219387.0,217493.0,214759.0,137020.0,134237.0,131747.0,89079.0,86434.0,83791.0,81152.0,78894.0,76257.0,74371.0,73925.0,74312.0,73970.0,73720.0,73177.0,75521.0,145766.0,162586.0,160458.0,169123.0,168231.0,167551.0,166727.0,167173.0,166927.0
