,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Koszty finansowe,4617.0,1881.0,2349.0,5991.0,2650.0,1230.0,2009.0,1853.0,1865.0,1818.0,2049.0,2302.0,2516.0,6190.0,2911.0,4613.0,2979.0,2425.0,2183.0,2071.0,1721.0,1792.0,2175.0,4459.0,4329.0,4033.0,4170.0,4034.0,3466.0,3325.0,3424.0,3725.0,3362.0,3298.0,1787.0,2749.0,1984.0,2069.0,1846.0,1573.0,1699.0,845.0,958.0,1662.0,6982.0,929.0,1421.0,9339.0,1380.0,1199.0,1019.0,7241.0,870.0,1232.0,1095.0,5727.0,4997.0,5488.0,13026.0,4676.0,33159.0,-3165.0,11591.0,20111.0,11158.0,-691.0,7230.0,4495.0,13861.0,12171.0,30481.0,-2616.0,10540.0,11753.0,12074.0,11544.0,10415.0
Pozostałe przychody (koszty),-94.0,-18.0,-30.0,380.0,66.0,11.0,-109.0,91.0,-1.0,7.0,0.0,0.0,-223.0,-479.0,-435.0,-496.0,-170.0,-253.0,-326.0,-263.0,-290.0,-106.0,-427.0,-157.0,-197.0,203.0,-71.0,76.0,49.0,-103.0,-178.0,-100.0,81.0,-362.0,21.0,37.0,-326.0,-490.0,-1393.0,-678.0,-665.0,447.0,-768.0,114.0,-296.0,245.0,-95.0,-1323.0,-2033.0,-1624.0,-1390.0,320.0,-464.0,-251.0,139.0,-196.0,213.0,2538.0,-312.0,2277.0,-165.0,-276.0,5283.0,2589.0,2159.0,2045.0,2109.0,3048.0,1175.0,2914.0,1401.0,3046.0,-3254.0,47337.0,-293.0,5010.0,82.0
Zysk z działalności gospodarczej,53033.0,58116.0,32264.0,10697.0,4628.0,10550.0,8938.0,22147.0,20886.0,42504.0,33036.0,32896.0,25759.0,29180.0,18065.0,-25119.0,6289.0,14740.0,13009.0,20330.0,18811.0,25519.0,14435.0,29110.0,9534.0,26892.0,7528.0,11061.0,-113.0,977.0,-9787.0,-1222.0,-1101.0,1977.0,-11459.0,15455.0,-9805.0,-297.0,-9017.0,1194.0,1441.0,4543.0,-5733.0,16554.0,-2658.0,-1296.0,-10659.0,14808.0,981.0,4669.0,-622.0,-80244.0,12498.0,3298.0,-4408.0,9500.0,-3678.0,-7094.0,-1851.0,26697.0,-52518.0,-46776.0,-10533.0,-42873.0,-58480.0,-13441.0,-4777.0,26746.0,-34890.0,-14009.0,-28245.0,-26511.0,32738.0,20959.0,-18283.0,66203.0,6075.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,53033.0,58116.0,32264.0,10697.0,4628.0,10550.0,8938.0,22147.0,20886.0,42504.0,33036.0,32896.0,25759.0,29180.0,18065.0,-25119.0,6289.0,14740.0,13009.0,20330.0,18811.0,25519.0,14435.0,29110.0,9534.0,26892.0,7528.0,11061.0,-113.0,977.0,-9787.0,-1222.0,-1101.0,1977.0,-11459.0,15455.0,-9805.0,-297.0,-9017.0,1194.0,1441.0,4543.0,-5733.0,16554.0,-2658.0,-1296.0,-10659.0,14808.0,981.0,4669.0,-622.0,-80244.0,12498.0,3298.0,-4408.0,9500.0,-3678.0,-7094.0,-1851.0,26697.0,-52518.0,-46776.0,-10533.0,-42873.0,-58480.0,-13441.0,-4777.0,26746.0,-34890.0,-14009.0,-28245.0,-26511.0,32738.0,20959.0,-18283.0,66203.0,6075.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,43425.0,48434.0,25333.0,8421.0,508.0,8675.0,7383.0,15436.0,14099.0,33148.0,26407.0,26527.0,18467.0,21603.0,13848.0,-30616.0,972.0,11846.0,9596.0,14893.0,21758.0,20136.0,11692.0,18283.0,7110.0,21530.0,5497.0,9652.0,-1027.0,726.0,-8369.0,565.0,-1416.0,603.0,-10227.0,12219.0,-8948.0,-1518.0,-10220.0,9660.0,1260.0,3550.0,-6778.0,17287.0,-5614.0,-5503.0,-13762.0,11695.0,-6123.0,729.0,-1651.0,-72248.0,9717.0,165.0,-2758.0,2255.0,-3393.0,-6588.0,-3117.0,19104.0,-47089.0,-41107.0,-8979.0,-33064.0,-59420.0,-9840.0,-1506.0,24124.0,-33100.0,-17599.0,-24459.0,-30505.0,34726.0,12523.0,-13191.0,50942.0,3795.0
Zysk netto akcjonariuszy jednostki dominującej,43250.0,49302.0,25608.0,8553.0,836.0,8797.0,7723.0,15267.0,14272.0,32847.0,26716.0,26429.0,18660.0,21548.0,13907.0,-30694.0,1083.0,12268.0,10061.0,14918.0,21670.0,20254.0,11959.0,18011.0,6128.0,21713.0,5440.0,8890.0,-1477.0,1315.0,-8730.0,-143.0,-1472.0,1269.0,-9729.0,10392.0,-9612.0,-1019.0,-10114.0,8171.0,-228.0,3841.0,-6656.0,15752.0,-7200.0,-5068.0,-14533.0,10164.0,-8174.0,334.0,-2235.0,-73466.0,8176.0,335.0,-3688.0,265.0,-5049.0,-6219.0,-2901.0,17707.0,-42728.0,-38588.0,-7063.0,-28814.0,-56280.0,-9214.0,-1183.0,22109.0,-31804.0,-15958.0,-23490.0,-31406.0,32564.0,6958.0,-14197.0,40042.0,-635.0
Aktywa trwałe,1030266.0,1016681.0,1010237.0,1001186.0,989416.0,983164.0,984210.0,975251.0,965046.0,960961.0,953017.0,953065.0,936647.0,1064387.0,1074162.0,1065819.0,1054914.0,1045030.0,1034127.0,1023508.0,1011416.0,993251.0,1207026.0,1203414.0,1200278.0,1196351.0,1193093.0,1203299.0,1194981.0,1206201.0,1215312.0,1209283.0,1183370.0,1174876.0,1173005.0,1203987.0,1215210.0,1201115.0,1185176.0,1142802.0,1138013.0,1123499.0,1146518.0,1162356.0,1155386.0,1154519.0,1151968.0,1139452.0,1115123.0,1094461.0,1080276.0,991311.0,990376.0,976595.0,990018.0,981298.0,1596795.0,1604585.0,1646131.0,1664541.0,1640173.0,1623732.0,1641952.0,1683598.0,1673393.0,1649230.0,1625796.0,1587395.0,1575406.0,1569051.0,1531703.0,1496287.0,1762107.0,1733817.0,1726329.0,1680307.0,1662255.0
Wartości niematerialne i prawne,253246.0,253968.0,253840.0,284165.0,277505.0,277109.0,282735.0,284165.0,283489.0,288879.0,288501.0,289871.0,292524.0,412357.0,413135.0,396986.0,396599.0,397462.0,396576.0,394166.0,394302.0,391872.0,429102.0,427337.0,427192.0,425591.0,424174.0,419236.0,417273.0,415456.0,413832.0,422061.0,411854.0,410046.0,410210.0,417216.0,416421.0,415101.0,413929.0,399656.0,404790.0,412210.0,427213.0,448064.0,469010.0,466025.0,468607.0,462781.0,460820.0,462405.0,464007.0,437942.0,434704.0,433617.0,430959.0,420680.0,418241.0,418439.0,438839.0,441047.0,426048.0,424667.0,421313.0,422900.0,418257.0,413859.0,409123.0,410192.0,406774.0,406603.0,405701.0,365517.0,699908.0,696646.0,694357.0,697748.0,684076.0
