,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Koszty finansowe,1.0,41.0,93.0,164.0,80.0,95.0,114.0,162.0,76.0,105.0,68.0,104.0,108.0,-75.0,94.0,5.0,25.0,33.0,288.0,-28.0,214.0,-73.0,88.0,39.0,28.0,11.0,1.0,-25.0,7.0,-6.0,2.0,6.0,89.0,-77.0,3.0,-5.0,170.0,40.0,-168.0,154.0,308.0,213.0,585.0,462.0,251.0,752.0,-142.0,1.0,409.0,457.0,645.0,338.0,1319.0,226.0,484.0,1102.0,433.0,87.0,352.0,337.0,523.0,443.0,766.0,301.0,541.0,351.0,650.0,352.0,337.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,847.0,3338.0,2199.0,8948.0,8641.0,5088.0,4920.0,11098.0,7519.0,5236.0,6138.0,9152.0,9579.0,7345.0,8419.0,12298.0,11886.0,7421.0,6862.0,10863.0,8464.0,5804.0,7746.0,11046.0,8306.0,6032.0,7373.0,11803.0,9550.0,6689.0,7568.0,11718.0,10077.0,8354.0,10165.0,13001.0,12862.0,11094.0,13884.0,14639.0,16621.0,11753.0,12736.0,20884.0,17871.0,17669.0,17266.0,23323.0,18671.0,17058.0,19043.0,31951.0,18386.0,18930.0,18906.0,33383.0,19939.0,20389.0,22217.0,31080.0,20631.0,20419.0,24685.0,33681.0,23863.0,23358.0,29478.0,33280.0,27006.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,847.0,3338.0,2199.0,8948.0,8641.0,5088.0,4920.0,11098.0,7519.0,5236.0,6138.0,9152.0,9579.0,7345.0,8419.0,12298.0,11886.0,7421.0,6862.0,10863.0,8464.0,5804.0,7746.0,11046.0,8306.0,6032.0,7373.0,11803.0,9550.0,6689.0,7568.0,11718.0,10077.0,8354.0,10165.0,13001.0,12862.0,11094.0,13884.0,14639.0,16621.0,11753.0,12736.0,20884.0,17871.0,17669.0,17266.0,23323.0,18671.0,17058.0,19043.0,31951.0,18386.0,18930.0,18906.0,33383.0,19939.0,20389.0,22217.0,31080.0,20631.0,20419.0,24685.0,33681.0,23863.0,23358.0,29478.0,33280.0,27006.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,847.0,2777.0,2199.0,8126.0,7806.0,3295.0,3947.0,9074.0,6042.0,4159.0,4926.0,7300.0,7728.0,5884.0,6778.0,9702.0,9588.0,5934.0,5604.0,8708.0,6816.0,4640.0,6215.0,8861.0,6717.0,4820.0,5876.0,9415.0,7696.0,5365.0,6092.0,9418.0,8126.0,6720.0,8180.0,10483.0,10381.0,8924.0,11179.0,11962.0,13404.0,9501.0,10212.0,17021.0,14722.0,14503.0,14232.0,19112.0,15425.0,14064.0,15684.0,28266.0,15512.0,15714.0,15750.0,29430.0,16354.0,16606.0,18751.0,28937.0,17594.0,17192.0,21328.0,29172.0,20325.0,19464.0,25759.0,29482.0,24033.0
Zysk netto akcjonariuszy jednostki dominującej,847.0,2777.0,2199.0,7387.0,6996.0,3073.0,3947.0,9074.0,6042.0,4159.0,4926.0,7300.0,7728.0,5884.0,6778.0,9702.0,9588.0,5934.0,5604.0,8708.0,6816.0,4640.0,6215.0,8861.0,6717.0,4820.0,5876.0,9415.0,7696.0,5365.0,6092.0,9418.0,8126.0,6720.0,8180.0,10483.0,10381.0,8924.0,11179.0,11962.0,13404.0,9501.0,10212.0,17010.0,14722.0,14503.0,14232.0,19112.0,15425.0,14064.0,15684.0,28266.0,15512.0,15714.0,15750.0,29430.0,16354.0,16606.0,18751.0,28937.0,17594.0,17192.0,21328.0,29172.0,20325.0,19464.0,25759.0,29482.0,24033.0
Aktywa trwałe,35083.0,94170.0,95151.0,151368.0,152199.0,202409.0,202552.0,202301.0,200894.0,201680.0,200545.0,200957.0,200973.0,198144.0,199312.0,198144.0,196727.0,196318.0,196600.0,198623.0,196957.0,197122.0,195753.0,196223.0,195158.0,194487.0,193877.0,194515.0,194593.0,195197.0,194419.0,194069.0,193193.0,193631.0,192527.0,194329.0,194365.0,194531.0,194946.0,195877.0,194569.0,294895.0,293548.0,302700.0,302038.0,303181.0,301573.0,300778.0,338236.0,337211.0,345574.0,343548.0,344199.0,340000.0,340599.0,348832.0,369824.0,368432.0,367724.0,365986.0,371042.0,371023.0,369756.0,373941.0,377094.0,383114.0,380975.0,383654.0,387001.0
Wartości niematerialne i prawne,264.0,82935.0,83857.0,131618.0,132641.0,181226.0,182854.0,181286.0,181629.0,181635.0,181682.0,181782.0,181091.0,180493.0,180741.0,180902.0,180992.0,181125.0,181812.0,182556.0,182827.0,183091.0,183507.0,183704.0,183422.0,183229.0,182985.0,182845.0,183130.0,182969.0,182301.0,181598.0,181539.0,181539.0,181295.0,181655.0,181574.0,181590.0,181423.0,181466.0,181471.0,271984.0,272376.0,279689.0,279535.0,278971.0,278083.0,277429.0,276803.0,276582.0,276137.0,276091.0,276084.0,276470.0,276576.0,277095.0,278049.0,278957.0,279698.0,280162.0,281670.0,283157.0,284317.0,285661.0,287200.0,288591.0,289537.0,289909.0,291302.0
