,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Koszty finansowe,1747.0,6759.0,-2918.0,487.0,1827.0,1295.0,3886.0,1956.0,1894.0,1113.0,940.0,1744.0,2581.0,4690.0,-1020.0,791.0,2246.0,1544.0,1946.0,4810.0,3665.0,3839.0,2715.0,3161.0,5639.0,6065.0,-1096.0,5967.0,8100.0,1685.0,2932.0,1698.0,2145.0,5020.0,-805.0,2257.0,265.0,1861.0,2554.0,95.0,7326.0,5518.0,2173.0,-2276.0,1702.0,189.0,1242.0,603.0,2118.0,1186.0,3859.0,-6272.0,216.0,0.0,3123.0,0.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3478.0,-31208.0,-4162.0,34892.0,-11216.0,-9222.0,-5027.0,-261151.0,-3874.0,-103400.0,-7793.0,-50472.0,-5111.0,-8884.0,-7471.0,-19068.0,-5037.0,-4509.0,50783.0,63621.0,27029.0,-29151.0,-480.0,56020.0,-1776.0,-802.0,-3382.0,8433.0,-7755.0,5128.0,4051.0,16935.0,11791.0,2188.0,-4092.0,-27022.0,1137.0,34426.0,33547.0,-7277.0,790.0,-2303.0,2691.0,22684.0,21662.0,-1382.0,3149.0,8354.0,6676.0,-38756.0,16300.0,33370.0,1489.0,-1762.0,15348.0,-496.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3478.0,-31208.0,-4162.0,34892.0,-11216.0,-9222.0,-5027.0,-261151.0,-3874.0,-103400.0,-7793.0,-50472.0,-5111.0,-8884.0,-7471.0,-19068.0,-5037.0,-4509.0,50783.0,63621.0,27029.0,-29151.0,-480.0,56020.0,-1776.0,-802.0,-3382.0,8433.0,-7755.0,5128.0,4051.0,16935.0,11791.0,2188.0,-4092.0,-27022.0,1137.0,34426.0,33547.0,-7277.0,790.0,-2303.0,2691.0,22684.0,21662.0,-1382.0,3149.0,8354.0,6676.0,-38756.0,16300.0,33370.0,1489.0,-1762.0,15348.0,-496.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25220.0,-1691.0,-280.0,1971.0,0.0
Zysk netto,17207.0,49767.0,-15394.0,30267.0,-12565.0,-10162.0,-4281.0,-259190.0,-2606.0,-102367.0,-7173.0,-50698.0,-5588.0,-11422.0,-6585.0,-19466.0,-5315.0,-4162.0,53128.0,59389.0,28716.0,-29564.0,-859.0,48055.0,-2102.0,-1566.0,-3168.0,2980.0,-6755.0,2785.0,3021.0,3187.0,10755.0,7776.0,-4270.0,-16128.0,2254.0,35980.0,28382.0,-6616.0,-451.0,-11485.0,2653.0,25590.0,21115.0,-1185.0,2544.0,8699.0,6152.0,-32619.0,15646.0,-2469.0,6136.0,-2066.0,17242.0,-497.0
Zysk netto akcjonariuszy jednostki dominującej,17207.0,49767.0,-15394.0,30267.0,-12565.0,-10162.0,-4281.0,-259190.0,-2606.0,-102367.0,-7173.0,-50698.0,-5588.0,-11422.0,-6585.0,-19466.0,-5315.0,-4162.0,52948.0,59569.0,28716.0,-29564.0,-859.0,48055.0,-2102.0,-1566.0,-3168.0,2980.0,-6755.0,2785.0,3021.0,3187.0,10741.0,7686.0,-4166.0,-16128.0,2254.0,35980.0,28575.0,-6809.0,-451.0,-11485.0,2653.0,25590.0,21115.0,-1185.0,2544.0,8699.0,6152.0,-32619.0,15646.0,-2469.0,6136.0,-2066.0,17242.0,-497.0
Aktywa trwałe,0.0,0.0,0.0,813579.0,817137.0,815203.0,839740.0,560844.0,555225.0,424042.0,422447.0,439174.0,445015.0,431996.0,428589.0,447304.0,448148.0,447940.0,510134.0,585907.0,622682.0,606073.0,608480.0,667182.0,667670.0,603734.0,597121.0,592502.0,561633.0,566710.0,579796.0,536455.0,506239.0,512388.0,495703.0,256574.0,246066.0,134987.0,142397.0,132856.0,139409.0,141446.0,192476.0,193314.0,198964.0,180585.0,180815.0,181654.0,172895.0,49424.0,25606.0,5658.0,5324.0,3772.0,0.0,0.0
Wartości niematerialne i prawne,0.0,0.0,0.0,49825.0,50409.0,49833.0,55302.0,23062.0,21661.0,5.0,69.0,137.0,128.0,121.0,114.0,108.0,114.0,107.0,99.0,92.0,84.0,76.0,68.0,60.0,53.0,45.0,37.0,30.0,22.0,15.0,8.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,1067.0,1055.0,1020.0,1043.0,1032.0,1109.0,992.0,1322.0,978.0,956.0,918.0,885.0,853.0,867.0,821.0,852.0,914.0,933.0,932.0,962.0,964.0,909.0,874.0,864.0,829.0,804.0,812.0,758.0,734.0,672.0,615.0,563.0,512.0,462.0,427.0,411.0,364.0,322.0,282.0,245.0,212.0,193.0,152.0,126.0,103.0,81.0,60.0,42.0,0.0,0.0,0.0,0.0,0.0
Należności długoterminowe,0.0,0.0,0.0,553.0,593.0,40.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,236.0,3166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,402.0,365.0,368.0,370.0,6.0,931.0,856.0,888.0,547.0,550.0,385.0,257.0,263.0,263.0,263.0,0.0,263.0,263.0,561.0,576.0,570.0,494.0,421.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,754250.0,756171.0,755191.0,771096.0,534441.0,530631.0,421113.0,418956.0,438016.0,443549.0,430721.0,424424.0,445983.0,443635.0,446577.0,508915.0,584816.0,620907.0,604292.0,605888.0,665606.0,666250.0,602049.0,595370.0,591278.0,560439.0,565513.0,579024.0,534787.0,504709.0,510883.0,494592.0,255512.0,245219.0,134303.0,141723.0,132229.0,138824.0,141164.0,191968.0,192839.0,198210.0,179857.0,180119.0,181057.0,172393.0,49358.0,25558.0,5658.0,5304.0,3772.0,0.0,0.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,7884.0,8909.0,9119.0,12254.0,2264.0,1824.0,1932.0,2100.0,43.0,382.0,0.0,0.0,360.0,3532.0,435.0,268.0,85.0,758.0,773.0,1562.0,552.0,458.0,416.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0
Aktywa obrotowe,0.0,0.0,0.0,138178.0,127882.0,119977.0,97180.0,116764.0,121667.0,147028.0,143705.0,82677.0,76823.0,70161.0,64368.0,27619.0,26848.0,24422.0,43072.0,35149.0,61581.0,53020.0,46100.0,44295.0,43243.0,119121.0,109594.0,123473.0,191125.0,211694.0,161808.0,224545.0,237334.0,90832.0,101463.0,326194.0,290643.0,428650.0,387161.0,393729.0,378897.0,280111.0,237922.0,279032.0,264570.0,252779.0,86678.0,93668.0,109028.0,200600.0,160881.0,109868.0,52242.0,39525.0,537.0,70.0
Zapasy,0.0,0.0,0.0,76300.0,73103.0,70695.0,53839.0,66283.0,71367.0,68955.0,78301.0,15496.0,13222.0,11932.0,11668.0,7773.0,7695.0,7656.0,7666.0,6525.0,23635.0,6472.0,6522.0,5296.0,5292.0,5386.0,5375.0,5468.0,22136.0,22381.0,5382.0,5421.0,2976.0,2930.0,2911.0,2915.0,2937.0,2876.0,2859.0,3594.0,3547.0,3547.0,3486.0,3601.0,3549.0,3297.0,3297.0,3887.0,3858.0,3803.0,3793.0,6631.0,3820.0,795.0,0.0,0.0
