,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Koszty finansowe,195.0,1006.0,37.0,144.0,1.0,13.0,8.0,229.0,187.0,1829.0,376.0,-462.0,533.0,930.0,684.0,47.0,363.0,847.0,1672.0,1229.0,193.0,257.0,147.0,82.0,59.0,19.0,519.0,-552.0,2005.0,2710.0,6039.0,253.0,1674.0,-1264.0,1713.0,-1847.0,864.0,1571.0,736.0,1220.0,378.0,114.0,-313.0,-49.0,371.0,447.0,-106.0,-125.0,107.0,4658.0,3748.0,696.0,16209.0,9426.0,-7265.0,4948.0,10219.0,13003.0,14291.0,18150.0,10461.0,19509.0,-19177.0,38400.0
Pozostałe przychody (koszty),-77.0,-22.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,204.0,-247.0,-1770.0,3092.0,-305.0,-1722.0,606.0,-904.0,-885.0,2221.0,-5891.0,3577.0,4521.0,18482.0,5604.0,-1378.0,248.0,13933.0,5613.0,8493.0,3306.0,4313.0,5245.0,4326.0,1831.0,4483.0,-3689.0,6715.0,-4624.0,288642.0,52183.0,85384.0,40178.0,127338.0,45930.0,98492.0,56835.0,89436.0,44432.0,56702.0,29157.0,37433.0,20153.0,36290.0,22736.0,41639.0,19025.0,105762.0,100958.0,59891.0,27792.0,976308.0,37051.0,78814.0,16402.0,86841.0,91893.0,61723.0,112025.0,127544.0,79850.0,40877.0,229637.0,188128.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,204.0,-247.0,-1770.0,3092.0,-305.0,-1722.0,606.0,-904.0,-885.0,2221.0,-5891.0,3577.0,4521.0,18482.0,5604.0,-1378.0,248.0,13933.0,5613.0,8493.0,3306.0,4313.0,5245.0,4326.0,1831.0,4483.0,-3689.0,6715.0,-4624.0,288642.0,52183.0,85384.0,40178.0,127338.0,45930.0,98492.0,56835.0,89436.0,44432.0,56702.0,29157.0,37433.0,20153.0,36290.0,22736.0,41639.0,19025.0,105762.0,100958.0,59891.0,27792.0,976308.0,37051.0,78814.0,16402.0,86841.0,91893.0,61723.0,112025.0,127544.0,79850.0,40877.0,229637.0,188128.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,204.0,-247.0,-1770.0,3092.0,-305.0,-1722.0,606.0,-904.0,-885.0,1367.0,-5944.0,2011.0,4131.0,16318.0,4773.0,-1260.0,469.0,13341.0,5776.0,8539.0,4071.0,3640.0,4427.0,2713.0,1386.0,3234.0,-3463.0,3522.0,-5216.0,241468.0,40409.0,65769.0,32562.0,102120.0,36551.0,79281.0,45259.0,73390.0,35731.0,45890.0,22892.0,29538.0,15487.0,41417.0,17797.0,33883.0,14755.0,108880.0,91979.0,54778.0,23382.0,984188.0,32487.0,72561.0,16342.0,87518.0,68918.0,44828.0,98716.0,134631.0,69400.0,21871.0,198710.0,191124.0
Zysk netto akcjonariuszy jednostki dominującej,204.0,-247.0,-1770.0,3092.0,-305.0,-1722.0,606.0,-904.0,-885.0,1367.0,-5944.0,2011.0,4131.0,16318.0,4773.0,-1260.0,469.0,13341.0,5776.0,8539.0,4071.0,3640.0,4427.0,2762.0,1498.0,3043.0,-2918.0,3589.0,-5216.0,241468.0,40409.0,65769.0,32562.0,102120.0,36551.0,79281.0,45259.0,73390.0,35731.0,45890.0,22892.0,29538.0,15487.0,41417.0,17797.0,33883.0,14755.0,108880.0,91979.0,54778.0,23382.0,984188.0,32487.0,72561.0,16342.0,87518.0,68918.0,44828.0,98716.0,134631.0,69400.0,21871.0,198710.0,191124.0
Aktywa trwałe,7397.0,7243.0,7065.0,6939.0,6826.0,6647.0,6554.0,32866.0,32684.0,91568.0,90502.0,89630.0,89842.0,90064.0,90026.0,90762.0,90751.0,93229.0,92224.0,94202.0,94448.0,94679.0,95412.0,95047.0,95586.0,91910.0,94490.0,93254.0,94930.0,106670.0,104568.0,119187.0,117156.0,140220.0,153381.0,170644.0,188377.0,209672.0,232351.0,255535.0,279405.0,326072.0,358309.0,388309.0,427104.0,454783.0,502645.0,679097.0,727765.0,825268.0,867584.0,764178.0,904556.0,945128.0,931541.0,905846.0,940816.0,1039127.0,1092237.0,1119978.0,1212645.0,1296676.0,1274924.0,1450623.0
Wartości niematerialne i prawne,69.0,59.0,72.0,61.0,52.0,45.0,39.0,33.0,27.0,80113.0,79812.0,79651.0,79787.0,79637.0,79715.0,79925.0,79720.0,80975.0,81009.0,81218.0,81297.0,81432.0,81662.0,82820.0,83714.0,84876.0,86887.0,86019.0,87720.0,87961.0,88506.0,94274.0,93211.0,126745.0,139527.0,155540.0,171744.0,191010.0,209706.0,235756.0,258079.0,305436.0,334737.0,349464.0,370665.0,399788.0,441210.0,502049.0,551755.0,601818.0,640774.0,523026.0,504397.0,495300.0,492507.0,465026.0,491665.0,560257.0,575858.0,598797.0,673408.0,722798.0,701363.0,653678.0
