,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kapitał własny akcjonariuszy jednostki dominującej,-75293.0,-29126.0,28509.0,35372.0,-360836.0,748242.0,761860.0,845536.0,917962.0,987795.0,1019146.0,1178781.0,1059632.0,1132397.0,1174631.0,671828.0,696731.0
Kapitał (fundusz) podstawowy,8.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,4.0,4.0
Udziały (akcje) własne,-139011.0,0.0,0.0,-131414.0,-127763.0,-174479.0,-167263.0,-122610.0,-81013.0,-80133.0,-119858.0,-134502.0,-92182.0,-79703.0,-75561.0,-75696.0,-65526.0
Kapitał (fundusz) zapasowy,52123.0,0.0,0.0,54512.0,55677.0,1367215.0,1310298.0,1325486.0,1306601.0,1347271.0,1410360.0,1542190.0,1343698.0,1301038.0,1240140.0,659742.0,591682.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,190439.0,0.0,0.0,289131.0,687859.0,18910.0,17766.0,15958.0,52707.0,51164.0,49303.0,48696.0,43912.0,41006.0,35218.0,32843.0,28399.0
Z tytułu dostaw i usług,41596.0,0.0,0.0,99111.0,142056.0,148138.0,222425.0,223943.0,213909.0,138056.0,127034.0,109359.0,106973.0,116154.0,75906.0,86201.0,67414.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,4546.0,0.0,0.0,5107.0,10445.0,9534.0,9813.0,8628.0,17357.0,17289.0,17908.0,19466.0,17673.0,18032.0,17137.0,16950.0,14937.0
Inne zobowiązania długoterminowe,184090.0,0.0,0.0,260667.0,664248.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,722.0,717.0,1499.0,1538.0,1472.0
Zobowiązania krótkoterminowe,86569.0,0.0,0.0,164134.0,206039.0,180859.0,256333.0,253963.0,247112.0,178457.0,170644.0,151997.0,156766.0,162200.0,131961.0,143230.0,130449.0
Inne zobowiązania krótkoterminowe,40427.0,0.0,0.0,59916.0,53538.0,23187.0,24095.0,21392.0,15846.0,23112.0,25703.0,23172.0,32120.0,28014.0,38918.0,40079.0,48098.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,201715.0,-29126.0,28509.0,488637.0,533061.0,948010.0,1035959.0,1115457.0,1217781.0,1217417.0,1239093.0,1379474.0,1260310.0,1335604.0,1341811.0,847901.0,855579.0
Przepływy pieniężne z działalności operacyjnej,21594.0,67573.0,105442.0,61949.0,54200.0,-32887.0,32254.0,74879.0,43941.0,83197.0,28527.0,78307.0,127128.0,72550.0,84157.0,88373.0,97608.0
Amortyzacja,2058.0,2347.0,2599.0,2486.0,5517.0,4503.0,7641.0,9362.0,10276.0,10994.0,11583.0,14325.0,13091.0,10682.0,9030.0,9303.0,8822.0
Przepływy pieniężne z działalności inwestycyjnej,-828.0,-2293.0,-6126.0,-5833.0,-6979.0,-2238.0,-43409.0,-6863.0,-9172.0,-107291.0,-4729.0,-26074.0,-2505.0,6178.0,4883.0,2399.0,3723.0
CAPEX (niematerialne i rzeczowe),1398.0,2571.0,1903.0,1863.0,6979.0,2238.0,7276.0,44832.0,9131.0,107291.0,5011.0,27833.0,6589.0,3280.0,3113.0,2993.0,2408.0
Przepływy pieniężne z działalności finansowej,-76121.0,38041.0,-2337.0,-30652.0,-2526.0,391285.0,-1780.0,-2399.0,-3820.0,314.0,-73029.0,-23949.0,-3499.0,-4070.0,-4259.0,-663963.0,-4285.0
Emisja akcji,38.0,0.0,0.0,38005.0,-6002.0,606761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,-55355.0,103321.0,96979.0,25464.0,44695.0,356160.0,-12936.0,65617.0,30949.0,-23781.0,-49231.0,28283.0,121124.0,74658.0,84781.0,-573191.0,97045.0
