,0,1,2,3,4,5,6,7,8,9,10,11,12
Inne zobowiązania krótkoterminowe,590.0,45.0,26.0,18.0,1886.0,69.0,27.0,163.0,48.0,63.0,66.0,76.0,26.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,6668.0,7294.0,8597.0,21610.0,25462.0,25587.0,26454.0,27340.0,31718.0,32182.0,33020.0,35792.0,39890.0
Przepływy pieniężne z działalności operacyjnej,4255.0,2064.0,1397.0,3779.0,2411.0,1654.0,619.0,1047.0,4270.0,903.0,1304.0,2131.0,1390.0
Amortyzacja,0.0,0.0,0.0,6.0,6.0,6.0,6.0,8.0,393.0,584.0,585.0,584.0,607.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-73.0,-6976.0,-45.0,-2303.0,-6.0,-755.0,-343.0,-2659.0,-210.0,-176.0,-153.0,-2694.0
CAPEX (niematerialne i rzeczowe),0.0,73.0,6973.0,46.0,2302.0,5.0,159.0,343.0,2659.0,110.0,76.0,56.0,2993.0
Przepływy pieniężne z działalności finansowej,0.0,0.0,0.0,9327.0,-18.0,0.0,0.0,-120.0,0.0,0.0,0.0,1.0,0.0
Emisja akcji,0.0,0.0,0.0,9327.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Przepływy pieniężne razem,4255.0,1991.0,-5579.0,13061.0,90.0,1648.0,-136.0,584.0,1611.0,693.0,1128.0,1979.0,-1304.0
