,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,83.0,111.0,42.0,179.0,47.0,52.0,23.0,51.0,42.0,134.0,109.0,145.0,86.0,103.0,98.0,124.0,1320.0,206.0,136.0,-657.0,136.0,191.0,170.0,396.0,484.0,643.0,599.0,1452.0,979.0,1899.0,1737.0,2067.0,1396.0,3489.0,1566.0,4816.0,2045.0,5276.0,2009.0,1621.0,2111.0,2218.0,2423.0,1690.0,1527.0,4032.0,743.0,2161.0,1717.0,1736.0,1589.0,1626.0,1624.0,2051.0,1129.0,1368.0,1441.0,1218.0,1332.0,1005.0,1558.0,881.0,1029.0,1094.0,1025.0,902.0,774.0,436.0,258.0,419.0,719.0,516.0,583.0,666.0,765.0,608.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,104.0,-661.0,-280.0,-625.0,-381.0,-24.0,820.0,-1921.0,-48.0,496.0,-457.0,219.0,-24.0,2015.0,-619.0,431.0,-722.0,5023.0,1032.0,9323.0,1569.0,980.0,2356.0,17794.0,-2436.0,414.0,-3689.0,25695.0,-1544.0,-334.0,-2349.0,9679.0,-845.0,-7146.0,-775.0,-10493.0,-3900.0,-14453.0,-8641.0,-3550.0,-2058.0,-2260.0,2670.0,2772.0,-825.0,-4355.0,1236.0,7547.0,3664.0,64.0,-1223.0,-1367.0,282.0,-491.0,-835.0,-3168.0,6288.0,575.0,-686.0,-4583.0,5596.0,-2466.0,1437.0,1509.0,19787.0,14531.0,5583.0,3429.0,4228.0,6480.0,-979.0,8835.0,1500.0,277.0,8879.0,6788.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,104.0,-661.0,-280.0,-625.0,-381.0,-24.0,820.0,-1921.0,-48.0,496.0,-457.0,219.0,-24.0,2015.0,-619.0,431.0,-722.0,5023.0,1032.0,9323.0,1569.0,980.0,2356.0,17794.0,-2436.0,414.0,-3689.0,25695.0,-1544.0,-334.0,-2349.0,9679.0,-845.0,-7146.0,-775.0,-10493.0,-3900.0,-14453.0,-8641.0,-3550.0,-2058.0,-2260.0,2670.0,2772.0,-825.0,-4355.0,1236.0,7547.0,3664.0,64.0,-1223.0,-1367.0,282.0,-491.0,-835.0,-3168.0,6288.0,575.0,-686.0,-4583.0,5596.0,-2466.0,1437.0,1509.0,19787.0,14531.0,5583.0,3429.0,4228.0,6480.0,-979.0,8835.0,1500.0,277.0,8879.0,6788.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.0,230.0,39.0,-14.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,104.0,-661.0,-280.0,-786.0,-381.0,4.0,1121.0,-1921.0,-82.0,285.0,-374.0,202.0,-21.0,1692.0,-388.0,153.0,-730.0,4195.0,769.0,7499.0,927.0,881.0,1624.0,16609.0,-2391.0,184.0,-3690.0,23909.0,-1739.0,-114.0,-2321.0,9182.0,-1010.0,-6616.0,-1058.0,-10556.0,-4378.0,-14392.0,-8786.0,-3389.0,-2215.0,-2337.0,2536.0,2092.0,-1193.0,-4486.0,1118.0,7411.0,3450.0,-47.0,-1308.0,-971.0,263.0,-479.0,-943.0,-3177.0,6181.0,12.0,-826.0,-4482.0,5498.0,-2962.0,1411.0,1132.0,15222.0,14000.0,4730.0,2372.0,3445.0,5486.0,-954.0,8108.0,1484.0,224.0,7549.0,7095.0
Zysk netto akcjonariuszy jednostki dominującej,104.0,-661.0,-280.0,-786.0,-381.0,4.0,1121.0,-1921.0,-81.0,289.0,-467.0,254.0,-21.0,1603.0,-281.0,149.0,-728.0,5196.0,-230.0,7503.0,927.0,881.0,1624.0,16603.0,-2391.0,118.0,-3685.0,23970.0,-1739.0,-114.0,-2321.0,9182.0,-1010.0,-6616.0,-1058.0,-10556.0,-4378.0,-14359.0,-8752.0,-3383.0,-2215.0,-2311.0,2548.0,2101.0,-1187.0,-4492.0,977.0,7409.0,3452.0,-44.0,-1308.0,-971.0,263.0,-479.0,-943.0,-3177.0,6181.0,12.0,-826.0,-4482.0,5498.0,-2962.0,1411.0,1132.0,15222.0,14000.0,4730.0,2372.0,3445.0,5486.0,-954.0,8108.0,1484.0,224.0,7549.0,7095.0
Aktywa trwałe,6978.0,6840.0,6840.0,6204.0,6049.0,5253.0,4806.0,3172.0,14153.0,13959.0,14121.0,14284.0,14269.0,14387.0,14379.0,14124.0,28874.0,28810.0,28814.0,34732.0,34941.0,35931.0,40906.0,80938.0,81252.0,88755.0,95314.0,105673.0,111492.0,170155.0,175619.0,166502.0,168107.0,168774.0,172532.0,128256.0,124114.0,116328.0,112024.0,105553.0,101948.0,101896.0,103003.0,104267.0,103582.0,102486.0,103047.0,98088.0,97836.0,97869.0,97478.0,87940.0,87844.0,88056.0,82494.0,81399.0,81533.0,82478.0,82263.0,79798.0,79954.0,77104.0,73271.0,71678.0,71548.0,63394.0,61683.0,59964.0,59353.0,60530.0,59158.0,56852.0,57282.0,56582.0,56117.0,49562.0
Wartości niematerialne i prawne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10520.0,10521.0,10519.0,10517.0,10516.0,10514.0,10513.0,10511.0,24405.0,24358.0,24355.0,24762.0,24347.0,24368.0,24366.0,21705.0,21733.0,21760.0,21749.0,24401.0,24400.0,24401.0,24378.0,10590.0,10573.0,10671.0,10799.0,947.0,1911.0,2689.0,717.0,5103.0,6120.0,6697.0,8038.0,8919.0,8740.0,8517.0,8302.0,2815.0,2803.0,2790.0,2761.0,2748.0,2736.0,2724.0,2670.0,2364.0,1939.0,2354.0,2350.0,36.0,32.0,29.0,25.0,19.0,11.0,106.0,89.0,73.0,60.0,136.0,123.0,21.0,9.0,0.0,0.0,0.0
