,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Koszty finansowe,60.0,102.0,57.0,799.0,86.0,54.0,136.0,407.0,345.0,167.0,191.0,409.0,119.0,-45.0,39.0,764.0,144.0,176.0,-10.0,567.0,0.0,239.0,637.0,35.0,1194.0,739.0,-222.0,-1247.0,0.0,71.0,0.0,30.0,1.0,370.0,-118.0,-46.0,127.0,83.0,131.0,510.0,318.0,44.0,-265.0,-93.0,1.0,0.0,0.0,48.0,1.0,84.0,301.0,-109.0,153.0,287.0,7.0,152.0,151.0,67.0,399.0,301.0,197.0,1530.0,209.0,-527.0,68.0,287.0,556.0,219.0,229.0,98.0,95.0,144.0,251.0,30.0,374.0,464.0,282.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,31.0,244.0,0.0,25.0,-41.0,116.0,4.0,-73.0,-54.0,75.0,1.0,5.0,4015.0,-3954.0,0.0,1.0,-144.0,122.0,0.0,-637.0,-730.0,0.0,-289.0,-129.0,-200.0,83.0,-513.0,576.0,73.0,121.0,-44.0,175.0,96.0,-12.0,56.0,78.0,-8.0,-541.0,17.0,17.0,-152.0,-1147.0,22.0,-24.0,0.0,2.0,0.0,0.0,0.0,-1242.0,0.0,0.0,0.0,-144.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,5102.0,5072.0,6490.0,11294.0,7980.0,11157.0,26839.0,8547.0,8864.0,2325.0,6126.0,10564.0,8282.0,2644.0,8325.0,11970.0,8814.0,2739.0,9837.0,18533.0,15068.0,8226.0,12768.0,23091.0,18491.0,9002.0,22265.0,20424.0,23592.0,10742.0,20865.0,27511.0,27580.0,15360.0,24005.0,32859.0,27585.0,13261.0,25205.0,42632.0,34700.0,16515.0,25778.0,38001.0,32413.0,9990.0,27300.0,35576.0,32292.0,10766.0,25436.0,36067.0,32547.0,5481.0,23863.0,33969.0,21395.0,2134.0,22408.0,27105.0,17184.0,-520.0,22527.0,32354.0,16625.0,-2313.0,16057.0,25836.0,8008.0,2401.0,9318.0,26162.0,19947.0,11721.0,22267.0,34496.0,24129.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5102.0,5072.0,6490.0,11294.0,7980.0,11157.0,26839.0,8547.0,8864.0,2325.0,6126.0,10564.0,8282.0,2644.0,8325.0,11970.0,8814.0,2739.0,9837.0,18533.0,15068.0,8226.0,12768.0,23091.0,18491.0,9002.0,22265.0,20424.0,23592.0,10742.0,20865.0,27511.0,27580.0,15360.0,24005.0,32859.0,27585.0,13261.0,25205.0,42632.0,34700.0,16515.0,25778.0,38001.0,32413.0,9990.0,27300.0,35576.0,32292.0,10766.0,25436.0,36067.0,32547.0,5481.0,23863.0,33969.0,21395.0,2134.0,22408.0,27105.0,17184.0,-520.0,22527.0,32354.0,16625.0,-2313.0,16057.0,25836.0,8008.0,2401.0,9318.0,26162.0,19947.0,11721.0,22267.0,34496.0,24129.0
Zysk (strata) netto z działalności zaniechanej,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,4023.0,4822.0,5060.0,9064.0,6335.0,9016.0,21718.0,7115.0,7098.0,1839.0,4917.0,8524.0,6664.0,2217.0,6552.0,9620.0,7071.0,2384.0,7648.0,14948.0,12203.0,6672.0,10215.0,18649.0,14979.0,7110.0,14756.0,19812.0,18992.0,8638.0,16898.0,22140.0,22393.0,12307.0,19475.0,26235.0,22582.0,10519.0,20328.0,33750.0,27882.0,13231.0,20944.0,30811.0,26182.0,7982.0,22107.0,28815.0,25315.0,9561.0,47773.0,30673.0,26164.0,4287.0,19125.0,27680.0,17186.0,1580.0,18309.0,21535.0,13728.0,-493.0,17854.0,26171.0,13326.0,-1845.0,12858.0,18887.0,6524.0,1833.0,7277.0,21342.0,16014.0,9405.0,17846.0,28819.0,19341.0
Zysk netto akcjonariuszy jednostki dominującej,4023.0,4822.0,5060.0,9064.0,6335.0,9016.0,21718.0,7115.0,7098.0,1839.0,4917.0,8524.0,6664.0,2217.0,6552.0,9620.0,7071.0,2384.0,7648.0,14948.0,12203.0,6672.0,10215.0,18649.0,14979.0,7110.0,14756.0,19812.0,18992.0,8638.0,16898.0,22140.0,22393.0,12307.0,19475.0,26235.0,22582.0,10519.0,20328.0,33750.0,27882.0,13231.0,20944.0,30811.0,26182.0,7982.0,22107.0,28815.0,25315.0,9561.0,47773.0,30673.0,26164.0,4287.0,19125.0,27680.0,17186.0,1580.0,18309.0,21535.0,13728.0,-493.0,17854.0,26171.0,13326.0,-1845.0,12858.0,18887.0,6524.0,1833.0,7277.0,21342.0,16014.0,9405.0,17846.0,28819.0,19341.0
Aktywa trwałe,45198.0,53709.0,65949.0,92218.0,97611.0,106300.0,120125.0,123630.0,124599.0,125917.0,129947.0,131414.0,137411.0,134878.0,135613.0,143515.0,142145.0,139717.0,137683.0,135462.0,134511.0,138732.0,148522.0,152260.0,157004.0,165521.0,174739.0,191265.0,195433.0,195931.0,195484.0,193846.0,194261.0,188910.0,199352.0,203746.0,204330.0,204378.0,206619.0,213156.0,217839.0,233471.0,237678.0,258268.0,277408.0,310974.0,327966.0,349883.0,390230.0,375307.0,413582.0,412263.0,412474.0,408389.0,405709.0,400787.0,410202.0,407706.0,409848.0,405377.0,402826.0,394775.0,397041.0,385964.0,381063.0,375858.0,374932.0,367372.0,367476.0,362922.0,365307.0,360207.0,356082.0,351032.0,347727.0,342297.0,338606.0
Wartości niematerialne i prawne,419.0,334.0,396.0,338.0,294.0,295.0,263.0,394.0,388.0,376.0,345.0,2507.0,3602.0,3636.0,3476.0,3369.0,3239.0,3127.0,3070.0,3055.0,3012.0,3030.0,3020.0,3284.0,3186.0,3147.0,3066.0,3079.0,3101.0,3052.0,2960.0,2905.0,2823.0,2829.0,2755.0,2720.0,2673.0,2680.0,2635.0,2774.0,2948.0,2916.0,2885.0,3025.0,2980.0,3078.0,2999.0,2978.0,2904.0,2906.0,2883.0,3143.0,3012.0,2920.0,3158.0,3008.0,3054.0,4673.0,4595.0,4498.0,4609.0,4534.0,4430.0,4561.0,4551.0,2874.0,2896.0,2860.0,2910.0,2855.0,2802.0,2922.0,2911.0,2920.0,2883.0,2851.0,2831.0
