,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Koszty finansowe,178.0,3086.0,2431.0,-723.0,1095.0,2116.0,2524.0,3247.0,1784.0,4747.0,5132.0,11695.0,7082.0,9040.0,9421.0,53041.0,7355.0,5177.0,54567.0,-22029.0,4278.0,3749.0,2246.0,7389.0,4079.0,3077.0,2059.0,6444.0,1010.0,4236.0,2246.0,442.0,1133.0,1572.0,1308.0,2297.0,1170.0,1583.0,2144.0,7406.0,2173.0,1887.0,1983.0,2105.0,1682.0,1445.0,3050.0,4231.0,2032.0,3904.0,4508.0,5427.0,2894.0,2456.0,3338.0,3785.0,1639.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2433.0,-178.0,1193.0,0.0,-83.0,497.0,-9.0,-17791.0,-25213.0,40745.0,-133607.0,-30656.0,5922.0,13191.0,-41426.0,-7676.0,1071.0,-9582.0,-22618.0,-1484.0,-1875.0,-4718.0,-23527.0,-106.0,2033.0,-5943.0,-2869.0,-2049.0,1781.0,-9108.0,-33754.0,-13456.0,7308.0,-28858.0,28444.0,655.0,47346.0,363.0,-2042.0,5062.0,-2152.0,-89.0,2923.0,2864.0,2912.0,-6686.0,14221.0,-941.0
Zysk z działalności gospodarczej,-678.0,5401.0,22569.0,2899.0,3068.0,48612.0,-1417.0,30121.0,5686.0,21680.0,7093.0,3592.0,6078.0,34529.0,6405.0,-131061.0,-22555.0,-34754.0,-25181.0,-94140.0,-37103.0,22237.0,25563.0,-21756.0,-6627.0,14795.0,386.0,7489.0,915.0,10329.0,14688.0,-21598.0,7558.0,-4560.0,4594.0,-6613.0,13290.0,7542.0,18112.0,-14321.0,-12523.0,13156.0,17327.0,-12343.0,2984.0,49271.0,14301.0,12127.0,7700.0,-4411.0,-3774.0,-7822.0,6552.0,-1996.0,1293.0,-9794.0,3829.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-678.0,5401.0,22569.0,2899.0,3068.0,48612.0,-1417.0,30121.0,5686.0,21680.0,7093.0,3592.0,6078.0,34529.0,6405.0,-131061.0,-22555.0,-34754.0,-25181.0,-94140.0,-37103.0,22237.0,25563.0,-21756.0,-6627.0,14795.0,386.0,7489.0,915.0,10329.0,14688.0,-21598.0,7558.0,-4560.0,4594.0,-6613.0,13290.0,7542.0,18112.0,-14321.0,-12523.0,13156.0,17327.0,-12343.0,2984.0,49271.0,14301.0,12127.0,7700.0,-4411.0,-3774.0,-7822.0,6552.0,-1996.0,1293.0,-9794.0,3829.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-684.0,5397.0,22566.0,2905.0,3066.0,48606.0,-1459.0,30996.0,5596.0,21924.0,6963.0,3735.0,5922.0,31964.0,1040.0,-121646.0,-23410.0,-33941.0,-25178.0,-93807.0,-37107.0,22229.0,25563.0,-18862.0,-6635.0,14795.0,374.0,7790.0,900.0,10322.0,14684.0,-21372.0,7517.0,-4564.0,4594.0,-6606.0,13286.0,7534.0,18112.0,-14367.0,-12523.0,13156.0,17327.0,-13136.0,2984.0,49255.0,14301.0,12123.0,7700.0,-4411.0,-3774.0,-7822.0,6560.0,-2004.0,1293.0,-9826.0,3829.0
Zysk netto akcjonariuszy jednostki dominującej,-1091.0,5411.0,22493.0,3388.0,1753.0,49751.0,-1300.0,30203.0,5446.0,20016.0,7999.0,-6391.0,3855.0,25787.0,2142.0,-124122.0,-21353.0,-28794.0,-27308.0,-89041.0,-31804.0,9558.0,16585.0,-4123.0,-4033.0,12681.0,-856.0,8451.0,1369.0,9881.0,11986.0,-20668.0,4435.0,-3332.0,6627.0,-7155.0,13301.0,9345.0,14800.0,-13983.0,-12125.0,13912.0,21111.0,-12455.0,1920.0,42329.0,15399.0,10438.0,7700.0,-4411.0,-3774.0,-7232.0,6573.0,-1979.0,1263.0,-9546.0,3829.0
Aktywa trwałe,30317.0,35012.0,31540.0,32149.0,37401.0,93104.0,123999.0,248537.0,224460.0,271531.0,318150.0,338913.0,356945.0,395486.0,427257.0,449689.0,307191.0,279785.0,283416.0,248478.0,185368.0,231095.0,229960.0,171789.0,153544.0,172598.0,170530.0,186785.0,178419.0,166356.0,161998.0,144495.0,150826.0,164530.0,147200.0,153215.0,154872.0,162109.0,187008.0,206166.0,188977.0,190245.0,177564.0,165745.0,176840.0,180297.0,196742.0,184917.0,176768.0,188897.0,166545.0,76891.0,73997.0,71319.0,74932.0,62433.0,63016.0
Wartości niematerialne i prawne,16115.0,19091.0,16439.0,16557.0,21211.0,65353.0,77562.0,70139.0,55969.0,67370.0,83480.0,85354.0,87543.0,89068.0,82018.0,59806.0,42985.0,38762.0,36966.0,22983.0,15616.0,16131.0,9235.0,2224.0,1823.0,1883.0,1550.0,138.0,134.0,104.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,13484.0,15072.0,14373.0,14859.0,15551.0,27187.0,45838.0,173136.0,164111.0,180600.0,220553.0,237085.0,247831.0,255683.0,255228.0,272065.0,197973.0,176679.0,170615.0,141179.0,102396.0,120528.0,106697.0,87775.0,78710.0,88307.0,81215.0,79712.0,75324.0,72712.0,71402.0,63001.0,64936.0,71155.0,62280.0,67584.0,68205.0,67686.0,78964.0,79209.0,67851.0,71886.0,69380.0,61202.0,62057.0,60924.0,64627.0,64383.0,61055.0,64812.0,56849.0,51453.0,49258.0,47485.0,50802.0,45064.0,45961.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7811.0,0.0,0.0,0.0,4830.0,3391.0,4836.0,4681.0,3916.0,3744.0,3558.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19077.0,8063.0,5753.0,6228.0,18084.0,15592.0,45373.0,16280.0,12564.0,12586.0,1999.0,1346.0,1611.0,24170.0,7627.0,5981.0,7495.0,7384.0,6411.0,7161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0,9390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe aktywa trwałe,718.0,849.0,728.0,732.0,638.0,564.0,599.0,5263.0,4379.0,4483.0,6054.0,10722.0,15343.0,32651.0,74420.0,72445.0,49952.0,51780.0,63249.0,74507.0,66010.0,92825.0,89858.0,69334.0,63640.0,70077.0,75701.0,96609.0,92056.0,89983.0,86959.0,81494.0,85890.0,93375.0,84920.0,85631.0,86667.0,94423.0,108044.0,126957.0,121126.0,118359.0,108184.0,104544.0,114783.0,110073.0,122725.0,120533.0,115714.0,124085.0,109696.0,25438.0,24739.0,23835.0,24129.0,17369.0,17055.0
Aktywa obrotowe,44091.0,80588.0,65576.0,45896.0,63287.0,175137.0,192757.0,168157.0,162346.0,265794.0,290005.0,292680.0,339552.0,482802.0,433400.0,264957.0,189662.0,188997.0,166735.0,72248.0,86506.0,56381.0,71899.0,79056.0,59855.0,82460.0,64188.0,58130.0,59301.0,75058.0,86061.0,61006.0,60440.0,78066.0,99828.0,84244.0,80939.0,111724.0,115792.0,85395.0,105270.0,100988.0,97434.0,70853.0,76821.0,86602.0,98359.0,105134.0,110539.0,118235.0,117354.0,77296.0,72752.0,72063.0,82762.0,62567.0,68987.0
