,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Koszty finansowe,10051.0,-3040.0,51027.0,-41839.0,8411.0,2361.0,7658.0,5744.0,4616.0,12915.0,4849.0,14939.0,5997.0,7154.0,6100.0,12451.0,4290.0,5480.0,4471.0,7240.0,12221.0,12725.0,4268.0,7257.0,13952.0,8183.0,12379.0,10263.0,8578.0,13684.0,8864.0,9597.0,7815.0,7309.0,5594.0,7538.0,6801.0,9598.0,12601.0,12688.0,8192.0,4741.0,9635.0,8967.0,10001.0,8475.0,8069.0,8112.0,11207.0,9263.0,9462.0,10839.0,10328.0,10050.0,9016.0,10724.0,10990.0,10050.0,12256.0,17653.0,13186.0,12322.0,11297.0,14580.0,11058.0,11072.0,12749.0,11360.0,10332.0,10907.0,12021.0,12329.0,15024.0,13427.0,12247.0,14170.0,14769.0
Pozostałe przychody (koszty),9030.0,946.0,29790.0,13751.0,-8556.0,-11592.0,14777.0,30260.0,186.0,128.0,286.0,1019.0,746.0,471.0,445.0,1277.0,-543.0,149.0,983.0,1092.0,-808.0,-1416.0,-782.0,-130.0,-677.0,-1669.0,176.0,-367.0,11.0,3554.0,6792.0,-16478.0,-950.0,-567.0,-1111.0,-1649.0,-1744.0,-1818.0,-1341.0,-949.0,-2125.0,-943.0,197.0,-556.0,-1206.0,682.0,-257.0,-1491.0,-2482.0,-1168.0,915.0,-1464.0,-2835.0,-838.0,2456.0,-578.0,458.0,4302.0,17.0,8.0,20.0,22.0,31.0,72.0,46.0,21.0,29.0,-29.0,8.0,36.0,-13.0,104.0,14.0,193.0,32.0,66.0,3.0
Zysk z działalności gospodarczej,823.0,1619.0,-3206.0,8078.0,1892.0,5032.0,2290.0,2963.0,1494.0,-3923.0,7751.0,8261.0,20260.0,40000.0,37494.0,28064.0,51036.0,50195.0,64695.0,58258.0,65703.0,90451.0,99727.0,75871.0,57769.0,90390.0,92507.0,85913.0,48389.0,10198.0,75714.0,68327.0,43117.0,44096.0,54653.0,189405.0,54376.0,55814.0,62071.0,70358.0,47833.0,86766.0,68686.0,93516.0,66141.0,116803.0,130554.0,197907.0,106863.0,136826.0,176814.0,159929.0,80899.0,82462.0,140647.0,99380.0,45280.0,62664.0,105321.0,119092.0,28214.0,124374.0,197842.0,271610.0,54738.0,204860.0,129639.0,165259.0,62590.0,199494.0,204339.0,182511.0,143070.0,213604.0,235722.0,337216.0,155108.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,823.0,1619.0,-3206.0,8078.0,1892.0,5032.0,2290.0,2963.0,1494.0,-3923.0,7751.0,8261.0,20260.0,40000.0,37494.0,28064.0,51036.0,50195.0,64695.0,58258.0,65703.0,90451.0,99727.0,75871.0,57769.0,90390.0,92507.0,85913.0,48389.0,10198.0,75714.0,68327.0,43117.0,44096.0,54653.0,189405.0,54376.0,55814.0,62071.0,70358.0,47833.0,86766.0,68686.0,93516.0,66141.0,116803.0,130554.0,197907.0,106863.0,136826.0,176814.0,159929.0,80899.0,82462.0,140647.0,99380.0,45280.0,62664.0,105321.0,119092.0,28214.0,124374.0,197842.0,271610.0,54738.0,204860.0,129639.0,165259.0,62590.0,199494.0,204339.0,182511.0,143070.0,213604.0,235722.0,337216.0,155108.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25032.0,495476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,41.0,-517.0,1359.0,292.0,872.0,1899.0,354.0,851.0,-1603.0,-3168.0,1187.0,17710.0,16159.0,28149.0,28761.0,20630.0,40123.0,35337.0,54220.0,43978.0,53343.0,73212.0,80759.0,60095.0,46652.0,73138.0,74101.0,66983.0,37064.0,-14977.0,54552.0,109343.0,34984.0,32867.0,43671.0,189778.0,43099.0,44341.0,48588.0,57910.0,37683.0,69382.0,54654.0,74801.0,51917.0,94601.0,105075.0,158883.0,85253.0,109528.0,142429.0,127384.0,83343.0,44745.0,102732.0,74664.0,28810.0,43723.0,66505.0,89813.0,23962.0,90529.0,150169.0,206734.0,71424.0,657528.0,104483.0,153019.0,59456.0,149194.0,159588.0,179891.0,109935.0,170846.0,178745.0,286539.0,121583.0
Zysk netto akcjonariuszy jednostki dominującej,166.0,18.0,1371.0,475.0,923.0,1771.0,265.0,935.0,-1197.0,-3046.0,1403.0,17907.0,16159.0,28149.0,28761.0,20630.0,40123.0,35337.0,54220.0,43978.0,53343.0,73212.0,80759.0,60095.0,46652.0,73138.0,74101.0,66983.0,37064.0,-14977.0,54552.0,109343.0,34966.0,32835.0,43182.0,189497.0,42753.0,44159.0,47891.0,57170.0,37339.0,69256.0,54560.0,74691.0,51542.0,94525.0,105024.0,158760.0,85158.0,109480.0,142401.0,127369.0,63320.0,64727.0,102660.0,74717.0,28538.0,43566.0,65032.0,88878.0,22059.0,88515.0,146487.0,202404.0,67515.0,653690.0,101087.0,149311.0,56375.0,144863.0,157345.0,175860.0,106298.0,168373.0,175701.0,287824.0,119148.0
Aktywa trwałe,440272.0,401492.0,371648.0,343394.0,353252.0,353896.0,358057.0,352220.0,358157.0,454880.0,471742.0,475571.0,468347.0,477871.0,480496.0,462940.0,454440.0,447388.0,480243.0,517881.0,501034.0,524876.0,550583.0,632851.0,602730.0,592974.0,574987.0,869789.0,852845.0,683380.0,643906.0,559807.0,567799.0,569538.0,578371.0,622230.0,624166.0,621706.0,653034.0,677496.0,679534.0,714608.0,751852.0,821207.0,828294.0,846411.0,868229.0,856936.0,877483.0,898487.0,925100.0,927334.0,932496.0,938466.0,980222.0,988641.0,1037587.0,969084.0,1360063.0,1434542.0,1473086.0,1482517.0,1523789.0,1536267.0,1528831.0,1545952.0,1608663.0,1672413.0,1746771.0,1726960.0,1724553.0,1818134.0,1824564.0,1807860.0,1863775.0,2001776.0,2019955.0
Wartości niematerialne i prawne,86758.0,85788.0,85048.0,83901.0,84023.0,83538.0,82821.0,82167.0,81586.0,79825.0,79229.0,78395.0,77731.0,77055.0,76699.0,77595.0,77565.0,77390.0,77070.0,76767.0,76382.0,76336.0,76381.0,76671.0,76603.0,76892.0,76963.0,196148.0,194999.0,92969.0,92838.0,76229.0,77467.0,77681.0,77626.0,77343.0,77844.0,77808.0,77731.0,77731.0,77519.0,77450.0,77123.0,77237.0,77743.0,77770.0,95852.0,103163.0,102150.0,101362.0,101614.0,103400.0,102143.0,100953.0,99872.0,101626.0,100494.0,99302.0,292719.0,337330.0,335435.0,334059.0,331026.0,330538.0,326195.0,322681.0,320276.0,319087.0,336555.0,329687.0,327168.0,323292.0,319343.0,322970.0,319509.0,309310.0,304703.0
