,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Zysk z działalności gospodarczej,2843.0,1673.0,383.0,1261.0,747.0,5347.0,-1289.0,3127.0,6080.0,7414.0,215.0,-641.0,1961.0,10163.0,-1897.0,199.0,4493.0,10436.0,-2965.0,4954.0,3267.0,7950.0,-378.0,-1456.0,1426.0,18051.0,27.0,-799.0,5483.0,10427.0,1451.0,257.0,-1049.0,17766.0,-2364.0,3850.0,2594.0,46754.0,-1893.0,1219.0,-1858.0,1497.0,-3698.0,4150.0,-4947.0,6841.0,4568.0,3377.0,2845.0,-1253.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,2843.0,1673.0,383.0,1261.0,747.0,5347.0,-1289.0,3127.0,6080.0,7414.0,215.0,-641.0,1961.0,10163.0,-1897.0,199.0,4493.0,10436.0,-2965.0,4954.0,3267.0,7950.0,-378.0,-1456.0,1426.0,18051.0,27.0,-799.0,5483.0,10427.0,1451.0,257.0,-1049.0,17766.0,-2364.0,3850.0,2594.0,46754.0,-1893.0,1219.0,-1858.0,1497.0,-3698.0,4150.0,-4947.0,6841.0,4568.0,3377.0,2845.0,-1253.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2284.0,1334.0,272.0,942.0,580.0,4449.0,-1378.0,2557.0,4884.0,5758.0,13.0,-677.0,1305.0,8220.0,-1501.0,89.0,3564.0,8075.0,-2550.0,3959.0,2455.0,6287.0,-108.0,-1553.0,1085.0,14737.0,-32.0,-1179.0,4335.0,8811.0,1228.0,-213.0,-1020.0,13093.0,-2109.0,3268.0,1973.0,35845.0,-1606.0,200.0,-1514.0,1704.0,-3025.0,3321.0,-4051.0,5567.0,3567.0,2800.0,2305.0,-1243.0
Zysk netto akcjonariuszy jednostki dominującej,2284.0,1334.0,272.0,942.0,517.0,4180.0,-1307.0,2618.0,4630.0,5350.0,54.0,-710.0,1412.0,7520.0,-1459.0,-190.0,3702.0,8197.0,-2250.0,3659.0,2831.0,6353.0,17.0,-1812.0,952.0,13576.0,-123.0,-901.0,4363.0,7333.0,1228.0,-386.0,-1400.0,12691.0,-1817.0,3096.0,1811.0,35141.0,-1880.0,51.0,-1771.0,1324.0,-3262.0,3370.0,-4114.0,5323.0,3096.0,2318.0,2130.0,2094.0
Aktywa trwałe,20036.0,23257.0,28515.0,53618.0,52915.0,51425.0,51523.0,50436.0,51575.0,54260.0,54743.0,56949.0,56805.0,56066.0,56822.0,56815.0,56734.0,60788.0,61476.0,65717.0,65920.0,76262.0,78116.0,77864.0,78077.0,88592.0,85656.0,83348.0,81106.0,82086.0,101383.0,101946.0,99565.0,80084.0,81563.0,81120.0,79445.0,67200.0,68814.0,67528.0,65112.0,60927.0,61227.0,59927.0,61122.0,55381.0,57494.0,57243.0,59239.0,64695.0
Wartości niematerialne i prawne,2585.0,2805.0,3141.0,25140.0,24704.0,24395.0,24229.0,24279.0,23992.0,24595.0,26506.0,27481.0,27585.0,29043.0,29007.0,30763.0,31018.0,32457.0,33795.0,34887.0,35206.0,36694.0,37007.0,37664.0,38871.0,39310.0,39363.0,39251.0,39258.0,39776.0,41020.0,41354.0,41908.0,26945.0,27023.0,27304.0,27169.0,17072.0,20029.0,20651.0,20939.0,21403.0,21633.0,22021.0,22446.0,22717.0,22245.0,23384.0,24366.0,25578.0
Rzeczowe składniki majątku trwałego,16530.0,18829.0,23142.0,27741.0,27892.0,26459.0,26476.0,25948.0,25464.0,25853.0,25568.0,26990.0,27339.0,25762.0,24742.0,24382.0,24203.0,23909.0,23568.0,24055.0,23410.0,22692.0,22621.0,22521.0,23301.0,23046.0,23245.0,23580.0,23904.0,24967.0,23043.0,46059.0,44095.0,41411.0,40372.0,41043.0,39399.0,28950.0,29296.0,29623.0,28660.0,27468.0,26608.0,25739.0,24799.0,24112.0,24358.0,23394.0,22995.0,23480.0
Należności długoterminowe,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6406.0,6003.0,5523.0,5119.0,3009.0,4297.0,4782.0,6603.0,2619.0,250.0,250.0,277.0,237.0
Inwestycje długoterminowe,80.0,80.0,80.0,80.0,80.0,80.0,80.0,91.0,1949.0,2377.0,731.0,428.0,428.0,428.0,1348.0,131.0,129.0,1575.0,136.0,138.0,138.0,138.0,138.0,1015.0,1014.0,878.0,878.0,772.0,645.0,537.0,537.0,423.0,423.0,305.0,305.0,262.0,119.0,44.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1159.0,1286.0
Pozostałe aktywa trwałe,804.0,1543.0,2152.0,657.0,239.0,491.0,738.0,118.0,170.0,1435.0,1938.0,2050.0,1453.0,833.0,1725.0,1539.0,1384.0,2847.0,3977.0,6637.0,7166.0,16738.0,18350.0,16664.0,14891.0,25358.0,22170.0,19745.0,17299.0,16806.0,36783.0,14110.0,13139.0,11423.0,13863.0,12511.0,12758.0,14728.0,13406.0,11651.0,10314.0,9047.0,8689.0,7385.0,7274.0,5933.0,10641.0,10015.0,10442.0,14114.0
Aktywa obrotowe,61048.0,93001.0,55428.0,79279.0,57454.0,78238.0,58625.0,109716.0,63973.0,101216.0,70370.0,55183.0,55079.0,105267.0,69513.0,71186.0,149843.0,117436.0,68897.0,70148.0,80529.0,99910.0,80975.0,82077.0,89708.0,215897.0,115795.0,98184.0,125201.0,127931.0,124715.0,113030.0,91214.0,117343.0,94702.0,93393.0,96558.0,194418.0,136361.0,92092.0,75229.0,116927.0,88006.0,88261.0,83631.0,108643.0,135231.0,134126.0,133071.0,153143.0
Zapasy,16792.0,12910.0,20768.0,18446.0,16244.0,10002.0,12552.0,37780.0,12751.0,8330.0,9936.0,9413.0,8139.0,8710.0,10663.0,9713.0,46852.0,6965.0,15629.0,5777.0,11227.0,7625.0,7039.0,8758.0,12489.0,10598.0,12340.0,9155.0,5186.0,10491.0,13627.0,14196.0,8855.0,6308.0,8111.0,6888.0,10243.0,20723.0,4323.0,15115.0,10145.0,4801.0,7323.0,4816.0,13798.0,11250.0,6719.0,9663.0,12022.0,4125.0
Należności krótkoterminowe,33614.0,62543.0,19238.0,50377.0,32827.0,54920.0,28986.0,54465.0,32476.0,74363.0,33000.0,29822.0,38870.0,74672.0,42561.0,50598.0,86921.0,53704.0,28971.0,40651.0,56056.0,63068.0,33390.0,44532.0,51775.0,83277.0,50921.0,54251.0,68590.0,60385.0,56015.0,69891.0,60776.0,75633.0,47092.0,51786.0,49307.0,65692.0,43104.0,49741.0,40351.0,79987.0,44366.0,60371.0,42564.0,67784.0,100736.0,92836.0,89704.0,96566.0
Inwestycje krótkoterminowe,8947.0,15994.0,14647.0,8846.0,7108.0,9813.0,16117.0,15226.0,15852.0,14402.0,25189.0,13494.0,5502.0,18352.0,11863.0,6747.0,12451.0,52433.0,19524.0,16329.0,6339.0,15870.0,26121.0,11097.0,12511.0,89844.0,24434.0,12259.0,27217.0,27040.0,22493.0,10187.0,6294.0,24201.0,26285.0,21540.0,25584.0,91234.0,59632.0,8244.0,5566.0,9708.0,14830.0,5649.0,7534.0,17171.0,11704.0,14143.0,13872.0,34429.0
Środki pieniężne i inne aktywa pieniężne,8947.0,15994.0,14647.0,8546.0,6808.0,9513.0,15765.0,15226.0,15852.0,14402.0,25189.0,13494.0,5502.0,18352.0,11863.0,6747.0,12451.0,52371.0,19524.0,16329.0,6339.0,15870.0,26121.0,10885.0,6436.0,89647.0,24269.0,12019.0,27061.0,26836.0,22340.0,9936.0,5756.0,15398.0,25740.0,20999.0,25038.0,90733.0,59140.0,7790.0,5322.0,9664.0,14712.0,5280.0,6953.0,17171.0,11704.0,14143.0,13530.0,34329.0
Pozostałe aktywa obrotowe,1695.0,1554.0,775.0,1610.0,1275.0,1473.0,970.0,2245.0,2894.0,4121.0,2245.0,2454.0,2568.0,3533.0,4426.0,4128.0,3619.0,4334.0,4773.0,7391.0,6907.0,13347.0,14425.0,17690.0,12933.0,32178.0,28100.0,22519.0,24208.0,30015.0,32580.0,18756.0,15289.0,11201.0,13214.0,13179.0,11424.0,11701.0,29302.0,18992.0,19167.0,22431.0,21487.0,17425.0,19735.0,12438.0,16072.0,17484.0,17473.0,18023.0
