,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Koszty finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pozostałe przychody (koszty),-175.0,129.0,500.0,422.0,68.0,518.0,973.0,656.0,443.0,854.0,992.0,295.0,1121.0,0.0,0.0,0.0,-42.0,-24.0,-12.0,-208.0,-226.0,-14.0,64.0,-39.0,-51.0,-47.0,12.0,82.0,-85.0,-6.0,-16.0,-2.0,1.0,59.0,20.0,79.0,-196.0,-470.0,-386.0,889.0,-1026.0,-410.0,147.0,-608.0,-2378.0,-3134.0,-1439.0,-2041.0,-1693.0,-1185.0,-798.0,-477.0,-622.0,-1145.0,-1515.0,-1321.0,-7131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-254.0,0.0,253.0
Zysk z działalności gospodarczej,3907.0,1084.0,2769.0,6289.0,14152.0,16962.0,10176.0,9765.0,17669.0,10191.0,10567.0,9725.0,15036.0,195507.0,6830.0,4022.0,38162.0,-6921.0,-10654.0,10419.0,35526.0,-1985.0,-1829.0,10839.0,31163.0,-5882.0,-16347.0,22173.0,40658.0,3875.0,6992.0,-2636.0,31506.0,695.0,-729.0,1372.0,35386.0,7249.0,12851.0,30336.0,42141.0,22416.0,21571.0,2894.0,61248.0,10732.0,15867.0,17750.0,60428.0,8419.0,10237.0,2007.0,43896.0,-3240.0,14664.0,38589.0,12467.0,19354.0,26749.0,53936.0,42330.0,20979.0,35918.0,43058.0,-18945.0,39468.0,36554.0,43804.0,54464.0,43356.0,14465.0,41730.0,53816.0,30065.0,34585.0,41148.0,46517.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3907.0,1084.0,2769.0,6289.0,14152.0,16962.0,10176.0,9765.0,17669.0,10191.0,10567.0,9725.0,15036.0,195507.0,6830.0,4022.0,38162.0,-6921.0,-10654.0,10419.0,35526.0,-1985.0,-1829.0,10839.0,31163.0,-5882.0,-16347.0,22173.0,40658.0,3875.0,6992.0,-2636.0,31506.0,695.0,-729.0,1372.0,35386.0,7249.0,12851.0,30336.0,42141.0,22416.0,21571.0,2894.0,61248.0,10732.0,15867.0,17750.0,60428.0,8419.0,10237.0,2007.0,43896.0,-3240.0,14664.0,38589.0,12467.0,19354.0,26749.0,53936.0,42330.0,20979.0,35918.0,43058.0,-18945.0,39468.0,36554.0,43804.0,54464.0,43356.0,14465.0,41730.0,53816.0,30065.0,34585.0,41148.0,46517.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3401.0,1054.0,8370.0,5646.0,12693.0,15603.0,7808.0,6874.0,22702.0,10074.0,7855.0,7019.0,17470.0,164810.0,-4331.0,1326.0,39417.0,-5068.0,-6860.0,12621.0,25741.0,-1558.0,-4620.0,5493.0,44402.0,-4539.0,-16937.0,16257.0,39421.0,4528.0,6407.0,-2212.0,28529.0,1103.0,518.0,-542.0,22175.0,5773.0,8260.0,21384.0,33479.0,18784.0,17524.0,197.0,43765.0,7471.0,6482.0,10738.0,51032.0,4147.0,8827.0,-3539.0,34086.0,-6742.0,14235.0,17740.0,7218.0,8923.0,19844.0,41924.0,34827.0,13750.0,20371.0,34032.0,50508.0,24213.0,26962.0,27971.0,36836.0,31131.0,9509.0,24776.0,33156.0,21104.0,26899.0,28745.0,17125.0
Zysk netto akcjonariuszy jednostki dominującej,3620.0,1259.0,8427.0,5583.0,12783.0,15395.0,7747.0,6791.0,22827.0,9998.0,7888.0,6839.0,18045.0,165136.0,-5084.0,1125.0,37949.0,-2864.0,-4269.0,12839.0,26600.0,-121.0,5354.0,7554.0,30930.0,-862.0,-19188.0,16612.0,40909.0,5013.0,7255.0,-1403.0,29795.0,1399.0,998.0,220.0,22460.0,5430.0,7923.0,21427.0,33114.0,18771.0,17011.0,402.0,43467.0,7177.0,5579.0,8281.0,51997.0,4819.0,5960.0,-3550.0,34807.0,-6240.0,10540.0,18162.0,8154.0,6955.0,20224.0,42500.0,35167.0,14175.0,20344.0,32456.0,51769.0,26078.0,28505.0,30299.0,38156.0,32439.0,12351.0,27894.0,35164.0,23056.0,26740.0,32424.0,18388.0
Aktywa trwałe,0.0,133026.0,148639.0,150057.0,153016.0,154851.0,160179.0,171697.0,204590.0,208382.0,234011.0,240840.0,242381.0,263224.0,266798.0,270982.0,406293.0,427307.0,419366.0,412651.0,413679.0,414484.0,417128.0,416485.0,418351.0,428199.0,433439.0,465551.0,476238.0,476382.0,500850.0,506426.0,529008.0,530046.0,527425.0,518633.0,516289.0,520267.0,522780.0,535028.0,551473.0,549345.0,564367.0,598577.0,605999.0,606432.0,621099.0,650513.0,673847.0,682462.0,730701.0,739066.0,731910.0,731415.0,741783.0,742245.0,746841.0,806588.0,792804.0,790758.0,796738.0,809438.0,818514.0,823500.0,856573.0,853859.0,835262.0,848214.0,886885.0,905171.0,938177.0,973407.0,976471.0,985465.0,978361.0,976031.0,917217.0
Wartości niematerialne i prawne,0.0,42990.0,38347.0,38452.0,38308.0,38601.0,38338.0,38196.0,39319.0,39165.0,38866.0,38851.0,38843.0,38821.0,39798.0,39941.0,124994.0,145210.0,138049.0,132772.0,135109.0,120608.0,113299.0,115174.0,116261.0,120052.0,117293.0,119670.0,117565.0,119014.0,130583.0,129381.0,140462.0,137269.0,132221.0,126533.0,123775.0,122426.0,120464.0,116324.0,114275.0,109359.0,110225.0,108382.0,107234.0,103423.0,103869.0,103879.0,102021.0,101142.0,104844.0,106570.0,105796.0,106118.0,102739.0,102601.0,101644.0,100924.0,101959.0,100844.0,99596.0,97905.0,100613.0,101501.0,101455.0,100749.0,99478.0,101313.0,105762.0,109743.0,109919.0,115036.0,115160.0,114805.0,113505.0,110948.0,110246.0
