,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,20166.0,26790.0,37409.0,37409.0,37409.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38825.0,38826.0,38826.0,38826.0,38826.0,38826.0,38826.0,38826.0,38826.0,38826.0,38826.0
Udziały niekontrolujące,1931.0,222051.0,5461.0,102.0,-19.0,41.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,181.0,155.0,163.0,155.0,171.0,167.0,150.0,123.0,162.0,140.0,143.0,0.0,0.0,0.0,3594.0,2099.0,2210.0,2186.0,1350.0,1482.0,1572.0,1319.0,1407.0,1511.0,1664.0,1980.0,1742.0,1960.0,2051.0,1927.0,1909.0,2139.0,2460.0,3550.0,3494.0,3774.0,4157.0,3791.0,3697.0,8097.0,8515.0,8384.0,7966.0,7654.0,7810.0,7950.0
Zobowiązania długoterminowe,259515.0,254250.0,5480.0,10791.0,10975.0,12327.0,14303.0,6968.0,4569.0,4606.0,5155.0,6011.0,5873.0,5569.0,6165.0,5838.0,6533.0,6904.0,10244.0,12353.0,32057.0,28803.0,33282.0,26543.0,25472.0,25525.0,28950.0,29376.0,23616.0,24648.0,27165.0,29279.0,25352.0,26218.0,28604.0,29418.0,27857.0,29647.0,25071.0,22095.0,94949.0,110317.0,139677.0,123956.0,129094.0,124398.0,118574.0,113337.0,84588.0,79443.0,91382.0,141906.0,150400.0,173411.0,171931.0,184801.0,177520.0,153332.0,168913.0,276952.0,274904.0
Z tytułu dostaw i usług,21329.0,19799.0,18270.0,33666.0,26352.0,31720.0,24230.0,36896.0,22237.0,35389.0,26640.0,37765.0,27779.0,47052.0,25628.0,31839.0,26396.0,45196.0,26819.0,52264.0,30243.0,47335.0,30240.0,55619.0,36378.0,46893.0,43624.0,47001.0,37601.0,57452.0,48925.0,68674.0,43640.0,50452.0,26926.0,57585.0,46013.0,42176.0,44968.0,78362.0,74094.0,78666.0,81234.0,109977.0,122811.0,130103.0,108451.0,185917.0,147073.0,73968.0,70299.0,183154.0,176559.0,205393.0,249590.0,272340.0,266511.0,223780.0,282789.0,372675.0,235971.0
Kredyty i pożyczki,2273.0,2900.0,3527.0,3379.0,3084.0,2454.0,515.0,2176.0,1473.0,1233.0,738.0,590.0,304.0,492.0,352.0,489.0,316.0,775.0,2432.0,6314.0,8275.0,13288.0,13043.0,22051.0,20504.0,18964.0,17974.0,20480.0,24157.0,23434.0,24728.0,22789.0,19661.0,18974.0,22248.0,22710.0,24142.0,32139.0,31227.0,30836.0,26530.0,31507.0,51902.0,49742.0,44178.0,39441.0,34591.0,30145.0,27972.0,21128.0,22490.0,46155.0,43767.0,64085.0,58196.0,66455.0,63946.0,62177.0,52508.0,51610.0,47054.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,19033.0,26998.0,34963.0,9209.0,6342.0,7838.0,37700.0,20981.0,15906.0,16887.0,2312.0,2120.0,1344.0,20265.0,2560.0,1974.0,235.0,42214.0,338.0,2073.0,2087.0,18726.0,2155.0,2274.0,22865.0,23234.0,897.0,750.0,22553.0,22605.0,924.0,1198.0,25846.0,25847.0,930.0,998.0,1017.0,28001.0,902.0,829.0,13627.0,46745.0,45877.0,32802.0,28983.0,72308.0,34750.0,40185.0,61862.0,104773.0,101325.0,64637.0,81142.0,151780.0,77101.0,81489.0,79340.0,160166.0,80591.0,76761.0,62274.0
Inne zobowiązania długoterminowe,1731.0,6638.0,2786.0,474.0,1659.0,2007.0,3726.0,2686.0,2476.0,2647.0,3271.0,4271.0,4214.0,4122.0,4873.0,5073.0,5748.0,4349.0,5408.0,4478.0,4593.0,4300.0,4531.0,4563.0,4506.0,3278.0,3519.0,2504.0,2805.0,3058.0,2994.0,4020.0,4888.0,4558.0,4281.0,5040.0,3921.0,4532.0,2873.0,3817.0,5701.0,5530.0,5194.0,3851.0,5495.0,5706.0,5373.0,9064.0,16035.0,13718.0,24736.0,8180.0,8815.0,11257.0,11363.0,10445.0,10104.0,9226.0,9466.0,8216.0,14350.0
Zobowiązania krótkoterminowe,79003.0,86832.0,94660.0,93711.0,73479.0,87458.0,115399.0,124402.0,92660.0,108057.0,93532.0,109194.0,90179.0,135633.0,91411.0,89149.0,74763.0,142709.0,76817.0,116038.0,90309.0,134537.0,101478.0,142586.0,129177.0,141981.0,116159.0,131345.0,141069.0,166087.0,135172.0,184758.0,148348.0,163797.0,117973.0,169585.0,138845.0,173285.0,152546.0,202382.0,204064.0,250243.0,277617.0,325608.0,251884.0,312964.0,254470.0,354681.0,313687.0,339746.0,290302.0,404263.0,373046.0,515748.0,497343.0,565016.0,527341.0,558084.0,548678.0,715543.0,533689.0
Inne zobowiązania krótkoterminowe,36368.0,37135.0,37900.0,47457.0,37701.0,45446.0,52954.0,64349.0,53044.0,54548.0,63842.0,68719.0,60752.0,67824.0,62871.0,54847.0,47816.0,54524.0,47228.0,55387.0,49704.0,55188.0,56040.0,62642.0,49430.0,52890.0,53664.0,63114.0,56758.0,62596.0,60595.0,92097.0,59201.0,68524.0,67869.0,88292.0,67673.0,70969.0,75449.0,92355.0,89813.0,93325.0,98604.0,133087.0,55912.0,71112.0,76678.0,98434.0,76780.0,139877.0,96188.0,110317.0,71578.0,94490.0,112456.0,144732.0,117544.0,111961.0,132790.0,214497.0,188390.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,665524.0,659773.0,654021.0,683113.0,635627.0,675801.0,711501.0,728634.0,717949.0,732843.0,788377.0,821016.0,759457.0,803579.0,752377.0,759840.0,773226.0,820648.0,738399.0,776815.0,779292.0,815382.0,792790.0,848297.0,798338.0,830847.0,822561.0,850030.0,842533.0,905305.0,868014.0,946448.0,859354.0,893053.0,871558.0,918315.0,898505.0,944701.0,910856.0,989566.0,1068097.0,1117465.0,1223860.0,1249767.0,1249636.0,1270888.0,1239893.0,1381090.0,1352720.0,1333719.0,1356286.0,1517858.0,1539231.0,1725808.0,1785376.0,1868934.0,1863329.0,1763450.0,1866713.0,2116091.0,1962222.0
Przepływy pieniężne z działalności operacyjnej,4447.0,9825.0,22834.0,16402.0,636.0,14140.0,2706.0,45473.0,4207.0,11284.0,-786.0,29124.0,9081.0,20850.0,-2573.0,26855.0,2128.0,1996.0,11730.0,24684.0,3448.0,20555.0,8638.0,40222.0,-79.0,18147.0,26828.0,30383.0,-9195.0,26654.0,6597.0,63625.0,3036.0,16970.0,16630.0,57700.0,5993.0,844.0,49946.0,64021.0,5532.0,13831.0,34724.0,104726.0,-2434.0,57938.0,53295.0,95823.0,28256.0,50765.0,63531.0,92291.0,32368.0,35748.0,88617.0,83843.0,43615.0,38788.0,54496.0,172710.0,-4426.0
Amortyzacja,1113.0,1125.0,1225.0,1035.0,1500.0,1573.0,1573.0,1849.0,1980.0,2089.0,2204.0,2471.0,2459.0,2619.0,2658.0,3071.0,3275.0,3487.0,3466.0,3708.0,4626.0,5658.0,6213.0,6515.0,6909.0,7253.0,7799.0,8338.0,8683.0,9142.0,9412.0,10013.0,9439.0,9792.0,10339.0,11042.0,10802.0,11442.0,11494.0,11894.0,14782.0,16094.0,17748.0,17063.0,19121.0,19554.0,19549.0,19060.0,18608.0,19295.0,19511.0,19695.0,20954.0,22771.0,24896.0,24255.0,22539.0,21299.0,23350.0,21253.0,23595.0
Przepływy pieniężne z działalności inwestycyjnej,-3632.0,-4531.0,2610.0,-56611.0,-828.0,-869.0,-39297.0,-5288.0,-8085.0,-2391.0,-9549.0,-10760.0,6983.0,-19162.0,-27969.0,-14763.0,-12530.0,-4130.0,16679.0,-25593.0,-25220.0,-12756.0,-9211.0,-11862.0,-10750.0,-15646.0,-10553.0,-4634.0,-9678.0,-15854.0,-1934.0,-10821.0,-16304.0,-6633.0,-18349.0,-23472.0,-7104.0,-14096.0,-15780.0,-6308.0,-28562.0,-16636.0,-21095.0,-36825.0,-13513.0,-12350.0,-14587.0,-11917.0,-18645.0,-7038.0,-51659.0,-97471.0,-14748.0,-26013.0,-31523.0,-24165.0,-16372.0,-12270.0,-18332.0,-72983.0,-13633.0
CAPEX (niematerialne i rzeczowe),1790.0,2899.0,2013.0,2975.0,1342.0,1643.0,1912.0,4744.0,2804.0,2364.0,3090.0,3773.0,4471.0,6371.0,4005.0,35740.0,5905.0,10064.0,6857.0,23586.0,23003.0,13718.0,12009.0,3600.0,9435.0,7442.0,9535.0,18981.0,5005.0,7796.0,10662.0,6793.0,9392.0,15893.0,19886.0,23474.0,7025.0,13396.0,10705.0,9370.0,15582.0,18378.0,11715.0,9941.0,8228.0,10004.0,8653.0,8678.0,18846.0,12465.0,-4165.0,12862.0,11786.0,14955.0,15722.0,16688.0,15536.0,10837.0,12016.0,23423.0,13905.0
Przepływy pieniężne z działalności finansowej,1305.0,-11007.0,89899.0,-5733.0,-2051.0,-3794.0,-10064.0,-1218.0,-842.0,-1626.0,-16306.0,-500.0,-481.0,0.0,-19165.0,-13.0,-1863.0,1900.0,-14820.0,-14821.0,20711.0,-143.0,-12337.0,6529.0,-1351.0,-2291.0,-19003.0,2178.0,-4865.0,-2295.0,-17876.0,-4509.0,-5420.0,-643.0,-20057.0,2240.0,34.0,6644.0,-30477.0,-3852.0,-6521.0,7967.0,-16931.0,-9425.0,-15474.0,-13418.0,-55161.0,-15225.0,-13426.0,-16843.0,-54385.0,2131.0,665.0,8308.0,-85630.0,1495.0,-10380.0,-21424.0,-89572.0,-11829.0,-32026.0
Emisja akcji,0.0,0.0,0.0,87777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,15161.0,0.0,0.0,0.0,5452.0,0.0,0.0,0.0,13258.0,0.0,0.0,0.0,18682.0,0.0,0.0,0.0,42034.0,0.0,0.0,0.0,16606.0,0.0,0.0,0.0,20757.0,0.0,0.0,0.0,21796.0,0.0,0.0,0.0,24909.0,0.0,0.0,0.0,26985.0,0.0,0.0,0.0,26985.0,0.0,0.0,0.0,38402.0,0.0,0.0,0.0,51895.0,-1.0,0.0,0.0,66425.0,0.0,0.0,0.0,75766.0,-1.0,0.0
Przepływy pieniężne razem,2120.0,-5713.0,115343.0,-45942.0,-2243.0,9477.0,-46655.0,38967.0,-4720.0,7267.0,-26641.0,17864.0,15583.0,1688.0,-49707.0,12079.0,-12265.0,-234.0,13589.0,-15730.0,-1061.0,7656.0,-12910.0,34889.0,-12180.0,210.0,-2728.0,27927.0,-23738.0,8505.0,-13213.0,48295.0,-18688.0,9694.0,-21776.0,36468.0,-1077.0,-6608.0,3689.0,53861.0,-29551.0,5162.0,-3302.0,58476.0,-31421.0,32170.0,-16453.0,68681.0,-3815.0,26884.0,-42513.0,-3049.0,18285.0,18043.0,-28536.0,61173.0,16863.0,5094.0,-53408.0,87898.0,-50085.0
