,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Koszty finansowe,2295.0,-595.0,776.0,782.0,1066.0,1028.0,354.0,550.0,843.0,437.0,918.0,82.0,987.0,776.0,909.0,263.0,588.0,454.0,160.0,23.0,376.0,622.0,992.0,1207.0,1516.0,579.0,1141.0,339.0,1505.0,1033.0,-563.0,2122.0,2035.0,736.0,394.0,1665.0,495.0,1146.0,556.0,263.0,1761.0,1156.0,1347.0,1448.0,4576.0,1398.0,3724.0,2917.0,3751.0,1739.0,1620.0,4878.0,2806.0,3077.0,6605.0,9422.0,4570.0,7175.0,3010.0,12534.0,6492.0
Pozostałe przychody (koszty),0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.0,209.0,0.0,0.0,0.0,0.0,-90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-325.0,0.0,-10.0,-3.0,-6.0,-6.0,-6.0,-6.0,18.0,-5.0
Zysk z działalności gospodarczej,15847.0,16110.0,6948.0,16732.0,9368.0,11674.0,15430.0,15324.0,13394.0,12656.0,15388.0,20661.0,13854.0,12616.0,11613.0,16555.0,10401.0,9914.0,9470.0,13584.0,8027.0,10543.0,11798.0,15849.0,10146.0,13946.0,14347.0,15225.0,10212.0,13767.0,12559.0,24429.0,12969.0,18521.0,13360.0,22566.0,14133.0,19440.0,21357.0,23130.0,21472.0,24443.0,29405.0,35110.0,28122.0,33904.0,37139.0,42495.0,40387.0,41699.0,47030.0,64586.0,50182.0,75310.0,61633.0,51085.0,57813.0,59020.0,75463.0,63130.0,57787.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,15847.0,16110.0,6948.0,16732.0,9368.0,11674.0,15430.0,15324.0,13394.0,12656.0,15388.0,20661.0,13854.0,12616.0,11613.0,16555.0,10401.0,9914.0,9470.0,13584.0,8027.0,10543.0,11798.0,15849.0,10146.0,13946.0,14347.0,15225.0,10212.0,13767.0,12559.0,24429.0,12969.0,18521.0,13360.0,22566.0,14133.0,19440.0,21357.0,23130.0,21472.0,24443.0,29405.0,35110.0,28122.0,33904.0,37139.0,42495.0,40387.0,41699.0,47030.0,64586.0,50182.0,75310.0,61633.0,51085.0,57813.0,59020.0,75463.0,63130.0,57787.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,13688.0,14177.0,5604.0,13910.0,8112.0,9735.0,13194.0,12559.0,12077.0,11016.0,13252.0,18308.0,13854.0,9776.0,10978.0,14979.0,7796.0,7349.0,8649.0,12173.0,7014.0,9094.0,9213.0,13719.0,8106.0,11649.0,12659.0,11088.0,8149.0,12190.0,10917.0,20292.0,10152.0,15544.0,11161.0,18152.0,11257.0,15523.0,18309.0,20074.0,18325.0,18239.0,25249.0,29509.0,23636.0,27530.0,31704.0,35300.0,32627.0,34513.0,38812.0,49271.0,40389.0,66684.0,51126.0,37787.0,47201.0,48964.0,63168.0,48995.0,48586.0
Zysk netto akcjonariuszy jednostki dominującej,8444.0,11743.0,4807.0,13282.0,8173.0,9811.0,13070.0,12593.0,12115.0,11048.0,13260.0,18341.0,12708.0,10996.0,10965.0,14957.0,7808.0,7374.0,8613.0,12154.0,7015.0,9110.0,9238.0,13672.0,8129.0,11649.0,12714.0,11088.0,8149.0,12227.0,10916.0,20176.0,10082.0,15453.0,11050.0,18063.0,11166.0,15454.0,18173.0,19923.0,18025.0,17785.0,25249.0,28930.0,23547.0,26905.0,31452.0,34624.0,31711.0,33131.0,37734.0,47854.0,39120.0,65142.0,49102.0,34894.0,45513.0,46969.0,62077.0,45803.0,47010.0
Aktywa trwałe,516283.0,463871.0,413079.0,467213.0,436469.0,452265.0,521709.0,505424.0,516587.0,510484.0,556741.0,560893.0,516468.0,524751.0,540490.0,541123.0,559581.0,577547.0,559352.0,564377.0,587496.0,600040.0,599075.0,612945.0,594675.0,605454.0,607481.0,614876.0,622977.0,644060.0,629594.0,642938.0,615381.0,635563.0,650046.0,630553.0,629257.0,652988.0,627539.0,627571.0,712133.0,727838.0,806721.0,781483.0,822574.0,808580.0,812510.0,821082.0,824193.0,797928.0,850949.0,939053.0,940595.0,1037364.0,1070591.0,1056434.0,1062884.0,996720.0,1046851.0,1165460.0,1165574.0
Wartości niematerialne i prawne,498584.0,445992.0,393400.0,452566.0,422528.0,437701.0,503359.0,485763.0,494622.0,488451.0,533166.0,535278.0,492969.0,499586.0,514488.0,513897.0,531858.0,546343.0,524471.0,524546.0,526571.0,531758.0,529588.0,536227.0,517312.0,523676.0,521800.0,523166.0,524594.0,543280.0,527462.0,535814.0,510265.0,511799.0,517495.0,493306.0,493996.0,508719.0,489889.0,491943.0,513954.0,511157.0,566315.0,553785.0,588080.0,579925.0,587177.0,598525.0,614534.0,596524.0,649947.0,744540.0,748320.0,840304.0,862540.0,853433.0,855195.0,795738.0,835295.0,956637.0,954066.0
Rzeczowe składniki majątku trwałego,13528.0,13614.0,13700.0,11392.0,10293.0,10737.0,13047.0,16670.0,18206.0,17920.0,19275.0,20326.0,19169.0,20899.0,19922.0,20410.0,21269.0,25966.0,27697.0,34090.0,54831.0,61796.0,63643.0,69846.0,71086.0,75901.0,79621.0,86369.0,87341.0,94669.0,96201.0,102161.0,100522.0,117864.0,127706.0,131958.0,130597.0,138291.0,132013.0,128692.0,137032.0,202222.0,225771.0,212116.0,218463.0,212399.0,208158.0,198882.0,193730.0,184697.0,183964.0,180565.0,177265.0,179290.0,181210.0,179100.0,182072.0,176638.0,185427.0,183339.0,186141.0
Należności długoterminowe,0.0,0.0,1634.0,0.0,0.0,0.0,142.0,149.0,190.0,187.0,225.0,420.0,376.0,392.0,295.0,336.0,259.0,321.0,928.0,300.0,343.0,345.0,768.0,1056.0,1048.0,724.0,701.0,607.0,855.0,387.0,378.0,385.0,287.0,589.0,502.0,345.0,305.0,261.0,220.0,186.0,909.0,899.0,480.0,724.0,740.0,774.0,923.0,821.0,783.0,774.0,662.0,634.0,686.0,627.0,9074.0,7886.0,7866.0,7457.0,8698.0,7274.0,7202.0
Inwestycje długoterminowe,1214.0,1161.0,1109.0,1003.0,898.0,948.0,1280.0,1495.0,1621.0,1586.0,1820.0,1411.0,1305.0,1220.0,1190.0,1077.0,1104.0,1087.0,1043.0,1475.0,2853.0,2780.0,2916.0,2984.0,2654.0,2825.0,2538.0,2365.0,7509.0,2693.0,2457.0,1322.0,936.0,1357.0,992.0,1013.0,898.0,1512.0,795.0,1331.0,5818.0,5120.0,5272.0,5266.0,5515.0,5405.0,5446.0,5764.0,1002.0,973.0,1062.0,620.0,1877.0,1881.0,1927.0,2974.0,2941.0,2179.0,1823.0,2747.0,2674.0
Pozostałe aktywa trwałe,2957.0,3104.0,3236.0,2252.0,2750.0,2879.0,3881.0,1347.0,1948.0,2340.0,2255.0,3458.0,2649.0,2654.0,4595.0,5403.0,5091.0,3830.0,5213.0,3966.0,2898.0,3361.0,2160.0,2832.0,2575.0,2328.0,2821.0,2369.0,2678.0,3031.0,3096.0,3256.0,3371.0,3954.0,3351.0,3931.0,3461.0,4205.0,4622.0,5419.0,54420.0,8440.0,8883.0,9592.0,9776.0,10077.0,10806.0,17090.0,14144.0,14960.0,15314.0,12694.0,12447.0,15262.0,15840.0,13041.0,14810.0,14708.0,15608.0,15463.0,15491.0
