,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Koszty finansowe,952.0,1081.0,720.0,1225.0,1047.0,2011.0,2100.0,5280.0,3001.0,4931.0,5087.0,15228.0,11026.0,-2792.0,2389.0,2882.0,3089.0,2742.0,2684.0,2808.0,3376.0,3195.0,4296.0,4980.0,4249.0,3713.0,3756.0,5249.0,2966.0,3092.0,2278.0,2791.0,1957.0,1895.0,3239.0,1063.0,1645.0,1797.0,1595.0,2063.0,1586.0,1364.0,1366.0,1730.0,1454.0,1376.0,1286.0,1840.0,1212.0,1822.0,1531.0,1136.0,1618.0,1751.0,1635.0,1626.0,1532.0,2068.0,1410.0,3525.0,1613.0,2369.0,1567.0,3228.0,3601.0,3976.0,8783.0,6236.0,5700.0,6765.0,11361.0,-2580.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,846.0,108.0,19603.0,-302.0,355.0,-1.0,-5975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,3075.0,2995.0,4014.0,7442.0,9549.0,9131.0,6648.0,19775.0,69.0,-5821.0,-1372.0,-40109.0,-6007.0,5244.0,1726.0,-1045.0,411.0,1552.0,3655.0,350.0,1700.0,549.0,1874.0,-5025.0,-243.0,-86.0,369.0,-2103.0,-1434.0,-3729.0,-11352.0,-9991.0,-1881.0,-3265.0,-8385.0,14108.0,1377.0,-4394.0,2861.0,1704.0,848.0,685.0,1806.0,1079.0,85.0,-6265.0,1814.0,4482.0,642.0,-4923.0,920.0,4155.0,-584.0,-4679.0,-918.0,235.0,3026.0,2066.0,3182.0,2701.0,4997.0,3700.0,2615.0,3739.0,10276.0,24167.0,3241.0,3330.0,2363.0,1601.0,831.0,2423.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,3075.0,2995.0,4014.0,7442.0,9549.0,9131.0,6648.0,19775.0,69.0,-5821.0,-1372.0,-40109.0,-6007.0,5244.0,1726.0,-1045.0,411.0,1552.0,3655.0,350.0,1700.0,549.0,1874.0,-5025.0,-243.0,-86.0,369.0,-2103.0,-1434.0,-3729.0,-11352.0,-9991.0,-1881.0,-3265.0,-8385.0,14108.0,1377.0,-4394.0,2861.0,1704.0,848.0,685.0,1806.0,1079.0,85.0,-6265.0,1814.0,4482.0,642.0,-4923.0,920.0,4155.0,-584.0,-4679.0,-918.0,235.0,3026.0,2066.0,3182.0,2701.0,4997.0,3700.0,2615.0,3739.0,10276.0,24167.0,3241.0,3330.0,2363.0,1601.0,831.0,2423.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,-1028.0,0.0,-788.0,-3872.0,-2484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,2598.0,2766.0,3294.0,6195.0,8218.0,8328.0,5907.0,17223.0,11.0,-5526.0,-1106.0,-34230.0,-5234.0,3483.0,1653.0,-941.0,76.0,473.0,2491.0,-15.0,1483.0,-437.0,1325.0,-5240.0,-174.0,-1063.0,124.0,-2705.0,-1483.0,-3416.0,-9736.0,-9713.0,-1985.0,-2768.0,-6808.0,12107.0,624.0,-4262.0,1753.0,2516.0,702.0,88.0,1445.0,994.0,-72.0,-6106.0,822.0,2789.0,419.0,-3829.0,621.0,3482.0,-922.0,-4668.0,-975.0,-269.0,2789.0,1940.0,2025.0,2590.0,4247.0,2834.0,2184.0,3198.0,8805.0,20728.0,1895.0,2214.0,2350.0,2380.0,443.0,4565.0
Zysk netto akcjonariuszy jednostki dominującej,2475.0,2656.0,3361.0,6135.0,5866.0,12470.0,4678.0,16662.0,11.0,-5526.0,-310.0,-33290.0,-4992.0,3610.0,1649.0,-1273.0,72.0,516.0,2534.0,-29.0,1453.0,-340.0,1371.0,-5138.0,-104.0,-1065.0,321.0,-2448.0,-1430.0,-3291.0,-9584.0,-9448.0,1997.0,-6649.0,-6478.0,11751.0,739.0,-4045.0,1836.0,2541.0,690.0,95.0,1444.0,976.0,-59.0,-6001.0,915.0,2794.0,426.0,-3759.0,619.0,3414.0,-907.0,-4628.0,-1000.0,-309.0,2768.0,1990.0,2008.0,2561.0,4172.0,2832.0,2183.0,3126.0,8785.0,20578.0,2002.0,2140.0,2397.0,2690.0,395.0,5209.0
Aktywa trwałe,0.0,70038.0,82370.0,87439.0,99475.0,192076.0,202231.0,231768.0,215894.0,243502.0,247808.0,242383.0,230701.0,226386.0,221681.0,226038.0,222880.0,227924.0,226067.0,225822.0,222279.0,222187.0,220033.0,216752.0,184287.0,183364.0,185239.0,187663.0,186199.0,159107.0,159987.0,167180.0,162351.0,162588.0,164123.0,158986.0,157183.0,156117.0,153568.0,153880.0,153803.0,156913.0,154889.0,150859.0,148667.0,144027.0,142217.0,143896.0,143329.0,148163.0,147880.0,144519.0,152980.0,157122.0,156713.0,158024.0,161036.0,167129.0,170797.0,170575.0,176915.0,192851.0,211438.0,220613.0,223416.0,251466.0,256219.0,257432.0,259383.0,275494.0,293579.0,306762.0
Wartości niematerialne i prawne,0.0,1848.0,1846.0,1909.0,1905.0,13443.0,13938.0,6155.0,6001.0,6011.0,5936.0,5897.0,5785.0,5371.0,5553.0,5481.0,5375.0,5292.0,5210.0,9422.0,9359.0,9320.0,9267.0,8906.0,7825.0,7796.0,7727.0,7666.0,7600.0,7596.0,7537.0,7475.0,6369.0,6336.0,6415.0,6371.0,6408.0,6354.0,6283.0,6214.0,6159.0,6319.0,6267.0,6224.0,6159.0,6174.0,6128.0,6034.0,6042.0,5963.0,5924.0,5847.0,5791.0,5730.0,5657.0,5696.0,5653.0,5521.0,5376.0,5189.0,5080.0,4919.0,4806.0,4729.0,4591.0,4981.0,6119.0,6077.0,5828.0,6945.0,6761.0,6874.0
