,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
Koszty finansowe,2435.0,17507.0,3803.0,14532.0,1899.0,2639.0,1762.0,5652.0,1299.0,3869.0,3187.0,7098.0,2405.0,3959.0,1559.0,11229.0,5681.0,2732.0,-490.0,4861.0,4206.0,-274.0,1787.0,1949.0,1119.0,1009.0,1675.0,1916.0,3312.0,3063.0,3316.0,2867.0,1175.0,1491.0,1032.0,5050.0,1602.0,1346.0,2022.0,3174.0,1824.0,1319.0,1158.0,2010.0,1848.0,1554.0,1627.0,1824.0,2880.0,3377.0,2148.0,605.0,3189.0,3570.0,-883.0,2113.0,1288.0,1359.0,3360.0,-47.0,3198.0,1761.0,2487.0,2514.0,2820.0,1655.0,1592.0,2985.0,1709.0,3097.0,544.0,2314.0,2260.0,2228.0,3070.0,2022.0
Pozostałe przychody (koszty),-783.0,-1241.0,-8505.0,202.0,501.0,150.0,268.0,251.0,0.0,0.0,0.0,14794.0,-437.0,7.0,-324.0,754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,-2430.0,3773.0,-6894.0,-12764.0,2608.0,9326.0,4879.0,57794.0,10748.0,15634.0,19380.0,16421.0,14082.0,16791.0,14614.0,14081.0,19144.0,14699.0,15443.0,3764.0,-2746.0,13132.0,4555.0,-2829.0,19263.0,6783.0,28175.0,-15462.0,5622.0,4640.0,3122.0,-18608.0,2561.0,3606.0,3806.0,-670.0,6405.0,8184.0,8483.0,3938.0,3389.0,13197.0,3284.0,-15954.0,1631.0,-2294.0,5061.0,-27095.0,-3208.0,5172.0,1533.0,-86468.0,4850.0,4027.0,4498.0,2189.0,4125.0,3330.0,3603.0,5296.0,3176.0,4565.0,3322.0,5688.0,4399.0,6937.0,6590.0,5134.0,9674.0,10715.0,16857.0,18373.0,16360.0,27389.0,20940.0,35892.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-2430.0,3773.0,-6894.0,-12764.0,2608.0,9326.0,4879.0,57794.0,10748.0,15634.0,19380.0,16421.0,14082.0,16791.0,14614.0,14081.0,19144.0,14699.0,15443.0,3764.0,-2746.0,13132.0,4555.0,-2829.0,19263.0,6783.0,28175.0,-15462.0,5622.0,4640.0,3122.0,-18608.0,2561.0,3606.0,3806.0,-670.0,6405.0,8184.0,8483.0,3938.0,3389.0,13197.0,3284.0,-15954.0,1631.0,-2294.0,5061.0,-27095.0,-3208.0,5172.0,1533.0,-86468.0,4850.0,4027.0,4498.0,2189.0,4125.0,3330.0,3603.0,5296.0,3176.0,4565.0,3322.0,5688.0,4399.0,6937.0,6590.0,5134.0,9674.0,10715.0,16857.0,18373.0,16360.0,27389.0,20940.0,35892.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2379.0,0.0,0.0,0.0,0.0,-1204.0,-2085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-2110.0,3038.0,-7046.0,-13177.0,2225.0,8540.0,5082.0,56749.0,9749.0,13545.0,17654.0,16826.0,11790.0,13422.0,12526.0,10350.0,15473.0,12320.0,11496.0,3510.0,-5740.0,9756.0,6856.0,-2610.0,16380.0,5261.0,25301.0,-17284.0,3747.0,2284.0,661.0,-16984.0,1172.0,2725.0,1735.0,2016.0,4388.0,5961.0,6863.0,1922.0,2067.0,10504.0,3728.0,-13817.0,1082.0,-3636.0,4395.0,-24442.0,-2223.0,3691.0,2629.0,-84044.0,3346.0,2303.0,3722.0,1840.0,2156.0,2545.0,2301.0,3355.0,2150.0,2217.0,2942.0,3288.0,2603.0,5478.0,4107.0,3092.0,6102.0,6780.0,11010.0,9418.0,11460.0,21672.0,14886.0,27954.0
Zysk netto akcjonariuszy jednostki dominującej,-1991.0,2995.0,-7245.0,-13320.0,2392.0,7978.0,4845.0,53928.0,8910.0,12061.0,15538.0,17673.0,11212.0,5908.0,17743.0,-16256.0,14245.0,11247.0,10564.0,2125.0,-6105.0,9264.0,6561.0,-3040.0,15968.0,4821.0,24530.0,-17464.0,3790.0,1657.0,279.0,-17233.0,900.0,2606.0,1327.0,2426.0,4100.0,5489.0,6754.0,2190.0,1836.0,10240.0,3647.0,-13826.0,823.0,-3438.0,4273.0,-24461.0,-2188.0,3597.0,2607.0,-83803.0,3298.0,2270.0,3733.0,1775.0,2053.0,2467.0,2191.0,3381.0,2074.0,2132.0,2899.0,3086.0,2448.0,5272.0,3941.0,2996.0,5892.0,6525.0,10592.0,8962.0,11212.0,21285.0,14436.0,27316.0
Aktywa trwałe,109279.0,111358.0,109006.0,106039.0,106242.0,112598.0,111186.0,125324.0,135499.0,137621.0,136546.0,156851.0,251938.0,254371.0,259972.0,263638.0,273759.0,276395.0,274277.0,279097.0,278223.0,284332.0,285280.0,273620.0,269212.0,264045.0,268480.0,270091.0,272367.0,231794.0,232326.0,232976.0,233783.0,232219.0,239437.0,240531.0,240474.0,246026.0,194105.0,188351.0,182534.0,182515.0,186550.0,176084.0,175668.0,176874.0,180440.0,196531.0,203115.0,199810.0,194486.0,168008.0,175393.0,176233.0,159046.0,161620.0,164656.0,166738.0,167404.0,152783.0,153169.0,152164.0,153530.0,152627.0,156970.0,157390.0,161278.0,153978.0,157576.0,170768.0,171065.0,171927.0,192293.0,207763.0,248348.0,268436.0
Wartości niematerialne i prawne,271.0,227.0,186.0,897.0,864.0,852.0,861.0,854.0,832.0,837.0,770.0,722.0,838.0,835.0,843.0,927.0,2613.0,2814.0,3150.0,3253.0,3234.0,3234.0,3141.0,2671.0,2551.0,2492.0,2440.0,2400.0,2310.0,2199.0,2123.0,2248.0,2397.0,2445.0,2428.0,2608.0,2627.0,2566.0,2463.0,2280.0,2282.0,2488.0,2365.0,2315.0,2256.0,2163.0,2055.0,1953.0,1956.0,1926.0,1874.0,1990.0,1854.0,1808.0,2187.0,2105.0,2027.0,2917.0,2940.0,3151.0,3155.0,3391.0,3469.0,3873.0,4099.0,4031.0,3983.0,3890.0,3918.0,3886.0,3811.0,4032.0,3871.0,3946.0,3714.0,3617.0
