,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Koszty finansowe,3592.0,12622.0,10564.0,24400.0,18936.0,5716.0,278.0,8090.0,6304.0,13053.0,4772.0,16874.0,6963.0,1074.0,21676.0,17174.0,10164.0,27958.0,10600.0,35411.0,7341.0,12266.0,2939.0,22275.0,17418.0,18690.0,10741.0,78634.0,16642.0,13949.0,14884.0,36276.0,35736.0,29432.0,34426.0,27416.0,45957.0,35985.0,20814.0,67933.0,62384.0,123744.0,68917.0,47935.0,79477.0,126471.0,37912.0,197998.0,108377.0,65331.0,86313.0,86315.0,58796.0,58115.0,48964.0,48928.0,69115.0,73524.0,80041.0,53950.0,137770.0,129215.0,110856.0,108604.0
Pozostałe przychody (koszty),283.0,-711.0,949.0,-107.0,4944.0,3825.0,1795.0,-463.0,4725.0,-225.0,2597.0,-5335.0,1872.0,7328.0,-4381.0,1148.0,-528.0,2991.0,456.0,-5812.0,805.0,4040.0,40.0,-4554.0,599.0,3476.0,170.0,-3313.0,0.0,1833.0,0.0,-251432.0,0.0,148.0,0.0,0.0,0.0,6457.0,1471.0,1880.0,12609.0,11356.0,25739.0,6148.0,-7025.0,2682.0,4684.0,-607853.0,326.0,-389249.0,-215306.0,-1071.0,-6481.0,117816.0,1174.0,64454.0,32237.0,13690.0,9470.0,-302550.0,-146214.0,-510900.0,235660.0,-778377.0
Zysk z działalności gospodarczej,98502.0,22329.0,68231.0,104404.0,252047.0,240290.0,64364.0,96355.0,271984.0,185599.0,249989.0,105644.0,311846.0,210488.0,371609.0,95168.0,262971.0,304504.0,206774.0,133918.0,385499.0,184522.0,292741.0,77917.0,268922.0,498937.0,251463.0,123780.0,329252.0,193596.0,523383.0,-1455209.0,366965.0,220868.0,309752.0,171217.0,402805.0,365850.0,267375.0,430537.0,306908.0,251348.0,205524.0,104921.0,372785.0,369987.0,534338.0,-405839.0,555099.0,-565436.0,100749.0,-2693961.0,505180.0,424134.0,691076.0,534243.0,658836.0,396152.0,45238.0,-824840.0,362893.0,-486458.0,899077.0,-1283561.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,98502.0,22329.0,68231.0,104404.0,252047.0,240290.0,64364.0,96355.0,271984.0,185599.0,249989.0,105644.0,311846.0,210488.0,371609.0,95168.0,262971.0,304504.0,206774.0,133918.0,385499.0,184522.0,292741.0,77917.0,268922.0,498937.0,251463.0,123780.0,329252.0,193596.0,523383.0,-1455209.0,366965.0,220868.0,309752.0,171217.0,402805.0,365850.0,267375.0,430537.0,306908.0,251348.0,205524.0,104921.0,372785.0,369987.0,534338.0,-405839.0,555099.0,-565436.0,100749.0,-2693961.0,505180.0,424134.0,691076.0,534243.0,658836.0,396152.0,45238.0,-824840.0,362893.0,-486458.0,899077.0,-1283561.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,75297.0,14113.0,46591.0,79366.0,202101.0,189805.0,54376.0,67328.0,219390.0,145302.0,182317.0,92372.0,247362.0,166751.0,306642.0,71766.0,203300.0,253068.0,153347.0,101894.0,308639.0,143453.0,214748.0,48524.0,209330.0,415605.0,211380.0,72807.0,265335.0,152935.0,419568.0,-1236716.0,290405.0,180821.0,249429.0,128258.0,321190.0,502641.0,14118.0,326942.0,254068.0,207962.0,158259.0,98961.0,279806.0,299639.0,410466.0,-449214.0,459047.0,-540690.0,37939.0,-2190633.0,406412.0,329618.0,596317.0,454123.0,547895.0,313433.0,45469.0,-787877.0,251276.0,-397237.0,808271.0,-1104933.0
Zysk netto akcjonariuszy jednostki dominującej,75320.0,15716.0,45014.0,79311.0,201312.0,208066.0,36994.0,67217.0,218150.0,145846.0,183392.0,91874.0,246439.0,167510.0,307392.0,71951.0,202990.0,254200.0,154312.0,105714.0,307795.0,143915.0,215113.0,48545.0,208169.0,416121.0,211718.0,72311.0,262732.0,153490.0,420179.0,-1271258.0,272941.0,169848.0,233099.0,108505.0,295230.0,285932.0,204370.0,284636.0,240756.0,190434.0,152927.0,102622.0,246154.0,259634.0,385749.0,-468332.0,444597.0,-543815.0,36801.0,-2205995.0,385564.0,313816.0,570113.0,409043.0,494982.0,244073.0,49732.0,-743483.0,202213.0,-346465.0,702690.0,-1262746.0
Aktywa trwałe,0.0,0.0,7819984.0,8204031.0,8165803.0,8183265.0,8167309.0,8374673.0,8326849.0,8351158.0,8392047.0,8737868.0,8741061.0,9046839.0,9312844.0,9830686.0,9936304.0,10008769.0,10110814.0,11011502.0,11133017.0,11390730.0,11728831.0,12369473.0,12473466.0,13152680.0,13920640.0,14344139.0,14773890.0,15101803.0,15686452.0,18203442.0,18101265.0,18598255.0,18987892.0,19486599.0,20732484.0,21028814.0,21407814.0,22080914.0,22151920.0,22266409.0,22646810.0,23037274.0,23505231.0,23704395.0,23873633.0,23792019.0,24099116.0,23706172.0,23717764.0,21767810.0,21822211.0,21867440.0,22144849.0,22337693.0,23084000.0,23216280.0,24379567.0,23161620.0,23192964.0,23371747.0,24264513.0,21636978.0
Wartości niematerialne i prawne,0.0,0.0,50527.0,51927.0,52826.0,54350.0,54498.0,76075.0,73885.0,72065.0,69832.0,174349.0,186829.0,269703.0,379559.0,171808.0,314181.0,395849.0,357075.0,271726.0,268487.0,266298.0,266320.0,275011.0,285077.0,294471.0,299343.0,383228.0,459068.0,476628.0,495517.0,346276.0,354165.0,403957.0,419686.0,445537.0,462729.0,508155.0,511046.0,523819.0,520086.0,518719.0,515680.0,540853.0,437545.0,448247.0,450345.0,379024.0,373054.0,374590.0,363679.0,359365.0,20995.0,349380.0,341311.0,350188.0,342675.0,341013.0,344420.0,351922.0,349366.0,345817.0,449702.0,337662.0
