,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
Koszty finansowe,5194.0,5007.0,4548.0,5208.0,5628.0,1833.0,704.0,1867.0,3534.0,3750.0,5414.0,2772.0,3970.0,1301.0,3666.0,5216.0,2995.0,1611.0,2585.0,2660.0,2587.0,2552.0,2143.0,3814.0,2460.0,1211.0,1232.0,10193.0,2162.0,2260.0,1642.0,1506.0,1437.0,1381.0,1153.0,1393.0,1309.0,1133.0,673.0,1311.0,929.0,1070.0,597.0,1261.0,770.0,730.0,789.0,1038.0,1144.0,847.0,955.0,2238.0,3375.0,2896.0,707.0,9872.0,2214.0,3796.0,954.0,2160.0,2775.0,1127.0,1292.0,1027.0,1025.0,1386.0,1461.0,1615.0,1151.0,811.0,625.0,726.0,638.0
Pozostałe przychody (koszty),-2.0,-6.0,4.0,0.0,-9.0,14.0,-13.0,34.0,-41.0,91.0,55.0,-105.0,0.0,15.0,2.0,179.0,37.0,-29.0,-83.0,38.0,-184.0,403.0,-642.0,9.0,-17.0,-177.0,-26.0,192.0,0.0,-40.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-518.0,-7.0,-7.0,-7.0,-145.0,-22.0,-589.0,-98.0,-437.0,-348.0,-195.0,30.0,0.0,-13.0,-20.0,-16.0,-15.0,-28.0,-40.0,-12.0,0.0,-2.0,-4.0,-2.0,-19.0,-19.0,-18.0,-8.0,-18.0,-13.0,-19.0,-57.0,-18.0,0.0,0.0,-23.0
Zysk z działalności gospodarczej,5545.0,5102.0,5259.0,5626.0,82.0,-15548.0,3389.0,-8602.0,-23733.0,-54445.0,-57433.0,48183.0,-25118.0,-3197.0,6018.0,25099.0,-17995.0,-87636.0,-5978.0,568.0,-19317.0,-14996.0,-11690.0,-7234.0,-944.0,-1054.0,586.0,-12582.0,7269.0,1874.0,2032.0,816.0,8566.0,2793.0,5006.0,2115.0,5896.0,-1382.0,1676.0,-6761.0,6432.0,-1222.0,472.0,-5420.0,408.0,-94574.0,-5681.0,-29040.0,6221.0,2865.0,-5492.0,-15281.0,12995.0,4606.0,5774.0,-4693.0,10766.0,4022.0,9558.0,5454.0,29512.0,7091.0,7052.0,8664.0,7213.0,6194.0,6474.0,3127.0,13298.0,6093.0,6377.0,11392.0,15834.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,5545.0,5102.0,5259.0,5626.0,82.0,-15548.0,3389.0,-8602.0,-23733.0,-54445.0,-57433.0,48183.0,-25118.0,-3197.0,6018.0,25099.0,-17995.0,-87636.0,-5978.0,568.0,-19317.0,-14996.0,-11690.0,-7234.0,-944.0,-1054.0,586.0,-12582.0,7269.0,1874.0,2032.0,816.0,8566.0,2793.0,5006.0,2115.0,5896.0,-1382.0,1676.0,-6761.0,6432.0,-1222.0,472.0,-5420.0,408.0,-94574.0,-5681.0,-29040.0,6221.0,2865.0,-5492.0,-15281.0,12995.0,4606.0,5774.0,-4693.0,10766.0,4022.0,9558.0,5454.0,29512.0,7091.0,7052.0,8664.0,7213.0,6194.0,6474.0,3127.0,13298.0,6093.0,6377.0,11392.0,15834.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-654.0,-2.0,-1939.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,3450.0,3789.0,3504.0,1149.0,-913.0,-13412.0,2472.0,-8746.0,-24752.0,-48801.0,-50077.0,42504.0,-26295.0,1629.0,3728.0,19609.0,-16979.0,-75385.0,-3738.0,-8197.0,-17113.0,-13638.0,-12363.0,-7180.0,-1154.0,1356.0,1302.0,-12956.0,7160.0,1027.0,1146.0,929.0,6053.0,2139.0,3985.0,834.0,4133.0,350.0,1493.0,-10186.0,3441.0,-481.0,-1833.0,-8850.0,236.0,-88164.0,-2957.0,-32430.0,5598.0,-2238.0,-5016.0,-9594.0,10882.0,4387.0,4550.0,-3888.0,9331.0,4017.0,8349.0,7516.0,26062.0,6021.0,5561.0,8919.0,6021.0,11179.0,5381.0,4385.0,10663.0,4940.0,5105.0,9026.0,20208.0
Zysk netto akcjonariuszy jednostki dominującej,3436.0,3908.0,3540.0,566.0,-935.0,-13404.0,2359.0,-15615.0,-17411.0,-40358.0,-50125.0,42279.0,-26433.0,1613.0,3728.0,19608.0,-17033.0,-75495.0,-3726.0,-8258.0,-17057.0,-13688.0,-12343.0,-7332.0,-1178.0,1354.0,1304.0,-13103.0,7123.0,1119.0,1125.0,863.0,5943.0,2237.0,4003.0,784.0,4139.0,373.0,1510.0,-10206.0,3414.0,-483.0,-1833.0,-8888.0,214.0,-88142.0,-2934.0,-32488.0,5598.0,-2238.0,-5016.0,-9594.0,10882.0,4387.0,4550.0,-3888.0,9331.0,4017.0,8349.0,7516.0,26062.0,6021.0,5561.0,8919.0,6021.0,11179.0,5381.0,4385.0,10663.0,4940.0,5105.0,9026.0,20208.0
Aktywa trwałe,120705.0,123537.0,123428.0,129937.0,126345.0,130425.0,299696.0,365280.0,364219.0,351954.0,338525.0,318482.0,304034.0,299056.0,285390.0,264438.0,275907.0,277683.0,271718.0,238145.0,235215.0,230882.0,224184.0,225316.0,217312.0,219528.0,225209.0,239036.0,235074.0,230260.0,228493.0,229461.0,223808.0,223296.0,220680.0,221816.0,219110.0,220517.0,220709.0,216326.0,212098.0,215074.0,212482.0,209989.0,208776.0,207077.0,210758.0,203082.0,200777.0,194439.0,194226.0,197042.0,193904.0,193680.0,190047.0,191807.0,205785.0,205997.0,202202.0,202480.0,196059.0,193403.0,188878.0,188857.0,186111.0,186788.0,186444.0,188669.0,186641.0,185061.0,183325.0,178427.0,179203.0
Wartości niematerialne i prawne,64381.0,71384.0,71382.0,73082.0,71959.0,72767.0,71428.0,284863.0,279282.0,266774.0,252850.0,250164.0,243648.0,235903.0,229439.0,227204.0,221316.0,218103.0,213165.0,208634.0,205084.0,201802.0,198816.0,197526.0,194976.0,194443.0,199447.0,206406.0,205351.0,202942.0,202658.0,201185.0,199491.0,199476.0,199248.0,201111.0,201055.0,202355.0,202411.0,200890.0,199857.0,197464.0,195303.0,194197.0,193793.0,192204.0,192728.0,179650.0,179074.0,178333.0,177737.0,174242.0,172138.0,170886.0,169519.0,168285.0,167179.0,165898.0,164613.0,163408.0,162832.0,162423.0,161869.0,161413.0,161666.0,162776.0,164012.0,164729.0,165320.0,165613.0,166072.0,162769.0,162497.0
Rzeczowe składniki majątku trwałego,34953.0,33645.0,32415.0,33602.0,33566.0,33140.0,30701.0,53664.0,51214.0,47752.0,46089.0,42161.0,38715.0,35412.0,33449.0,31511.0,29821.0,25599.0,23060.0,19949.0,18041.0,16257.0,13752.0,11491.0,10133.0,8782.0,11144.0,15029.0,13657.0,12753.0,12022.0,11510.0,10841.0,11305.0,10346.0,9678.0,8671.0,8306.0,7589.0,6636.0,5691.0,10522.0,10106.0,9431.0,8424.0,7949.0,7349.0,6683.0,5988.0,5460.0,4875.0,4802.0,3962.0,3898.0,3476.0,3018.0,2699.0,21974.0,19690.0,18366.0,17683.0,17360.0,16131.0,14223.0,12456.0,11172.0,11147.0,11888.0,11839.0,11012.0,8911.0,7958.0,6828.0
